person,year_start,year_end,num_seasons,repertory_player,featured_player,middle_group,weekend_update,hosted,best_of,writer,imdb_link
Fred Armisen,2002,2013.0,11,y,y,,,y,,,https://www.imdb.com/name/nm0035488/?ref_=fn_nm_nm_1
Dan Aykroyd,1975,1979.0,4,y,,,y,y,y,y,https://www.imdb.com/name/nm0000101/?ref_=fn_nm_nm_1
Peter Aykroyd,1980,,1,,y,,,,,y,https://www.imdb.com/name/nm0043839/?ref_=fn_nm_nm_1
Morwenna Banks,1995,,1,y,,,,,,,https://www.imdb.com/name/nm0052218/?ref_=fn_nm_nm_1
Vanessa Bayer,2010,2017.0,7,y,y,,,,,,https://www.imdb.com/name/nm3364779/?ref_=fn_nm_nm_1
Jim Belushi,1983,1985.0,2,y,,,,,,y,https://www.imdb.com/name/nm0000902/?ref_=fn_nm_nm_1
John Belushi,1975,1979.0,4,y,,,,,y,y,https://www.imdb.com/name/nm0000004/?ref_=fn_nm_nm_1
Beck Bennett,2013,2021.0,8,y,y,,,,,,https://www.imdb.com/name/nm3080722/?ref_=fn_nm_nm_1
Jim Breuer,1995,1998.0,3,y,,,,,,,https://www.imdb.com/name/nm0108028/?ref_=fn_nm_nm_1
Paul Brittain,2010,2012.0,2,,y,,,,,,https://www.imdb.com/name/nm4204968/?ref_=fn_nm_nm_1
A. Whitney Brown,1986,1991.0,6,,y,,,,,y,https://www.imdb.com/name/nm0112944/?ref_=fn_nm_nm_1
Aidy Bryant,2012,2021.0,9,y,y,,,,,,https://www.imdb.com/name/nm5262775/?ref_=fn_nm_nm_1
Beth Cahill,1991,1992.0,1,,y,,,,,,https://www.imdb.com/name/nm0128639/?ref_=fn_nm_nm_1
Dana Carvey,1986,1993.0,7,y,,,,y,y,,https://www.imdb.com/name/nm0001022/?ref_=fn_nm_nm_1
Chevy Chase,1975,1976.0,2,y,,,y,y,y,y,https://www.imdb.com/name/nm0000331/?ref_=fn_nm_nm_1
Michael Che,2014,2021.0,7,y,y,,y,,,y,https://www.imdb.com/name/nm3846408/?ref_=fn_nm_nm_1
Ellen Cleghorne,1991,1995.0,4,y,,y,,,,,https://www.imdb.com/name/nm0165971/?ref_=fn_nm_nm_1
George Coe,1975,,1,y,,,,,,,https://www.imdb.com/name/nm0168642/?ref_=fn_nm_nm_1
Billy Crystal,1984,1985.0,1,y,,,y,y,,y,https://www.imdb.com/name/nm0000345/?ref_=fn_nm_nm_1
Jane Curtin,1975,1980.0,5,y,,,y,,,,https://www.imdb.com/name/nm0004852/?ref_=fn_nm_nm_1
Joan Cusack,1985,1986.0,1,y,,,,,,,https://www.imdb.com/name/nm0000349/?ref_=fn_nm_nm_1
Pete Davidson,2014,2021.0,7,y,y,,,,,,https://www.imdb.com/name/nm0203457/?ref_=fn_nm_nm_1
Tom Davis,1977,1980.0,3,,y,,,,,y,https://www.imdb.com/name/nm4269084/?ref_=fn_nm_nm_1
Mikey Day,2016,2021.0,5,y,y,,,,,y,https://www.imdb.com/name/nm1510062/?ref_=fn_nm_nm_1
Denny Dillon,1980,1981.0,1,y,,,,,,,https://www.imdb.com/name/nm0226986/?ref_=fn_nm_nm_1
Andrew Dismukes,2020,2021.0,1,,y,,,,,y,https://www.imdb.com/name/nm8608160/?ref_=fn_nm_nm_1
Jim Downey,1980,,1,,y,,,,,y,https://www.imdb.com/name/nm9978675/?ref_=fn_nm_nm_2
Robert Downey Jr.,1985,1986.0,1,y,,,,y,,,https://www.imdb.com/name/nm0000375/?ref_=fn_nm_nm_1
Brian Doyle-Murray,1980,1982.0,y,y,,y,,,,,https://www.imdb.com/name/nm0236519/?ref_=fn_nm_nm_1
Rachel Dratch,1999,2006.0,7,y,y,,,,,,https://www.imdb.com/name/nm0237222/?ref_=fn_nm_nm_1
Robin Duke,1981,1984.0,4,y,,,,,,y,https://www.imdb.com/name/nm0241208/?ref_=fn_nm_nm_1
Nora Dunn,1985,1990.0,5,y,,,,,,,https://www.imdb.com/name/nm0004887/?ref_=fn_nm_nm_1
Christine Ebersole,1981,1982.0,1,y,,,y,,,,https://www.imdb.com/name/nm0002056/?ref_=fn_nm_nm_1
Dean Edwards,2001,2003.0,2,,y,,,,,,https://www.imdb.com/name/nm0249931/?ref_=fn_nm_nm_1
Abby Elliott,2008,2012.0,4,y,y,,,,,,https://www.imdb.com/name/nm2212031/?ref_=fn_nm_nm_1
Chris Elliott,1994,1995.0,1,y,,,,,,,https://www.imdb.com/name/nm0254402/?ref_=fn_nm_nm_1
Jimmy Fallon,1998,2004.0,6,y,y,,y,y,y,,https://www.imdb.com/name/nm0266422/?ref_=fn_nm_nm_1
Siobhan Fallon,1991,1992.0,1,,,y,,,,,https://www.imdb.com/name/nm8734124/?ref_=fn_nm_nm_2
Chris Farley,1990,1995.0,5,y,,y,,y,y,,https://www.imdb.com/name/nm0000394/?ref_=fn_nm_nm_1
Will Ferrell,1995,2002.0,7,y,,,,y,y,,https://www.imdb.com/name/nm0002071/?ref_=fn_nm_nm_1
Tina Fey,2000,2006.0,6,y,y,,y,y,,y,https://www.imdb.com/name/nm0275486/?ref_=fn_nm_nm_1
Chloe Fineman,2019,2021.0,2,,y,,,,,,https://www.imdb.com/name/nm4806887/?ref_=fn_nm_nm_1
Will Forte,2002,2010.0,8,y,y,,,,,y,https://www.imdb.com/name/nm0287182/?ref_=fn_nm_nm_1
Al Franken,1977,1995.0,11,,y,,,,,,https://www.imdb.com/name/nm0291253/?ref_=fn_nm_nm_1
Heidi Gardner,2017,2021.0,4,y,y,,,,,,https://www.imdb.com/name/nm5906920/?ref_=fn_nm_nm_1
Janeane Garofalo,1994,1995.0,1,y,,,,,,,https://www.imdb.com/name/nm0000413/?ref_=fn_nm_nm_1
Ana Gasteyer,1996,2002.0,6,y,,,,,,,https://www.imdb.com/name/nm0309430/?ref_=fn_nm_nm_1
Gilbert Gottfried,1980,1981.0,1,y,,,,,,,https://www.imdb.com/name/nm0331906/?ref_=fn_nm_nm_1
Mary Gross,1981,1985.0,4,,,,y,,,y,https://www.imdb.com/name/nm0343444/?ref_=fn_nm_nm_1
Christopher Guest,1984,1985.0,1,y,,,y,,,y,https://www.imdb.com/name/nm0001302/?ref_=fn_nm_nm_1
Bill Hader,2005,2013.0,8,y,y,,,y,,,https://www.imdb.com/name/nm0352778/?ref_=fn_nm_nm_1
Anthony Michael Hall,1985,1986.0,1,y,,,,,,,https://www.imdb.com/name/nm0001309/?ref_=fn_nm_nm_1
Brad Hall,1982,1984.0,2,y,,,y,,,,https://www.imdb.com/name/nm0355357/?ref_=fn_nm_nm_1
Rich Hall,1984,1985.0,1,y,,,,,,y,https://www.imdb.com/name/nm0356025/?ref_=fn_nm_nm_1
Darrell Hammond,1995,2009.0,14,y,,,,,,,https://www.imdb.com/name/nm0358669/?ref_=fn_nm_nm_1
Phil Hartman,1986,1994.0,8,y,y,,,y,y,y,https://www.imdb.com/name/nm0367005/?ref_=fn_nm_nm_1
Lauren Holt,2020,2021.0,1,,y,,,,,,https://www.imdb.com/name/nm7576527/?ref_=fn_nm_nm_1
Jan Hooks,1986,1991.0,5,y,,,,,,,https://www.imdb.com/name/nm0393660/?ref_=fn_nm_nm_1
Yvonne Hudson,1980,1981.0,1,,y,,,,,,https://www.imdb.com/name/nm0399994/?ref_=fn_nm_nm_1
Melanie Hutsell,1991,1994.0,3,y,y,y,,,,,https://www.imdb.com/name/nm0404525/?ref_=fn_nm_nm_1
Victoria Jackson,1986,1992.0,6,y,,,,,,,https://www.imdb.com/name/nm0414130/?ref_=fn_nm_nm_1
Punkie Johnson,2020,2021.0,1,,y,,,,,,https://www.imdb.com/name/nm9790618/?ref_=fn_nm_nm_1
Leslie Jones,2014,2019.0,5,y,y,,,,,y,https://www.imdb.com/name/nm0428656/?ref_=fn_nm_nm_1
Colin Jost,2014,2021.0,8,y,y,,y,,,y,https://www.imdb.com/name/nm1906042/?ref_=fn_nm_nm_1
Chris Kattan,1996,2003.0,8,y,y,,,,y,,https://www.imdb.com/name/nm0441592/?ref_=fn_nm_nm_1
Tim Kazurinsky,1981,1984.0,4,y,,,,,,y,https://www.imdb.com/name/nm0443730/?ref_=fn_nm_nm_1
Laura Kightlinger,1994,1995.0,1,,y,,,,,y,https://www.imdb.com/name/nm0452716/?ref_=fn_nm_nm_1
Taran Killam,2010,2016.0,6,y,y,,,,,,https://www.imdb.com/name/nm0453115/?ref_=fn_nm_nm_1
David Koechner,1995,1996.0,1,y,,,,,,,https://www.imdb.com/name/nm0462712/?ref_=fn_nm_nm_1
Gary Kroeger,1982,1985.0,3,y,,,,,,,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1
Matthew Laurance,1980,1981.0,1,,y,,,,,,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1
Julia Louis-Dreyfus,1982,1985.0,3,y,,,,y,,,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_1
Jon Lovitz,1985,1990.0,5,y,,,,y,y,,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_1
Norm MacDonald,1993,1998.0,5,y,y,,y,y,,y,https://www.imdb.com/name/nm0005172/?ref_=fn_al_nm_1
Gail Matthius,1980,1981.0,1,y,,,y,,,,https://www.imdb.com/name/nm0560257/?ref_=fn_nm_nm_1
Michael McKean,1994,1995.0,2,y,,,,y,,,https://www.imdb.com/name/nm0571106/?ref_=fn_nm_nm_1
Mark McKinney,1995,1997.0,3,y,,,,,,,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1
Kate McKinnon,2012,2021.0,10,y,y,,,,,,https://www.imdb.com/name/nm0571952/?ref_=fn_nm_nm_1
Tim Meadows,1991,2000.0,10,y,,y,,,y,y,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1
Laurie Metcalf,1981,,1,,y,,,,,,https://www.imdb.com/name/nm0582418/?ref_=fn_nm_nm_1
Seth Meyers,2001,2014.0,13,y,y,,y,y,,y,https://www.imdb.com/name/nm1024878/?ref_=fn_nm_nm_1
John Milhiser,2013,2014.0,1,,y,,,,,,https://www.imdb.com/name/nm2275887/?ref_=fn_nm_nm_1
Dennis Miller,1985,1991.0,6,y,,,y,,,y,https://www.imdb.com/name/nm0588222/?ref_=fn_nm_nm_1
Jerry Minor,2000,2001.0,1,,y,,,,,y,https://www.imdb.com/name/nm0591576/?ref_=fn_nm_nm_1
Finesse Mitchell,2003,2006.0,3,y,y,,,,,,https://www.imdb.com/name/nm1459509/?ref_=fn_nm_nm_1
Alex Moffat,2016,2021.0,5,y,y,,,,,,https://www.imdb.com/name/nm5803981/?ref_=fn_nm_nm_1
Jay Mohr,1993,1995.0,2,,y,,,,,y,https://www.imdb.com/name/nm0001542/?ref_=fn_nm_nm_1
Kyle Mooney,2013,2021.0,8,y,y,,,,,,https://www.imdb.com/name/nm3324982/?ref_=fn_nm_nm_1
Tracy Morgan,1996,2003.0,7,y,,,,y,y,,https://www.imdb.com/name/nm0605079/?ref_=fn_nm_nm_1
Garrett Morris,1975,1980.0,5,y,,,,,,y,https://www.imdb.com/name/nm0606541/?ref_=fn_nm_nm_1
Bobby Moynihan,2008,2017.0,9,y,y,,,,,,https://www.imdb.com/name/nm1293885/?ref_=fn_nm_nm_1
Eddie Murphy,1980,1984.0,4,y,y,,,y,y,y,https://www.imdb.com/name/nm0000552/?ref_=fn_nm_nm_1
Bill Murray,1977,1980.0,4,y,,,y,y,,y,https://www.imdb.com/name/nm0000195/?ref_=fn_nm_nm_1
Mike Myers,1989,1995.0,7,y,y,,,y,y,y,https://www.imdb.com/name/nm0000196/?ref_=fn_nm_nm_1
