index,imdb_link,movie_coefficient,title,media_type,credits_count,snl_alums,cast_count,genres,stars,num_episodes,principal_people,production_companies,medium,year_start,year_end
1547,https://www.imdb.com/title/tt1229939/,0.0439552263232005,The Gong Show with Dave Attell,"['TV Series', '2008– 2008– ']",4,"['J.B. Smoove', 'Robert Smigel', 'Dave Attell']",3,"['Comedy', 'Game-Show']","['Dave Attell', 'David Juskow', 'Heidi Van Horne', 'Michelle Biloon', 'J.B. Smoove', 'Robert Smigel', 'Andy Dick', 'Brian Posehn', 'Ron White', 'Steve Schirripa', 'Dave Navarro', 'Adam Carolla', 'Jim Norton', 'Diandra Newlin', 'Dana Goodman', 'Greg Giraldo', 'Julia Lea Wolov', 'Leon C. Carswell']",8,"['Dave Attell', 'David Juskow', 'Heidi Van Horne', 'Dave Attell', 'David Juskow', 'Heidi Van Horne']","['Happy Madison Productions', 'Sony Pictures Television', '']",['TV Series'],2008.0,2008.0
1601,https://www.imdb.com/title/tt2712740/,0.0530133190843951,The Goldbergs,"['TV Series', '2013– 2013– ', 'TV-PGTV-PG', '22m']",11,"['Jerry Minor', 'Chris Parnell', 'Michaela Watkins', 'Adam Sandler', 'Ana Gasteyer', 'Laura Kightlinger', 'Anthony Michael Hall', 'David Koechner', 'Tim Meadows', 'Jon Lovitz', 'David Spade']",11,['Comedy'],"['Wendi McLendon-Covey', 'Sean Giambrone', 'Troy Gentile', 'Hayley Orrantia', 'Jeff Garlin', 'George Segal', 'Patton Oswalt', 'Sam Lerner', 'Kenny Ridwan', 'Noah Munck', 'Matt Bush', 'AJ Michalka', 'Shayne Topp', 'Sean Marquette', 'Jennifer Irwin', 'Alex Jennings', 'Stephanie Katherine Grant', 'Stephen Tobolowsky']",211,"['Adam F. Goldberg', 'Wendi McLendon-Covey', 'Sean Giambrone', 'Troy Gentile', 'Adam F. Goldberg', 'Wendi McLendon-Covey', 'Sean Giambrone', 'Troy Gentile']","['Adam F. Goldberg Productions', 'Happy Madison Productions', 'Sony Pictures Television', '']",['TV Series'],2013.0,2013.0
2011,https://www.imdb.com/title/tt0790772/,0.1330031026198367,Rules of Engagement,"['TV Series', '2007–20132007–2013', 'TV-PGTV-PG', '22m']",6,"['Carol Leifer', 'Bob Odenkirk', 'Adam Sandler', 'David Spade']",4,"['Comedy', 'Romance']","['Patrick Warburton', 'Megyn Price', 'Oliver Hudson', 'Bianca Kajlich', 'David Spade', 'Adhir Kalyan', 'Kellen Love', 'Diane Sellers', 'James Koshak', 'Wendi McLendon-Covey', 'Sara Rue', 'Richard McGonagle', 'Susan Yeagley', 'Taryn Southern', 'Nazneen Contractor', 'Orlando Jones', 'Beth Littleford', 'Greg Bond']",101,"['Tom Hertz', 'Patrick Warburton', 'Megyn Price', 'Oliver Hudson', 'Tom Hertz', 'Patrick Warburton', 'Megyn Price', 'Oliver Hudson']","['Game Six Productions', 'Happy Madison Productions', 'CBS Paramount Network Television', '']",['TV Series'],2007.0,2013.0
2056,https://www.imdb.com/title/tt0783342/,0.1430143647394715,Gay Robot,"['TV Movie', '20062006', '21m']",4,"['Tom Gianas', 'Adam Sandler']",2,['Comedy'],"['Nick Swardson', 'Jon Crowley', 'Jon Glaser', 'Nichole Hiltz', 'Amad Jackson', 'Brian Kolodziej', 'Natasha Leggero', 'Aaron Perilo', 'Dave Sheridan', 'Chris Titone']",0,"['Tom Gianas', 'Tom Gianas', 'Nick Swardson', 'Nick Swardson', 'Jon Crowley', 'Jon Glaser', 'Tom Gianas', 'Tom Gianas', 'Nick Swardson', 'Nick Swardson', 'Jon Crowley', 'Jon Glaser']","['Happy Madison Productions', 'Sony Pictures Television', '']",['TV Movie'],2006.0,2006.0
2412,https://www.imdb.com/title/tt1721648/,0.2064090505789513,Pretend Time,"['TV Series', '2010–20112010–2011', 'TV-14TV-14', '30m']",18,"['Jerry Minor', 'Barry Sobel', 'Horatio Sanz', 'Bob Odenkirk', 'Frank Sebastiano', 'Jeff Richards (III)', 'Laura Kightlinger', 'T. Sean Shannon', 'Tom Gianas', 'Finesse Mitchell']",10,['Comedy'],"['Nick Swardson', 'John Cramer', 'Deirdre Wall', 'Julia Lea Wolov', 'Doug Jones', 'Bob Odenkirk', 'Colton Dunn', 'Natasha Leggero', 'Kyle Mooney', 'Owen Benjamin', 'Melinda Hill', 'Jay Johnston', 'Brian Huskey', 'John Farley', 'Brandon Johnson', 'Duncan Trussell', 'Tobias Jelinek', 'Craig Anton']",16,"['Tom Gianas', 'Nick Swardson', 'Nick Swardson', 'John Cramer', 'Deirdre Wall', 'Tom Gianas', 'Nick Swardson', 'Nick Swardson', 'John Cramer', 'Deirdre Wall']","['Culver Entertainment', 'Happy Madison Productions', '']",['TV Series'],2010.0,2011.0
2775,https://www.imdb.com/title/tt0380930/,0.2473417425053531,The Mayor,"['TV Movie', '20032003', '30m']",4,"['Adam Resnick', 'Adam Sandler', 'Christine Ebersole']",3,['Comedy'],"['Ben Feldman', 'Harry Groener', 'Samm Levine', 'Christine Ebersole', 'Jack Willis', 'Anna Kendrick', 'Brad Groux', ""Vernard 'Bone' Hampton"", 'Charlie Talbert']",0,"['James Widdoes', 'Chad Fiveash', 'Adam Resnick', 'James Patrick Stoteraux', 'Ben Feldman', 'Harry Groener', 'Samm Levine', 'James Widdoes', 'Chad Fiveash', 'Adam Resnick', 'James Patrick Stoteraux', 'Ben Feldman', 'Harry Groener', 'Samm Levine']","['Happy Madison Productions', 'Sony Pictures Television', 'The WB Television Network', '']",['TV Movie'],2003.0,2003.0
3059,https://www.imdb.com/title/tt1618434/,0.308100166547704,Murder Mystery,"['20192019', 'PG-13PG-13', '1h 37m']",3,"['Adam Sandler', 'Dan Bulla']",2,"['Action', 'Comedy', 'Crime']","['Adam Sandler', 'Jennifer Aniston', 'Luke Evans', 'Terence Stamp', 'Gemma Arterton', 'David Walliams', 'Dany Boon', 'John Kani', 'Adeel Akhtar', 'Ólafur Darri Ólafsson', 'Luis Gerardo Méndez', 'Shioli Kutsuna', 'Erik Griffin', 'Sufe Bradshaw', 'Jackie Sandler', 'Allen Covert', 'Leigh Kilton-Smith', 'Sadie Sandler']",0,"['Kyle Newacheck', 'James Vanderbilt', 'Adam Sandler', 'Jennifer Aniston', 'Luke Evans', 'Kyle Newacheck', 'James Vanderbilt', 'Adam Sandler', 'Jennifer Aniston', 'Luke Evans']","['Netflix', 'Happy Madison Productions', 'Endgame Entertainment', '']",['Film'],2019.0,2019.0
3073,https://www.imdb.com/title/tt1449273/,0.3096480192719485,Todd's Coma,"['TV Movie', '20052005']",2,"['Adam Sandler', 'Ben Stiller']",2,['Comedy'],"['Todd Glass', 'Candice Azzara', 'Amanda Beard', 'Blake Clark', 'Jennifer Elise Cox', 'Tony Devon', 'Frank Ertl', 'Gene Simmons', 'Drake Simpson', 'Ben Stiller', 'Allan Wasserman', 'Kasey Wilson']",0,"['Troy Miller', 'Tom Martin', 'Steven Rosenthal', 'Todd Glass', 'Candice Azzara', 'Amanda Beard', 'Troy Miller', 'Tom Martin', 'Steven Rosenthal', 'Todd Glass', 'Candice Azzara', 'Amanda Beard']","['Happy Madison Productions', 'Sony Pictures Television', 'Turner Broadcasting System (TBS)', '']",['TV Movie'],2005.0,2005.0
3204,https://www.imdb.com/title/tt3450650/,0.3331807637401855,Paul Blart: Mall Cop 2,"['20152015', 'PGPG', '1h 34m']",2,"['Ana Gasteyer', 'Adam Sandler']",2,"['Action', 'Comedy', 'Crime']","['Kevin James', 'Raini Rodriguez', 'Eduardo Verástegui', 'Daniella Alonso', 'Neal McDonough', 'David Henrie', 'Shirley Knight', 'Gary Valentine', 'Ana Gasteyer', 'Nicholas Turturro', 'Loni Love', 'Shelly Desai', 'Vic Dibitetto', 'D.B. Woodside', 'Bas Rutten', 'Steffiana De La Cruz', 'Leif Gantvoort', 'Chelsea Vincent']",0,"['Andy Fickman', 'Kevin James', 'Nick Bakay', 'Kevin James', 'Raini Rodriguez', 'Eduardo Verástegui', 'Andy Fickman', 'Kevin James', 'Nick Bakay', 'Kevin James', 'Raini Rodriguez', 'Eduardo Verástegui']","['Columbia Pictures', 'LStar Capital', 'Happy Madison Productions', '']",['Film'],2015.0,2015.0
3230,https://www.imdb.com/title/tt0489282/,0.3393483940042825,Strange Wilderness,"['20082008', 'RR', '1h 27m']",5,"['Fred Wolf', 'Adam Sandler', 'Peter Gaulke']",3,"['Adventure', 'Comedy']","['Steve Zahn', 'Allen Covert', 'Justin Long', 'Jonah Hill', 'Kevin Heffernan', 'Ashley Scott', 'Peter Dante', 'Harry Hamlin', 'Robert Patrick', 'Joe Don Baker', 'Blake Clark', 'Jeff Garlin', 'Ernest Borgnine', 'Jake Abel', 'Kevin Alejandro', 'Rick Batalla', 'Terrence Beasor', 'Richard Cassese']",0,"['Fred Wolf', 'Peter Gaulke', 'Fred Wolf', 'Steve Zahn', 'Allen Covert', 'Justin Long', 'Fred Wolf', 'Peter Gaulke', 'Fred Wolf', 'Steve Zahn', 'Allen Covert', 'Justin Long']","['Pelican Productions LLC (I)', 'Happy Madison Productions', 'Level 1 Entertainment', '']",['Film'],2008.0,2008.0
