,person,credit_type,year,title,imdb_link,media_type,total_episode_count,add_info,year_start,year_end
137,Seth Meyers,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (head writer - 167 episodes, 2005 - 2014) (writer - 26 episodes, 2008 - 2018) (writing supervisor - 20 episodes, 2004 - 2005) (written by - 7 episodes, 2007 - 2016)",189,"Saturday Night Live
(TV Series) (head writer - 167 episodes, 2005 - 2014) (writer - 26 episodes, 2008 - 2018) (writing supervisor - 20 episodes, 2004 - 2005) (written by - 7 episodes, 2007 - 2016)


- Jonah Hill/Maggie Rogers
(2018)
... (writer)


- Fred Armisen/Courtney Barnett
(2016)
... (written by)


- Melissa McCarthy/Imagine Dragons
(2014)
... (head writer)


- Jonah Hill/Bastille
(2014)
... (head writer)


- Drake
(2014)
... (head writer)





Show all 189 episodes",2004,2018
150,Seth Meyers,actor,2001-2014,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Weekend Update Anchor / Various / John Kerry / ...",253,"2001-2014

Saturday Night Live
(TV Series)

Weekend Update Anchor / Various / John Kerry / ...

- Melissa McCarthy/Imagine Dragons
(2014)
... Weekend Update Anchor


- Jonah Hill/Bastille
(2014)
... Weekend Update Anchor


- Drake
(2014)
... Weekend Update Anchor


- Jimmy Fallon/Justin Timberlake
(2013)
... Weekend Update Anchor


- John Goodman/Kings of Leon
(2013)
... Weekend Update Anchor





Show all 253 episodes",2001,2014
189,Seth Meyers,self,2014-2018,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self - Host / Various / Self",2,"2014-2018

Saturday Night Live
(TV Series)

Self - Host / Various / Self

- Seth Meyers/Paul Simon
(2018)
... Self - Host / Various


- Andy Samberg/St. Vincent
(2014)
... Self (uncredited)",2014,2018
270,Colin Jost,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (writer - 102 episodes, 2005 - 2012) (head writer - 94 episodes, 2012 - 2021) (co-head writer - 61 episodes, 2018 - 2022) (writing supervisor - 61 episodes, 2009 - 2012) (written by - 56 episodes, 2007 - 2017)",340,"Saturday Night Live
(TV Series) (writer - 102 episodes, 2005 - 2012) (head writer - 94 episodes, 2012 - 2021) (co-head writer - 61 episodes, 2018 - 2022) (writing supervisor - 61 episodes, 2009 - 2012) (written by - 56 episodes, 2007 - 2017)


- Natasha Lyonne/Japanese Breakfast
(2022)
... (co-head writer)


- Selena Gomez/Post Malone
(2022)
... (co-head writer)


- Benedict Cumberbatch/Arcade Fire
(2022)
... (co-head writer)


- Lizzo
(2022)
... (co-head writer)


- Jake Gyllenhaal/Camila Cabello
(2022)
... (co-head writer)





Show all 340 episodes",2005,2022
276,Colin Jost,actor,2006-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Weekend Update Anchor / Marker / Pete Buttigieg / ...",181,"2006-2022

Saturday Night Live
(TV Series)

Weekend Update Anchor / Marker / Pete Buttigieg / ...

- Miles Teller/Kendrick Lamar
(2022)
... Weekend Update Anchor


- Natasha Lyonne/Japanese Breakfast
(2022)
... Weekend Update Anchor


- Selena Gomez/Post Malone
(2022)
... Weekend Update Anchor


- Benedict Cumberbatch/Arcade Fire
(2022)
... Weekend Update Anchor


- Lizzo
(2022)
... Weekend Update Anchor





Show all 181 episodes",2006,2022
281,Colin Jost,director,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (1 episode, 2009) (segment director - 1 episode, 2008)",2,"Saturday Night Live
(TV Series) (1 episode, 2009) (segment director - 1 episode, 2008)


- Joseph Gordon-Levitt/Dave Matthews Band
(2009)
... (segment ""An SNL Movie Re-Cut: Palin 2010"")


- Ben Affleck/David Cook
(2008)
... (segment director)",2008,2009
285,Colin Jost,self,2021-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Weekend Update Anchor",1,"2021

Saturday Night Live
(TV Series)

Weekend Update Anchor

- Rami Malek/Young Thug
(2021)
... Weekend Update Anchor",2021,2021
365,Michael Che,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (1 episode, 2013) (head writer - 93 episodes, 2017 - 2022) (written by - 91 episodes, 2013 - 2017) (writer - 2 episodes, 2017) (additional sketch - 2 episodes, 2013)",189,"Saturday Night Live
(TV Series) (1 episode, 2013) (head writer - 93 episodes, 2017 - 2022) (written by - 91 episodes, 2013 - 2017) (writer - 2 episodes, 2017) (additional sketch - 2 episodes, 2013)


- Natasha Lyonne/Japanese Breakfast
(2022)
... (head writer)


- Selena Gomez/Post Malone
(2022)
... (head writer)


- Benedict Cumberbatch/Arcade Fire
(2022)
... (head writer)


- Lizzo
(2022)
... (head writer)


- Jake Gyllenhaal/Camila Cabello
(2022)
... (head writer)





Show all 189 episodes",2013,2022
370,Michael Che,actor,2014-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Weekend Update Anchor / Lester Holt / 2 Black Guyz / ...",164,"2014-2022

Saturday Night Live
(TV Series)

Weekend Update Anchor / Lester Holt / 2 Black Guyz / ...

- Miles Teller/Kendrick Lamar
(2022)
... Weekend Update Anchor


- Natasha Lyonne/Japanese Breakfast
(2022)
... Weekend Update Anchor


- Selena Gomez/Post Malone
(2022)
... Weekend Update Anchor


- Benedict Cumberbatch/Arcade Fire
(2022)
... Weekend Update Anchor


- Lizzo
(2022)
... Weekend Update Anchor





Show all 164 episodes",2014,2022
433,Michael Che,self,2021-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Weekend Update Anchor",1,"2021

Saturday Night Live
(TV Series)

Weekend Update Anchor

- Rami Malek/Young Thug
(2021)
... Weekend Update Anchor",2021,2021
647,Tina Fey,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (head writer - 127 episodes, 1999 - 2006) (writer - 56 episodes, 1997 - 2004) (written by - 3 episodes, 2015 - 2021) (writing supervisor - 2 episodes, 1999 - 2000) (additional sketch - 1 episode, 2011) (supervising writer - 1 episode, 2000)",175,"Saturday Night Live
(TV Series) (head writer - 127 episodes, 1999 - 2006) (writer - 56 episodes, 1997 - 2004) (written by - 3 episodes, 2015 - 2021) (writing supervisor - 2 episodes, 1999 - 2000) (additional sketch - 1 episode, 2011) (supervising writer - 1 episode, 2000)


- Paul Rudd/Charli XCX
(2021)
... (written by)


- Jimmy Fallon/Harry Styles
(2017)
... (written by)


- Tracy Morgan/Demi Lovato
(2015)
... (written by)


- Jimmy Fallon/Michael Bublé
(2011)
... (additional sketch)


- Kevin Spacey/Nelly Furtado
(2006)
... (head writer)





Show all 175 episodes",1997,2021
660,Tina Fey,actress,1997-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Weekend Update Anchor / Various / Gov. Sarah Palin / ...",142,"1997-2021

Saturday Night Live
(TV Series)

Weekend Update Anchor / Various / Gov. Sarah Palin / ...

- Maya Rudolph/Jack Harlow
(2021)
... Gloria Zellwig (uncredited)


- Natalie Portman/Dua Lipa
(2018)
... Various (uncredited)


- Felicity Jones/Sturgill Simpson
(2017)
... Tina Fey (uncredited)


- Lin-Manuel Miranda/Twenty One Pilots
(2016)
... Denise McDonough (uncredited)


- Ronda Rousey/Selena Gomez
(2016)
... Sarah Palin (uncredited)





Show all 142 episodes",1997,2021
690,Tina Fey,self,1999-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Various / ...",17,"1999-2022

Saturday Night Live
(TV Series)

Self / Self - Host / Various / ...

- John Mulaney/LCD Soundsystem
(2022)
... Self (uncredited)


- Paul Rudd/Charli XCX
(2021)
... Self


- SNL At Home: Kristen Wiig/Boyz II Men
(2020)
... Self (uncredited)


- Saturday Night Live at Home: Tom Hanks/Chris Martin
(2020)
... Self (uncredited)


- Jonah Hill/Maggie Rogers
(2018)
... Self - Five-Timers' Club (uncredited)





Show all 17 episodes",1999,2022
856,Dennis Miller,actor,1985-1991,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Weekend Update Anchor / Various / Waiter / ...",111,"1985-1991

Saturday Night Live
(TV Series)

Weekend Update Anchor / Various / Waiter / ...

- George Wendt/Elvis Costello
(1991)
... Weekend Update Anchor


- Delta Burke/Chris Isaak
(1991)
... Weekend Update Anchor


- Steven Seagal/Michael Bolton
(1991)
... Weekend Update Anchor


- Catherine O'Hara/R.E.M.
(1991)
... Weekend Update Anchor


- Jeremy Irons/Fishbone
(1991)
... Weekend Update Anchor





Show all 111 episodes",1985,1991
1105,Jimmy Fallon,self,2001-2020,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Various / ...",10,"2001-2020

Saturday Night Live
(TV Series)

Self / Self - Host / Various / ...

- Timothée Chalamet/Bruce Springsteen & the E Street Band
(2020)
... Self (uncredited)


- Jimmy Fallon/Harry Styles
(2017)
... Self - Host / Jared Kushner / John Travolta / ...


- Jimmy Fallon/Justin Timberlake
(2013)
... Self - Host / Jim Parsons / Barry Gibb / ...


- Martin Short/Paul McCartney
(2012)
... Self (uncredited)


- Lindsay Lohan/Jack White
(2012)
... Self (uncredited)





Show all 10 episodes",2001,2020
1284,Jimmy Fallon,actor,1998-2019,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Jarret / ...",126,"1998-2019

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Jarret / ...

- Jennifer Lopez/DaBaby
(2019)
... Justin Trudeau (uncredited)


- Adam Sandler/Shawn Mendes
(2019)
... 'Sandler Family Reunion' sketch (uncredited)


- Donald Glover/Childish Gambino
(2018)
... Jared Kushner (uncredited)


- Lin-Manuel Miranda/Twenty One Pilots
(2016)
... Doreen Troilo (uncredited)


- Justin Timberlake/Lady Gaga
(2011)
... Barry Gibb (uncredited)





Show all 126 episodes",1998,2019
1433,Jimmy Fallon,archive_footage,2021-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Michael Bublé / Alan Rickman / Harry Styles / ...",1,"2021

Saturday Night Live
(TV Series)

Michael Bublé / Alan Rickman / Harry Styles / ...

- Paul Rudd/Charli XCX
(2021)
... Michael Bublé / Alan Rickman / Harry Styles / ... (uncredited)",2021,2021
1503,Amy Poehler,actress,2001-2012,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Hillary Clinton / ...",146,"2001-2012

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Hillary Clinton / ...

- Maya Rudolph/Sleigh Bells
(2012)
... Self / Hillary Clinton / Betty Caruso (uncredited)


- Jimmy Fallon/Michael Bublé
(2011)
... Self / Patrice Donovan (uncredited)


- Betty White/Jay-Z
(2010)
... Various (uncredited)


- Will Ferrell/Green Day
(2009)
... Weekend Update Anchor / Self (uncredited)


- Hugh Laurie/Kanye West
(2008)
... Weekend Update Anchor / Various





Show all 146 episodes",2001,2012
1566,Amy Poehler,self,2009-2020,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Various / ...",7,"2009-2020

Saturday Night Live
(TV Series)

Self / Self - Host / Various / ...

- Saturday Night Live at Home: Tom Hanks/Chris Martin
(2020)
... Self (uncredited)


- Tina Fey & Amy Poehler/Bruce Springsteen and the E Street Band
(2015)
... Self - Host / Hillary Clinton / Helen Walsh / ...


- Melissa McCarthy/Imagine Dragons
(2014)
... Self (uncredited)


- Ben Affleck/Kanye West
(2013)
... Self (uncredited)


- Mick Jagger
(2012)
... Self (uncredited)





Show all 7 episodes",2009,2020
