relationship,count
"('Chris Rock', 'Kenan Thompson')",45
"('Garrett Morris', 'Jane Curtin')",36
"('Garrett Morris', 'Tom Schiller')",9
"('Jane Curtin', 'Tom Schiller')",11
"('Darrell Hammond', 'J.B. Smoove')",15
"('J.B. Smoove', 'Rob Riley (I)')",2
"('Amy Poehler', 'Norm MacDonald')",34
"('Adam Sandler', 'Chris Rock')",118
"('Adam Sandler', ""Conan O'Brien"")",54
"('Adam Sandler', 'Louis C.K.')",32
"('Adam Sandler', 'Norm MacDonald')",62
"('Adam Sandler', 'Stephen Colbert')",44
"('Adam Sandler', 'Will Ferrell')",120
"('Chris Rock', ""Conan O'Brien"")",68
"('Chris Rock', 'Louis C.K.')",46
"('Chris Rock', 'Norm MacDonald')",42
"('Chris Rock', 'Stephen Colbert')",72
"('Chris Rock', 'Will Ferrell')",97
"(""Conan O'Brien"", 'Louis C.K.')",32
"(""Conan O'Brien"", 'Norm MacDonald')",30
"(""Conan O'Brien"", 'Stephen Colbert')",61
"(""Conan O'Brien"", 'Will Ferrell')",64
"('Louis C.K.', 'Norm MacDonald')",27
"('Louis C.K.', 'Stephen Colbert')",35
"('Louis C.K.', 'Will Ferrell')",38
"('Norm MacDonald', 'Stephen Colbert')",25
"('Norm MacDonald', 'Will Ferrell')",53
"('Stephen Colbert', 'Will Ferrell')",61
"('Dan Aykroyd', 'Robert Downey Jr.')",39
"('Ben Stiller', 'Billy Crystal')",73
"('Ben Stiller', 'Stephen Colbert')",50
"('Billy Crystal', 'Stephen Colbert')",42
"('Max Pross', 'Tom Gammill')",40
"(""Conan O'Brien"", 'Jim Belushi')",26
"('Al Franken', 'Stephen Colbert')",36
"('Akiva Schaffer', 'Andy Samberg')",90
"('Akiva Schaffer', 'Jorma Taccone')",72
"('Andy Samberg', 'Jorma Taccone')",74
"('Ben Stiller', 'Robert Downey Jr.')",81
"('Robert Downey Jr.', 'Stephen Colbert')",29
"('Carol Leifer', 'Christine Ebersole')",6
"('Ben Stiller', 'Bob Odenkirk')",58
"('Ben Stiller', 'Jenny Slate')",25
"('Bob Odenkirk', 'Jenny Slate')",30
"('Mike Myers', 'Will Ferrell')",74
"('Al Franken', 'Darrell Hammond')",26
"('Adam Sandler', 'Jim Breuer')",24
"('Billy Crystal', 'Morwenna Banks')",4
"('Chevy Chase', 'Jimmy Fallon')",50
"('Bill Murray', 'Joe Piscopo')",17
"('Bill Murray', 'Sarah Silverman')",28
"('Joe Piscopo', 'Sarah Silverman')",9
"('Gilbert Gottfried', 'Kevin Nealon')",33
"('Gilbert Gottfried', 'Norm MacDonald')",27
"('Kevin Nealon', 'Norm MacDonald')",46
"('Alex Moffat', 'Hannibal Buress')",4
"('Alex Moffat', 'J.B. Smoove')",3
"('Hannibal Buress', 'J.B. Smoove')",25
"('Amy Poehler', 'Tina Fey')",146
"('Casey Wilson', 'Jay Mohr')",11
"('Chris Rock', 'Sarah Silverman')",81
"('Colin Quinn', 'Tracy Morgan')",33
"('Dan Aykroyd', 'Janeane Garofalo')",20
"('Dan Aykroyd', 'Morwenna Banks')",4
"('Dan Aykroyd', 'Pamela Stephenson')",9
"('Dan Aykroyd', 'Rob Schneider')",37
"('Janeane Garofalo', 'Morwenna Banks')",3
"('Janeane Garofalo', 'Pamela Stephenson')",3
"('Janeane Garofalo', 'Rob Schneider')",31
"('Morwenna Banks', 'Pamela Stephenson')",4
"('Morwenna Banks', 'Rob Schneider')",4
"('Pamela Stephenson', 'Rob Schneider')",7
"('Hannibal Buress', 'Rob Riggle')",22
"('Hannibal Buress', 'Tracy Morgan')",19
"('Hannibal Buress', 'Will Ferrell')",29
"('J.B. Smoove', 'Rob Riggle')",43
"('J.B. Smoove', 'Tracy Morgan')",33
"('J.B. Smoove', 'Will Ferrell')",30
"('Rob Riggle', 'Tracy Morgan')",36
"('Rob Riggle', 'Will Ferrell')",53
"('Tracy Morgan', 'Will Ferrell')",75
"('Al Franken', 'Amy Poehler')",28
"('Al Franken', ""Conan O'Brien"")",37
"('Al Franken', 'E. Jean Carroll')",7
"('Al Franken', 'Fred Armisen')",27
"('Amy Poehler', ""Conan O'Brien"")",53
"('Amy Poehler', 'Darrell Hammond')",47
"('Amy Poehler', 'E. Jean Carroll')",3
"('Amy Poehler', 'Fred Armisen')",83
"('Amy Poehler', 'Stephen Colbert')",56
"(""Conan O'Brien"", 'Darrell Hammond')",24
"(""Conan O'Brien"", 'E. Jean Carroll')",3
"(""Conan O'Brien"", 'Fred Armisen')",34
"('Darrell Hammond', 'E. Jean Carroll')",3
"('Darrell Hammond', 'Fred Armisen')",44
"('Darrell Hammond', 'Stephen Colbert')",20
"('E. Jean Carroll', 'Fred Armisen')",3
"('E. Jean Carroll', 'Stephen Colbert')",4
"('Fred Armisen', 'Stephen Colbert')",37
"('Dennis Miller', 'Joe Piscopo')",17
"('David Koechner', 'Fred Armisen')",32
"('Eddie Murphy', 'Robert Downey Jr.')",50
"('Casey Wilson', 'Chevy Chase')",18
