person,num_credits,potential_percent,def_percent,snl_percent,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Seth Meyers,214,0.8551401869158879,0.3037383177570093,0.13551401869158877,2001.0,2014.0,13.0,9.0,9.0,13.0,11.0,2.0,0.0,8.0,154.0,0.0,1.0,https://www.imdb.com/name/nm1024878/?ref_=fn_nm_nm_1,189.0,253.0,2.0,0.286901233859706
Colin Jost,69,0.927536231884058,0.2608695652173913,0.14492753623188406,2005.0,2021.0,16.0,16.0,7.0,8.0,6.0,2.0,0.0,8.0,151.0,0.0,0.0,https://www.imdb.com/name/nm1906042/?ref_=fn_nm_nm_1,322.0,164.0,2.0,0.2113367201882967
Michael Che,64,0.9375,0.1875,0.09375,2013.0,2021.0,8.0,8.0,4.0,7.0,5.0,2.0,0.0,7.0,143.0,0.0,0.0,https://www.imdb.com/name/nm3846408/?ref_=fn_nm_nm_1,171.0,147.0,0.0,0.2236229055486938
Tina Fey,311,0.887459807073955,0.2958199356913183,0.1607717041800643,1997.0,2006.0,9.0,9.0,7.0,6.0,5.0,1.0,0.0,6.0,117.0,0.0,6.0,https://www.imdb.com/name/nm0275486/?ref_=fn_nm_nm_1,174.0,142.0,15.0,0.2441686021973128
Dennis Miller,180,0.7111111111111111,0.14444444444444443,0.022222222222222223,1985.0,1991.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,111.0,0.0,0.0,https://www.imdb.com/name/nm0588222/?ref_=fn_nm_nm_2,0.0,111.0,0.0,0.1286009414835356
Jimmy Fallon,365,0.7452054794520548,0.20821917808219179,0.08493150684931507,1998.0,2004.0,6.0,0.0,0.0,6.0,5.0,1.0,0.0,4.0,80.0,1.0,3.0,https://www.imdb.com/name/nm0266422/?ref_=fn_nm_nm_1,0.0,126.0,10.0,0.124837706726325
Amy Poehler,335,0.8567164179104477,0.24776119402985075,0.1253731343283582,2001.0,2008.0,7.0,0.0,0.0,8.0,7.0,1.0,0.0,6.0,80.0,1.0,2.0,https://www.imdb.com/name/nm0688132/?ref_=fn_nm_nm_1,0.0,146.0,7.0,0.1413147478002643
Jane Curtin,163,0.7177914110429447,0.25153374233128833,0.049079754601226995,1975.0,1980.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,78.0,0.0,0.0,https://www.imdb.com/name/nm0004852/?ref_=fn_nm_nm_1,0.0,104.0,3.0,0.1213158630654144
Norm MacDonald,156,0.8012820512820513,0.23076923076923078,0.057692307692307696,1993.0,1998.0,5.0,1.0,0.0,5.0,4.0,1.0,0.0,4.0,69.0,0.0,1.0,https://www.imdb.com/name/nm0005172/?ref_=fn_nm_nm_1,20.0,94.0,2.0,0.1199598937335415
Kevin Nealon,312,0.7596153846153846,0.15705128205128205,0.03205128205128205,1986.0,1995.0,9.0,1.0,0.0,9.0,8.0,1.0,0.0,3.0,60.0,0.0,0.0,https://www.imdb.com/name/nm0005265/?ref_=fn_nm_nm_1,20.0,170.0,5.0,0.1328359990574807
Colin Quinn,156,0.7756410256410257,0.14743589743589744,0.057692307692307696,1995.0,2000.0,5.0,2.0,0.0,5.0,4.0,1.0,0.0,3.0,50.0,0.0,0.0,https://www.imdb.com/name/nm0703800/?ref_=fn_nm_nm_1,40.0,86.0,4.0,0.118295052550628
