person,num_credits,potential_percent,def_percent,snl_percent,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Seth Meyers,237,0.8565400843881856,0.28270042194092826,0.1308016877637131,False,2001.0,2014.0,13.0,9.0,9.0,13.0,11.0,2.0,0.0,8.0,154.0,0.0,1.0,https://www.imdb.com/name/nm1024878/?ref_=fn_nm_nm_1,189.0,253.0,2.0,0.286901233859706
Colin Jost,82,0.926829268292683,0.23170731707317074,0.13414634146341464,True,2005.0,2022.0,18.0,18.0,8.0,9.0,7.0,2.0,0.0,9.0,151.0,0.0,0.0,https://www.imdb.com/name/nm1906042/?ref_=fn_nm_nm_1,340.0,181.0,3.0,0.2189128402714662
Michael Che,82,0.9024390243902439,0.17073170731707318,0.0975609756097561,True,2013.0,2022.0,10.0,10.0,6.0,9.0,7.0,2.0,0.0,9.0,143.0,0.0,0.0,https://www.imdb.com/name/nm3846408/?ref_=fn_nm_nm_1,189.0,164.0,1.0,0.2475879145207522
Tina Fey,319,0.8871473354231975,0.2884012539184953,0.15673981191222572,False,1997.0,2006.0,9.0,9.0,7.0,6.0,5.0,1.0,0.0,6.0,117.0,0.0,6.0,https://www.imdb.com/name/nm0275486/?ref_=fn_nm_nm_1,175.0,142.0,17.0,0.2443438486376195
Dennis Miller,187,0.7165775401069518,0.1443850267379679,0.026737967914438502,False,1985.0,1991.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,111.0,0.0,0.0,https://www.imdb.com/name/nm0588222/?ref_=fn_nm_nm_1,0.0,111.0,0.0,0.1286009414835356
Jimmy Fallon,398,0.7437185929648241,0.19597989949748743,0.0829145728643216,False,1998.0,2004.0,6.0,0.0,0.0,6.0,5.0,1.0,0.0,4.0,80.0,1.0,3.0,https://www.imdb.com/name/nm0266422/?ref_=fn_nm_nm_0,0.0,126.0,11.0,0.1248650889826229
Amy Poehler,349,0.8538681948424068,0.24068767908309455,0.12320916905444126,False,2001.0,2008.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,5.0,80.0,1.0,2.0,https://www.imdb.com/name/nm0688132/?ref_=fn_nm_nm_0,0.0,146.0,7.0,0.1302357204446412
Jane Curtin,158,0.7341772151898734,0.25949367088607594,0.05063291139240506,False,1975.0,1980.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,78.0,0.0,0.0,https://www.imdb.com/name/nm0004852/?ref_=fn_nm_nm_1,0.0,104.0,3.0,0.1213158630654144
Norm MacDonald,166,0.8132530120481928,0.22289156626506024,0.060240963855421686,False,1993.0,1998.0,5.0,1.0,0.0,5.0,4.0,1.0,0.0,4.0,69.0,0.0,1.0,https://www.imdb.com/name/nm0005172/?ref_=fn_nm_nm_0,20.0,94.0,3.0,0.1199872759898394
Kevin Nealon,322,0.7546583850931677,0.15838509316770186,0.037267080745341616,False,1986.0,1995.0,9.0,1.0,0.0,9.0,8.0,1.0,0.0,3.0,60.0,0.0,0.0,https://www.imdb.com/name/nm0005265/?ref_=fn_nm_nm_0,20.0,170.0,6.0,0.1328633813137786
