person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Seth Meyers,False,2001,2014,13,9,9,13,11,2,0,8,154,0,1,https://www.imdb.com/name/nm1024878/?ref_=fn_nm_nm_1,189,253,2,0.28690123385970606
Colin Jost,True,2005,2022,18,18,8,9,7,2,0,9,151,0,0,https://www.imdb.com/name/nm1906042/?ref_=fn_nm_nm_1,340,181,3,0.21891284027146624
Michael Che,True,2013,2022,10,10,6,9,7,2,0,9,143,0,0,https://www.imdb.com/name/nm3846408/?ref_=fn_nm_nm_1,189,164,1,0.24758791452075227
Tina Fey,False,1997,2006,9,9,7,6,5,1,0,6,117,0,6,https://www.imdb.com/name/nm0275486/?ref_=fn_nm_nm_1,175,142,17,0.2443438486376195
Dennis Miller,False,1985,1991,6,0,0,6,6,0,0,6,111,0,0,https://www.imdb.com/name/nm0588222/?ref_=fn_nm_nm_1,0,111,0,0.12860094148353568
Jimmy Fallon,False,1998,2004,6,0,0,6,5,1,0,4,80,1,3,https://www.imdb.com/name/nm0266422/?ref_=fn_nm_nm_0,0,126,11,0.12486508898262294
Amy Poehler,False,2001,2008,8,0,0,8,8,0,0,5,80,1,2,https://www.imdb.com/name/nm0688132/?ref_=fn_nm_nm_0,0,146,7,0.1302357204446412
Jane Curtin,False,1975,1980,5,0,0,5,5,0,0,4,78,0,0,https://www.imdb.com/name/nm0004852/?ref_=fn_nm_nm_1,0,104,3,0.12131586306541448
Norm MacDonald,False,1993,1998,5,1,0,5,4,1,0,4,69,0,1,https://www.imdb.com/name/nm0005172/?ref_=fn_nm_nm_0,20,94,3,0.11998727598983942
Kevin Nealon,False,1986,1995,9,1,0,9,8,1,0,3,60,0,0,https://www.imdb.com/name/nm0005265/?ref_=fn_nm_nm_0,20,170,6,0.13286338131377864
Colin Quinn,False,1995,2000,5,2,0,5,3,2,0,3,50,0,0,https://www.imdb.com/name/nm0703800/?ref_=fn_nm_nm_0,40,86,4,0.11729505255062805
Bill Murray,False,1976,1980,4,1,0,4,4,0,0,0,40,0,5,https://www.imdb.com/name/nm0000195/?ref_=fn_nm_nm_0,12,75,6,0.11188401575353639
Chevy Chase,False,1975,1977,2,2,0,2,2,0,0,2,32,1,8,https://www.imdb.com/name/nm0000331/?ref_=fn_nm_nm_0,33,36,18,0.10638833865442428
Brad Hall,False,1982,1984,2,0,0,2,2,0,0,2,28,0,0,https://www.imdb.com/name/nm0355357/?ref_=fn_nm_nm_1,0,40,1,0.10179359604763347
Cecily Strong,True,2012,2023,11,0,0,11,10,1,0,1,21,0,0,https://www.imdb.com/name/nm5198446/?ref_=fn_nm_nm_1,0,202,4,0.1302508680757848
Dan Aykroyd,False,1975,1979,4,3,0,4,4,0,0,1,20,1,1,https://www.imdb.com/name/nm0000101/?ref_=fn_nm_nm_0,63,97,2,0.11740427862319686
Brian Doyle-Murray,False,1977,1982,5,5,0,2,2,0,0,1,20,0,0,https://www.imdb.com/name/nm0236519/?ref_=fn_nm_nm_1,79,52,1,0.06070030994383724
Charles Rocket,False,1980,1981,1,0,0,1,1,0,0,1,12,0,0,https://www.imdb.com/name/nm0734236/?ref_=fn_nm_nm_1,0,12,0,0.09454685278832933
Christopher Guest,False,1984,1985,1,1,0,1,1,0,0,1,10,0,0,https://www.imdb.com/name/nm0001302/?ref_=fn_nm_nm_0,18,19,6,0.09743294260213
Mary Gross,False,1981,1985,4,1,0,4,4,0,0,1,7,0,0,https://www.imdb.com/name/nm0343444/?ref_=fn_nm_nm_0,19,73,4,0.10699902122998765
Christine Ebersole,False,1981,1982,1,0,0,1,1,0,0,1,6,0,0,https://www.imdb.com/name/nm0002056/?ref_=fn_nm_nm_0,0,18,2,0.09437160634802265
Gail Matthius,False,1980,1981,1,0,0,1,1,0,0,1,6,0,0,https://www.imdb.com/name/nm0560257/?ref_=fn_nm_nm_0,0,13,0,0.09368704994057468
Billy Crystal,False,1984,1985,1,1,0,1,1,0,0,2,3,0,3,https://www.imdb.com/name/nm0000345/?ref_=fn_nm_nm_1,17,19,4,0.0961076413973107
Horatio Sanz,False,1998,2006,8,0,0,8,7,1,0,1,2,0,0,https://www.imdb.com/name/nm0764445/?ref_=fn_nm_nm_0,0,159,2,0.11829637214234112
Joe Piscopo,False,1980,1984,4,2,0,4,4,0,0,1,1,0,0,https://www.imdb.com/name/nm0685472/?ref_=fn_nm_nm_1,38,68,5,0.10770000699121438
Garrett Morris,False,1975,1980,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0606541/?ref_=fn_nm_nm_0,1,99,11,0.10821071520123046
Fred Wolf,False,1991,1996,5,4,1,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0937748/?ref_=fn_nm_nm_0,96,19,5,0.08341553447833888
James Downey (I),False,1976,2014,29,29,9,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0235999/?ref_=fn_al_nm_0,559,89,244,0.16557478630589859
