title,media_type,imdb_link,credits_count,snl_alums,cast_count,genres,stars,num_episodes,principal_people,production_companies
Storyline Online,"['TV Series', '2002– 2002– ']",https://www.imdb.com/title/tt0857174/,3,"['Sarah Silverman', 'Seth Meyers']",2,['Family'],"['Jaime Camil', 'Sean Astin', 'Bradley Whitford', 'Amanda Bynes', 'Jane Kaczmarek', 'Tia Mowry-Hardrict', 'Tamera Mowry-Housley', 'Elijah Wood', 'Lou Diamond Phillips', 'Melissa Gilbert', 'William Daniels', 'Esai Morales', 'Bonnie Bartlett', 'Al Gore', 'Hector Elizondo', 'Jason Alexander', 'Amber Tamblyn', 'Camryn Manheim']",71,"['Jaime Camil', 'Sean Astin', 'Bradley Whitford', 'Jaime Camil', 'Sean Astin', 'Bradley Whitford']","['SAG-AFTRA Foundation', 'Imaginaut Entertainment', 'Points of Production', '']"
75th Golden Globe Awards,"['TV Special', '20182018']",https://www.imdb.com/title/tt6635044/,16,"['Colin Jost', 'Laurie Metcalf', 'Pete Schultz', 'John Mulaney', 'Seth Meyers', 'Andy Samberg', 'Tina Fey', 'Nancy Carell', 'Paula Pell', 'Megan Callahan-Shah', 'Katie Rich', 'Amy Poehler', 'Alex Baze', 'Josh Patten']",14,"['Comedy', 'News']","['Matt Smith', 'Margot Robbie', 'Emilia Clarke', 'Natalie Portman', 'Claire Foy', 'Chris Hemsworth', 'Tom Hanks', 'Steven Spielberg', 'Millie Bobby Brown', 'Saoirse Ronan', 'Armie Hammer', 'Timothée Chalamet', 'Alexander Skarsgård', 'Aaron Taylor-Johnson', 'Viola Davis', 'Zac Efron', 'Jessica Chastain', 'Elisabeth Moss']",0,"['Louis J. Horvitz', 'Barry Adelman', 'Michael Shoemaker', 'Alex Baze', 'Matt Smith', 'Margot Robbie', 'Emilia Clarke', 'Louis J. Horvitz', 'Barry Adelman', 'Michael Shoemaker', 'Alex Baze', 'Matt Smith', 'Margot Robbie', 'Emilia Clarke']","['Dick Clark Productions', 'Hollywood Foreign Press Association (HFPA)', '']"
Saturday Night Live: 40th Anniversary Special,"['TV Special', '20152015', 'TV-14TV-14', '1h 46m']",https://www.imdb.com/title/tt3677742/,95,"['Bob Odenkirk', 'Tom Schiller', 'Pete Schultz', 'Tina Fey', 'Maya Rudolph', 'Walter Williams', 'Kenan Thompson', 'Chris Rock', 'Chris Farley', 'Taran Killam', 'Danitra Vance', 'Sarah Schneider', 'Jay Pharoah', 'Steve Higgins', 'Kent Sublette', 'Paula Pell', 'Robert Smigel', 'Leslie Jones', 'Dan Aykroyd', 'Adam Sandler', 'Seth Meyers', 'Jorma Taccone', 'Akiva Schaffer', 'Sasheer Zamata', 'Rachel Dratch', 'Aidy Bryant', 'Bryan H. Tucker', 'Laraine Newman', 'Ana Gasteyer', 'Kate McKinnon', 'Horatio Sanz', 'Herbert Sargent', 'Norm MacDonald', 'Jan Hooks', 'Emily Spivey', 'Erik Kenward', 'Molly Shannon', 'Garrett Morris', 'Joe Piscopo', 'Fred Armisen', 'Ellen Cleghorne', 'Charles Rocket', 'Will Forte', 'Siobhan Fallon Hogan', 'Jason Sudeikis', 'Colin Quinn', 'Jane Curtin', ""Michael O'Donoghue"", 'Martin Short', 'Bill Hader', 'Eddie Murphy', 'Kristen Wiig', 'Jon Lovitz', 'David Spade', 'Lorne Michaels', 'Paul Shaffer', 'Andy Samberg', 'Chevy Chase', 'Tim Meadows', 'Marc Shaiman', 'Eliot Wald', 'Mike Myers', 'Tom Davis (I)', 'Darrell Hammond', 'Bill Murray', 'Colin Jost', 'Jim Belushi', 'Bobby Moynihan', 'Brian Doyle-Murray', 'Billy Crystal', 'Chris Kelly', 'Dana Carvey', 'Cecily Strong', 'James Anderson (XI)', 'Cheri Oteri', 'Vanessa Bayer', 'Larry David', 'Pete Davidson', 'Gilda Radner', 'John Mulaney', 'Phil Hartman', 'Jimmy Fallon', 'Kevin Nealon', 'John Belushi', 'Louis C.K.', 'Amy Poehler', 'Will Ferrell']",87,['Comedy'],"['Fred Armisen', 'Dan Aykroyd', 'Alec Baldwin', 'Vanessa Bayer', 'Jim Belushi', 'Candice Bergen', 'Win Butler', 'Jim Carrey', 'Dana Carvey', 'Chevy Chase', 'Louis C.K.', 'Ellen Cleghorne', 'Bradley Cooper', 'Billy Crystal', 'Jane Curtin', 'Miley Cyrus', 'Larry David', 'Pete Davidson']",0,"['Don Roy King', 'James Anderson', 'Fred Armisen', 'Tina Fey', 'Fred Armisen', 'Dan Aykroyd', 'Alec Baldwin', 'Don Roy King', 'James Anderson', 'Fred Armisen', 'Tina Fey', 'Fred Armisen', 'Dan Aykroyd', 'Alec Baldwin']","['Broadway Video', 'SNL Studios', '']"
The 66th Primetime Emmy Awards,"['TV Special', '20142014', 'TV-14TV-14', '2h 7m']",https://www.imdb.com/title/tt3860114/,20,"['Stephen Colbert', 'Pete Schultz', 'Robert Carlock', 'Louis C.K.', 'Alex Baze', 'Kate McKinnon', 'Sarah Silverman', 'John Lutz', 'Seth Meyers', 'Andy Samberg', 'John Mulaney', 'Billy Crystal', 'Julia Louis-Dreyfus', 'Amy Poehler', 'Kristen Wiig', 'Fred Armisen', 'Alan Zweibel', 'Jimmy Fallon']",18,"['News', 'Reality-TV', 'Talk-Show']","['Seth Meyers', 'Amy Poehler', 'Fred Armisen', 'Andre Braugher', 'Ty Burrell', 'Adam Driver', 'Jesse Tyler Ferguson', 'Tony Hale', 'Zooey Deschanel', 'Allison Williams', 'David Crane', 'Jeffrey Klarik', 'Louis C.K.', 'Liz Friedman', 'Jenji Kohan', 'Simon Blackwell', 'Tony Roche', 'Armando Iannucci']",0,"['Glenn Weiss', 'Alison Agosti', 'Alex Baze', 'Bryan Donaldson', 'Seth Meyers', 'Amy Poehler', 'Fred Armisen', 'Glenn Weiss', 'Alison Agosti', 'Alex Baze', 'Bryan Donaldson', 'Seth Meyers', 'Amy Poehler', 'Fred Armisen']","['Don Mischer Productions', 'Academy of Television Arts and Sciences (ATAS)', '']"
Saturday Night Live: Best of This Season,"['TV Special', '20142014']",https://www.imdb.com/title/tt3461424/,43,"['Beck Bennett', 'Colin Jost', 'Bobby Moynihan', 'Claire Mulaney', 'Aidy Bryant', 'Mikey Day', 'Chris Kelly', 'David Koechner', 'Kate McKinnon', 'Josh Patten', 'Pete Schultz', 'Cecily Strong', 'Tina Fey', 'James Anderson (XI)', 'Rob Klein', 'Kenan Thompson', 'Kyle Mooney', ""Michael Patrick O'Brien (II)"", 'John Milhiser', 'Erik Kenward', 'Taran Killam', 'Vanessa Bayer', 'Nasim Pedrad', 'Noël Wells', 'Sarah Schneider', 'Jay Pharoah', 'Steve Higgins', 'Kent Sublette', 'Lorne Michaels', 'Zach Kanin', 'Paula Pell', 'Katie Rich', 'Tim Robinson', 'Adam McKay', 'Seth Meyers', 'Michael Che', 'Alex Baze', 'Will Ferrell']",38,['Comedy'],"['Don Pardo', 'Alec Baldwin', 'Vanessa Bayer', 'Beck Bennett', 'David Boston', 'Aidy Bryant', 'Steve Carell', 'Miley Cyrus', 'Will Ferrell', 'Tina Fey', 'Lady Gaga', 'Anne Hathaway', 'Josh Hutcherson', 'Taran Killam', 'David Koechner', 'Kate McKinnon', 'Seth Meyers', 'John Milhiser']",0,"['Don Roy King', 'Seth Meyers', 'Colin Jost', 'Rob Klein', 'Don Pardo', 'Alec Baldwin', 'Vanessa Bayer', 'Don Roy King', 'Seth Meyers', 'Colin Jost', 'Rob Klein', 'Don Pardo', 'Alec Baldwin', 'Vanessa Bayer']","['Broadway Video', 'SNL Studios', '']"
2011 White House Correspondents' Association Dinner,"['TV Special', '20112011', '2h']",https://www.imdb.com/title/tt5005908/,5,"['Alex Baze', 'John Mulaney', 'Seth Meyers', 'Doug Abeles']",4,['News'],"['Seth Meyers', 'Barack Obama', 'Michelle Obama', 'Donald Trump']",0,"['Doug Abeles', 'Alex Baze', 'Neal Brennan', 'Seth Meyers', 'Barack Obama', 'Michelle Obama', 'Doug Abeles', 'Alex Baze', 'Neal Brennan', 'Seth Meyers', 'Barack Obama', 'Michelle Obama']",
Saturday Night Live Presidential Bash '08,"['TV Special', '20082008', 'TV-14TV-14', '1h 24m']",https://www.imdb.com/title/tt1315217/,34,"['Jason Sudeikis', 'Dennis Miller', 'Bobby Moynihan', 'Casey Wilson', 'Jane Curtin', 'James Downey (I)', 'Dana Carvey', 'Bill Hader', 'Jan Hooks', 'Tina Fey', 'Kenan Thompson', 'Kristen Wiig', 'Jon Lovitz', 'Erik Kenward', 'Steve Higgins', 'Lorne Michaels', 'Tracy Morgan', 'Andy Samberg', 'Chevy Chase', 'Fred Armisen', 'Phil Hartman', 'Jimmy Fallon', 'Chris Parnell', 'Dan Aykroyd', 'Seth Meyers', 'Darrell Hammond', 'Bill Murray', 'Amy Poehler', 'Will Forte', 'Will Ferrell']",30,['Comedy'],"['Fred Armisen', 'Dan Aykroyd', 'Dana Carvey', 'Chevy Chase', 'Hillary Clinton', 'Jane Curtin', 'Amber Lee Ettinger', 'Jimmy Fallon', 'Will Ferrell', 'Tina Fey', 'Will Forte', 'Rudy Giuliani', 'Al Gore', 'Tipper Gore', 'Bill Hader', 'Darrell Hammond', 'Phil Hartman', 'Jan Hooks']",0,"['Don Roy King', 'Beth McCarthy-Miller', 'Paul Miller', 'James Downey', 'Steve Higgins', 'Erik Kenward', 'Fred Armisen', 'Dan Aykroyd', 'Dana Carvey', 'Don Roy King', 'Beth McCarthy-Miller', 'Paul Miller', 'James Downey', 'Steve Higgins', 'Erik Kenward', 'Fred Armisen', 'Dan Aykroyd', 'Dana Carvey']",
Escape from Virtual Island,"['Podcast Series', '2020– 2020– ']",https://www.imdb.com/title/tt12057310/,7,"['Jason Sudeikis', 'Rachel Dratch', 'John Lutz', 'Seth Meyers', 'Paula Pell', 'Kenan Thompson']",6,['Comedy'],"['Paul Rudd', 'Jack McBrayer', 'Paula Pell', 'Amber Ruffin', 'Sue Galloway', 'Jane Krakowski', 'Jason Sudeikis', 'Seth Meyers', 'Kenan Thompson', 'Olivia Wilde', 'Rachel Dratch', 'Henry Winkler', 'David Pasquesi', 'Scott Adsit', 'Jeff Hiller', 'Connor Ratliff', 'Tami Sagher', 'John Lutz']",11,"['Paul Rudd', 'Jack McBrayer', 'Paula Pell', 'Paul Rudd', 'Jack McBrayer', 'Paula Pell']","['Audible', 'Broadway Video', '']"
Saturday Night Live: Weekend Update Summer Edition,"['TV Series', '2008–20172008–2017', 'TV-14TV-14']",https://www.imdb.com/title/tt1217217/,97,"['Simon Rich', 'Alex Moffat', 'Pete Schultz', 'Brian McElhaney', 'Will Stephen', 'Fran Gillespie', 'Tina Fey', 'Maya Rudolph', 'Kenan Thompson', 'Taran Killam', 'Sarah Schneider', 'Jay Pharoah', 'Steve Higgins', 'Kent Sublette', 'Paula Pell', 'Leslie Jones', 'Seth Meyers', 'Jorma Taccone', 'Michael Che', 'Alex Baze', 'Christine Nangle', 'Akiva Schaffer', 'Neil Casey', 'Aidy Bryant', 'Bryan H. Tucker', 'Kate McKinnon', 'James Downey (I)', 'Emily Spivey', 'Julio Torres', 'Joe Kelly', 'Erik Kenward', 'Hannibal Buress', 'Zack Bornstein', 'Doug Abeles', 'Frank Sebastiano', 'Katie Rich', 'John Solomon', 'Fred Armisen', 'Chris Parnell', 'Tim Robinson', 'Will Forte', 'Jason Sudeikis', 'Jeremy Beiler', 'Casey Wilson', 'Mikey Day', 'Jillian Bell', 'Josh Patten', 'Bill Hader', 'John Lutz', 'Nick Kocher', 'Rob Klein', ""Michael Patrick O'Brien (II)"", 'Kristen Wiig', 'Drew Michael', 'Lorne Michaels', 'Dennis McNicholas', 'Joanna Bradley', 'Andy Samberg', 'Jessica Conrad', 'Kristen Bartlett', 'Marika Sawyer', 'Darrell Hammond', 'Megan Callahan-Shah', 'Bill Murray', 'Colin Jost', 'Bobby Moynihan', 'Chris Kelly', 'Cecily Strong', 'James Anderson (XI)', 'Abby Elliott', 'Vanessa Bayer', 'Nasim Pedrad', 'Pete Davidson', 'Zach Kanin', 'Sudi Green', 'John Mulaney', 'Michael Koman', 'Streeter Seidell', 'Jimmy Fallon', 'Anna Drezen', 'Ryan Perez (I)', 'Dave McCary', 'Adam McKay', 'Amy Poehler', 'Will Ferrell']",85,"['Comedy', 'News']","['Kenan Thompson', 'Seth Meyers', 'Fred Armisen', 'Bill Hader', 'Jason Sudeikis', 'Kristen Wiig', 'Darrell Hammond', 'Amy Poehler', 'Bobby Moynihan', 'Will Forte', 'Colin Jost', 'Michael Che', 'Andy Samberg', 'Nasim Pedrad', 'Cecily Strong', 'Tina Fey', 'Chris Parnell', 'Casey Wilson']",11,"['Kenan Thompson', 'Seth Meyers', 'Fred Armisen', 'Kenan Thompson', 'Seth Meyers', 'Fred Armisen']","['Broadway Video', 'NBC Universal Television', 'SNL Studios', '']"
The Mindy Project,"['TV Series', '2012–20172012–2017', 'TV-14TV-14', '30m']",https://www.imdb.com/title/tt2211129/,14,"['Vanessa Bayer', 'Nasim Pedrad', 'Bill Hader', 'Stephen Colbert', 'Greg Daniels', 'Hannibal Buress', 'Seth Meyers', 'Jordan Black', 'Ana Gasteyer', 'Casey Wilson', 'Paula Pell', 'Charlie Grandy']",12,['Comedy'],"['Mindy Kaling', 'Ike Barinholtz', 'Ed Weeks', 'Chris Messina', 'Xosha Roquemore', 'Beth Grant', 'Adam Pally', 'Zoe Jarman', 'Fortune Feimster', 'Garret Dillahunt', 'Mark Duplass', 'Rhea Perlman', ""Jenny O'Hara"", 'Rebecca Rittenhouse', 'Anders Holm', 'Anna Camp', 'Bryan Greenberg', 'Glenn Howerton']",117,"['Mindy Kaling', 'Mindy Kaling', 'Ike Barinholtz', 'Ed Weeks', 'Mindy Kaling', 'Mindy Kaling', 'Ike Barinholtz', 'Ed Weeks']","['Kaling International', '3 Arts Entertainment', 'Universal Television', '']"
