relationship,count
"('Dave Attell', 'J.B. Smoove')",1
"('Dave Attell', 'Robert Smigel')",1
"('J.B. Smoove', 'Robert Smigel')",1
"('Adam Sandler', 'Ana Gasteyer')",3
"('Adam Sandler', 'Anthony Michael Hall')",1
"('Adam Sandler', 'Chris Parnell')",3
"('Adam Sandler', 'David Koechner')",1
"('Adam Sandler', 'David Spade')",15
"('Adam Sandler', 'Jerry Minor')",1
"('Adam Sandler', 'Jon Lovitz')",9
"('Adam Sandler', 'Laura Kightlinger')",1
"('Adam Sandler', 'Michaela Watkins')",1
"('Adam Sandler', 'Tim Meadows')",5
"('Ana Gasteyer', 'Anthony Michael Hall')",1
"('Ana Gasteyer', 'Chris Parnell')",1
"('Ana Gasteyer', 'David Koechner')",1
"('Ana Gasteyer', 'David Spade')",1
"('Ana Gasteyer', 'Jerry Minor')",1
"('Ana Gasteyer', 'Jon Lovitz')",1
"('Ana Gasteyer', 'Laura Kightlinger')",1
"('Ana Gasteyer', 'Michaela Watkins')",1
"('Ana Gasteyer', 'Tim Meadows')",2
"('Anthony Michael Hall', 'Chris Parnell')",1
"('Anthony Michael Hall', 'David Koechner')",1
"('Anthony Michael Hall', 'David Spade')",1
"('Anthony Michael Hall', 'Jerry Minor')",1
"('Anthony Michael Hall', 'Jon Lovitz')",1
"('Anthony Michael Hall', 'Laura Kightlinger')",1
"('Anthony Michael Hall', 'Michaela Watkins')",1
"('Anthony Michael Hall', 'Tim Meadows')",1
"('Chris Parnell', 'David Koechner')",1
"('Chris Parnell', 'David Spade')",3
"('Chris Parnell', 'Jerry Minor')",1
"('Chris Parnell', 'Jon Lovitz')",3
"('Chris Parnell', 'Laura Kightlinger')",1
"('Chris Parnell', 'Michaela Watkins')",1
"('Chris Parnell', 'Tim Meadows')",1
"('David Koechner', 'David Spade')",1
"('David Koechner', 'Jerry Minor')",1
"('David Koechner', 'Jon Lovitz')",1
"('David Koechner', 'Laura Kightlinger')",1
"('David Koechner', 'Michaela Watkins')",1
"('David Koechner', 'Tim Meadows')",1
"('David Spade', 'Jerry Minor')",1
"('David Spade', 'Jon Lovitz')",7
"('David Spade', 'Laura Kightlinger')",1
"('David Spade', 'Michaela Watkins')",1
"('David Spade', 'Tim Meadows')",5
"('Jerry Minor', 'Jon Lovitz')",1
"('Jerry Minor', 'Laura Kightlinger')",2
"('Jerry Minor', 'Michaela Watkins')",1
"('Jerry Minor', 'Tim Meadows')",1
"('Jon Lovitz', 'Laura Kightlinger')",1
"('Jon Lovitz', 'Michaela Watkins')",1
"('Jon Lovitz', 'Tim Meadows')",3
"('Laura Kightlinger', 'Michaela Watkins')",1
"('Laura Kightlinger', 'Tim Meadows')",1
"('Michaela Watkins', 'Tim Meadows')",1
"('Adam Sandler', 'Bob Odenkirk')",1
"('Adam Sandler', 'Carol Leifer')",1
"('Bob Odenkirk', 'Carol Leifer')",1
"('Bob Odenkirk', 'David Spade')",1
"('Carol Leifer', 'David Spade')",1
"('Adam Sandler', 'Tom Gianas')",1
"('Barry Sobel', 'Bob Odenkirk')",1
"('Barry Sobel', 'Finesse Mitchell')",1
"('Barry Sobel', 'Frank Sebastiano')",1
"('Barry Sobel', 'Horatio Sanz')",1
"('Barry Sobel', 'Jeff Richards (III)')",1
"('Barry Sobel', 'Jerry Minor')",1
"('Barry Sobel', 'Laura Kightlinger')",1
"('Barry Sobel', 'T. Sean Shannon')",1
"('Barry Sobel', 'Tom Gianas')",1
"('Bob Odenkirk', 'Finesse Mitchell')",1
"('Bob Odenkirk', 'Frank Sebastiano')",1
"('Bob Odenkirk', 'Horatio Sanz')",1
"('Bob Odenkirk', 'Jeff Richards (III)')",1
"('Bob Odenkirk', 'Jerry Minor')",1
"('Bob Odenkirk', 'Laura Kightlinger')",1
"('Bob Odenkirk', 'T. Sean Shannon')",1
"('Bob Odenkirk', 'Tom Gianas')",1
"('Finesse Mitchell', 'Frank Sebastiano')",1
"('Finesse Mitchell', 'Horatio Sanz')",1
"('Finesse Mitchell', 'Jeff Richards (III)')",1
"('Finesse Mitchell', 'Jerry Minor')",1
"('Finesse Mitchell', 'Laura Kightlinger')",1
"('Finesse Mitchell', 'T. Sean Shannon')",1
"('Finesse Mitchell', 'Tom Gianas')",1
"('Frank Sebastiano', 'Horatio Sanz')",1
"('Frank Sebastiano', 'Jeff Richards (III)')",1
"('Frank Sebastiano', 'Jerry Minor')",1
"('Frank Sebastiano', 'Laura Kightlinger')",1
"('Frank Sebastiano', 'T. Sean Shannon')",1
"('Frank Sebastiano', 'Tom Gianas')",1
"('Horatio Sanz', 'Jeff Richards (III)')",1
"('Horatio Sanz', 'Jerry Minor')",1
"('Horatio Sanz', 'Laura Kightlinger')",1
"('Horatio Sanz', 'T. Sean Shannon')",1
"('Horatio Sanz', 'Tom Gianas')",1
"('Jeff Richards (III)', 'Jerry Minor')",1
"('Jeff Richards (III)', 'Laura Kightlinger')",1
"('Jeff Richards (III)', 'T. Sean Shannon')",1
"('Jeff Richards (III)', 'Tom Gianas')",1
"('Jerry Minor', 'T. Sean Shannon')",1
"('Jerry Minor', 'Tom Gianas')",1
"('Laura Kightlinger', 'T. Sean Shannon')",1
"('Laura Kightlinger', 'Tom Gianas')",1
"('T. Sean Shannon', 'Tom Gianas')",1
"('Adam Resnick', 'Adam Sandler')",1
"('Adam Resnick', 'Christine Ebersole')",1
"('Adam Sandler', 'Christine Ebersole')",1
"('Adam Sandler', 'Dan Bulla')",1
"('Adam Sandler', 'Ben Stiller')",1
"('Adam Sandler', 'Fred Wolf')",8
"('Adam Sandler', 'Peter Gaulke')",1
"('Fred Wolf', 'Peter Gaulke')",1
"('Adam Sandler', 'Heidi Gardner')",1
"('Adam Sandler', 'Chris Farley')",1
"('Adam Sandler', 'Rob Schneider')",21
"('Adam Sandler', 'Tim Herlihy')",15
"('Rob Schneider', 'Tim Herlihy')",8
"('David Spade', 'Kevin Nealon')",4
"('David Spade', 'Melanie Hutsell')",2
"('Kevin Nealon', 'Melanie Hutsell')",1
"('Adam Sandler', 'Ian Maxtone-Graham')",1
"('Ian Maxtone-Graham', 'Rob Schneider')",1
"('Adam Sandler', 'Kevin Nealon')",11
"('Adam Sandler', 'Steve Koren')",5
"('Kevin Nealon', 'Steve Koren')",2
"('Kevin Nealon', 'Tim Herlihy')",5
"('Steve Koren', 'Tim Herlihy')",5
"('Adam Sandler', 'Jimmy Fallon')",1
"('Jimmy Fallon', 'Kevin Nealon')",1
"('Adam Sandler', 'Norm MacDonald')",6
"('Norm MacDonald', 'Rob Schneider')",5
"('Adam Sandler', 'Chloe Fineman')",1
"('Chloe Fineman', 'Rob Schneider')",1
"('David Spade', 'Rob Schneider')",7
"('Adam Sandler', 'Rachel Dratch')",6
"('Rachel Dratch', 'Rob Schneider')",2
"('Rachel Dratch', 'Steve Koren')",2
"('Rachel Dratch', 'Tim Herlihy')",4
"('Rob Schneider', 'Steve Koren')",2
"('Kevin Nealon', 'Rob Schneider')",5
"('Adam Sandler', 'Dana Carvey')",4
"('Dana Carvey', 'Kevin Nealon')",3
"('Adam Sandler', 'Dan Aykroyd')",2
"('Adam Sandler', 'Maya Rudolph')",3
"('Dan Aykroyd', 'Maya Rudolph')",1
"('Dan Aykroyd', 'Rob Schneider')",2
"('Maya Rudolph', 'Rob Schneider')",2
"('Adam Sandler', 'Fred Armisen')",1
"('Fred Armisen', 'Norm MacDonald')",1
"('Fred Armisen', 'Rob Schneider')",1
"('Kevin Nealon', 'Rachel Dratch')",1
"('Adam Sandler', 'Dan Vitale')",1
"('Adam Sandler', 'Nancy Carell')",1
"('Dan Vitale', 'Kevin Nealon')",1
"('Dan Vitale', 'Nancy Carell')",1
"('Dan Vitale', 'Tim Herlihy')",1
"('Kevin Nealon', 'Nancy Carell')",1
"('Nancy Carell', 'Tim Herlihy')",1
"('Jon Lovitz', 'Kevin Nealon')",3
"('Jon Lovitz', 'Rob Schneider')",5
"('Adam Sandler', 'Dennis Miller')",2
"('David Spade', 'Dennis Miller')",2
"('David Spade', 'Fred Wolf')",5
"('Dennis Miller', 'Fred Wolf')",2
"('Adam Sandler', 'Chris Rock')",6
"('Adam Sandler', 'Tracy Morgan')",1
