person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link
Seth Meyers,FALSE,2001,2014,13,9,9,13,11,2,0,8,154,0,1,https://www.imdb.com/name/nm1024878/?ref_=fn_nm_nm_1
Colin Jost,TRUE,2005,2022,18,18,8,9,7,2,0,9,151,0,0,https://www.imdb.com/name/nm1906042/?ref_=fn_nm_nm_1
Michael Che,TRUE,2013,2022,10,10,6,9,7,2,0,9,143,0,0,https://www.imdb.com/name/nm3846408/?ref_=fn_nm_nm_1
Tina Fey,FALSE,1997,2006,9,9,7,6,5,1,0,6,117,0,6,https://www.imdb.com/name/nm0275486/?ref_=fn_nm_nm_1
Dennis Miller,FALSE,1985,1991,6,0,0,6,6,0,0,6,111,0,0,https://www.imdb.com/name/nm0588222/?ref_=fn_nm_nm_1
Jimmy Fallon,FALSE,1998,2004,6,0,0,6,5,1,0,4,80,1,3,https://www.imdb.com/name/nm0266422/?ref_=fn_nm_nm_0
Amy Poehler,FALSE,2001,2008,8,0,0,8,8,0,0,5,80,1,2,https://www.imdb.com/name/nm0688132/?ref_=fn_nm_nm_0
Jane Curtin,FALSE,1975,1980,5,0,0,5,5,0,0,4,78,0,0,https://www.imdb.com/name/nm0004852/?ref_=fn_nm_nm_1
Norm MacDonald,FALSE,1993,1998,5,1,0,5,4,1,0,4,69,0,1,https://www.imdb.com/name/nm0005172/?ref_=fn_nm_nm_0
Kevin Nealon,FALSE,1986,1995,9,1,0,9,8,1,0,3,60,0,0,https://www.imdb.com/name/nm0005265/?ref_=fn_nm_nm_0
Colin Quinn,FALSE,1995,2000,5,2,0,5,3,2,0,3,50,0,0,https://www.imdb.com/name/nm0703800/?ref_=fn_nm_nm_0
Bill Murray,FALSE,1976,1980,4,1,0,4,4,0,0,0,40,0,5,https://www.imdb.com/name/nm0000195/?ref_=fn_nm_nm_0
Chevy Chase,FALSE,1975,1977,2,2,0,2,2,0,0,2,32,1,8,https://www.imdb.com/name/nm0000331/?ref_=fn_nm_nm_0
Brad Hall,FALSE,1982,1984,2,0,0,2,2,0,0,2,28,0,0,https://www.imdb.com/name/nm0355357/?ref_=fn_nm_nm_1
Cecily Strong,TRUE,2012,2023,11,0,0,11,10,1,0,1,21,0,0,https://www.imdb.com/name/nm5198446/?ref_=fn_nm_nm_1
Dan Aykroyd,FALSE,1975,1979,4,3,0,4,4,0,0,1,20,1,1,https://www.imdb.com/name/nm0000101/?ref_=fn_nm_nm_0
Brian Doyle-Murray,FALSE,1977,1982,5,5,0,2,2,0,0,1,20,0,0,https://www.imdb.com/name/nm0236519/?ref_=fn_nm_nm_1
