person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted
Seth Meyers,FALSE,2001,2014,13,9,9,13,11,2,0,8,154,0,1
Colin Jost,TRUE,2005,2022,18,18,8,9,7,2,0,9,151,0,0
Michael Che,TRUE,2013,2022,10,10,6,9,7,2,0,9,143,0,0
Tina Fey,FALSE,1997,2006,9,9,7,6,5,1,0,6,117,0,6
Dennis Miller,FALSE,1985,1991,6,0,0,6,6,0,0,6,111,0,0
Jimmy Fallon,FALSE,1998,2004,6,0,0,6,5,1,0,4,80,1,3
Amy Poehler,FALSE,2001,2008,8,0,0,8,8,0,0,5,80,1,2
Jane Curtin,FALSE,1975,1980,5,0,0,5,5,0,0,4,78,0,0
Norm MacDonald,FALSE,1993,1998,5,1,0,5,4,1,0,4,69,0,1
Kevin Nealon,FALSE,1986,1995,9,1,0,9,8,1,0,3,60,0,0
Colin Quinn,FALSE,1995,2000,5,2,0,5,3,2,0,3,50,0,0
Bill Murray,FALSE,1976,1980,4,1,0,4,4,0,0,0,40,0,5
Chevy Chase,FALSE,1975,1977,2,2,0,2,2,0,0,2,32,1,8
Brad Hall,FALSE,1982,1984,2,0,0,2,2,0,0,2,28,0,0
Cecily Strong,TRUE,2012,2023,11,0,0,11,10,1,0,1,21,0,0
Dan Aykroyd,FALSE,1975,1979,4,3,0,4,4,0,0,1,20,1,1
Brian Doyle-Murray,FALSE,1977,1982,5,5,0,2,2,0,0,1,20,0,0
Charles Rocket,FALSE,1980,1981,1,0,0,1,1,0,0,1,12,0,0
Christopher Guest,FALSE,1984,1985,1,1,0,1,1,0,0,1,10,0,0
Mary Gross,FALSE,1981,1985,4,1,0,4,4,0,0,1,7,0,0
Christine Ebersole,FALSE,1981,1982,1,0,0,1,1,0,0,1,6,0,0
Gail Matthius,FALSE,1980,1981,1,0,0,1,1,0,0,1,6,0,0
Billy Crystal,FALSE,1984,1985,1,1,0,1,1,0,0,2,3,0,3
Horatio Sanz,FALSE,1998,2006,8,0,0,8,7,1,0,1,2,0,0
Joe Piscopo,FALSE,1980,1984,4,2,0,4,4,0,0,1,1,0,0
Garrett Morris,FALSE,1975,1980,5,0,0,5,5,0,0,0,0,0,0
Fred Wolf,FALSE,1991,1996,5,4,1,2,0,2,0,0,0,0,0
James Downey (I),FALSE,1976,2014,29,29,9,1,0,1,0,0,0,0,0
Tom Davis (I),FALSE,1975,2003,15,15,0,3,0,3,0,0,0,0,0
Al Franken,FALSE,1977,1995,15,15,0,11,0,11,0,0,0,0,0
Tom Schiller,FALSE,1975,1990,7,7,0,1,0,1,0,0,0,0,0
A. Whitney Brown,FALSE,1985,1991,6,6,0,6,0,6,0,0,0,0,0
Michael O'Donoghue,FALSE,1975,1982,6,6,5,1,1,0,0,0,0,0,0
Mikey Day,TRUE,2013,2023,10,4,0,7,5,2,0,0,0,0,0
Phil Hartman,FALSE,1986,1994,8,3,0,8,8,0,0,0,0,1,2
Jim Belushi,FALSE,1983,1985,2,2,0,2,2,0,0,0,0,0,0
Andrew Dismukes,TRUE,2017,2023,5,3,0,3,0,3,0,0,0,0,0
Robin Duke,FALSE,1981,1984,4,2,0,4,4,0,0,0,0,0,0
Leslie Jones,FALSE,2013,2019,6,2,0,5,3,2,0,0,0,0,0
Peter Aykroyd,FALSE,1979,1980,1,1,0,1,0,1,0,0,0,0,0
John Belushi,FALSE,1975,1979,4,1,0,4,4,0,0,0,0,1,0
Rich Hall,FALSE,1984,1985,1,1,0,1,1,0,0,0,0,0,0
Fred Armisen,FALSE,2002,2013,11,0,0,11,9,2,0,0,0,0,1
Morwenna Banks,FALSE,1995,1995,1,0,0,1,1,0,0,0,0,0,0
Vanessa Bayer,FALSE,2010,2017,7,0,0,7,5,2,0,0,0,0,0
Beck Bennett,FALSE,2013,2021,8,0,0,8,6,2,0,0,0,0,0
Jim Breuer,FALSE,1995,1998,3,0,0,3,3,0,0,0,0,0,0
Paul Brittain,FALSE,2010,2012,2,0,0,2,0,2,0,0,0,0,0
Aidy Bryant,FALSE,2012,2022,10,0,0,10,9,1,0,0,0,0,0
Beth Cahill,FALSE,1991,1992,1,0,0,1,0,1,0,0,0,0,0
Dana Carvey,FALSE,1986,1993,7,0,0,7,7,0,0,0,0,1,4
Ellen Cleghorne,FALSE,1991,1995,4,0,0,4,2,0,2,0,0,0,0
George Coe,FALSE,1975,1975,1,0,0,1,1,0,0,0,0,0,0
Joan Cusack,FALSE,1985,1986,1,0,0,1,1,0,0,0,0,0,0
Pete Davidson,FALSE,2014,2022,8,0,0,8,6,2,0,0,0,0,0
Denny Dillon,FALSE,1980,1981,1,0,0,1,1,0,0,0,0,0,0
Robert Downey Jr.,FALSE,1985,1986,1,0,0,1,1,0,0,0,0,0,1
Rachel Dratch,FALSE,1999,2006,7,0,0,7,5,2,0,0,0,0,0
Nora Dunn,FALSE,1985,1990,5,0,0,5,5,0,0,0,0,0,0
Dean Edwards,FALSE,2001,2003,2,0,0,2,0,2,0,0,0,0,0
Abby Elliott,FALSE,2008,2012,4,0,0,4,2,2,0,0,0,0,0
Chris Elliott,FALSE,1994,1995,1,0,0,1,1,0,0,0,0,0,0
Siobhan Fallon Hogan,FALSE,1991,1992,1,0,0,1,0,0,1,0,0,0,0
Chris Farley,FALSE,1990,1995,5,0,0,5,5,0,1,0,0,1,1
Will Ferrell,FALSE,1995,2002,7,0,0,7,7,0,0,0,0,1,5
Chloe Fineman,TRUE,2019,2023,4,0,0,4,2,2,0,0,0,0,0
Will Forte,FALSE,2002,2010,8,0,0,8,7,1,0,0,0,0,0
Heidi Gardner,TRUE,2017,2023,6,0,0,6,4,2,0,0,0,0,0
Janeane Garofalo,FALSE,1994,1995,1,0,0,1,1,0,0,0,0,0,0
Ana Gasteyer,FALSE,1996,2002,6,0,0,6,6,0,0,0,0,0,0
Gilbert Gottfried,FALSE,1980,1981,1,0,0,1,1,0,0,0,0,0,0
Bill Hader,FALSE,2005,2013,8,0,0,8,7,1,0,0,0,0,2
Anthony Michael Hall,FALSE,1985,1986,1,0,0,1,1,0,0,0,0,0,0
Darrell Hammond,FALSE,1995,2009,14,0,0,14,14,0,0,0,0,0,0
Lauren Holt,FALSE,2020,2021,1,0,0,1,0,1,0,0,0,0,0
Jan Hooks,FALSE,1986,1991,5,0,0,5,5,0,0,0,0,0,0
Yvonne Hudson,FALSE,1980,1981,1,0,0,1,0,1,0,0,0,0,0
Melanie Hutsell,FALSE,1991,1994,3,0,0,3,1,2,0,0,0,0,0
Victoria Jackson,FALSE,1986,1992,6,0,0,6,6,0,0,0,0,0,0
Punkie Johnson,TRUE,2020,2023,3,0,0,3,0,3,0,0,0,0,0
Chris Kattan,FALSE,1996,2003,8,0,0,8,7,1,0,0,0,1,0
Taran Killam,FALSE,2010,2016,6,0,0,6,4,2,0,0,0,0,0
David Koechner,FALSE,1995,1996,1,0,0,1,1,0,0,0,0,0,0
Gary Kroeger,FALSE,1982,1985,3,0,0,3,3,0,0,0,0,0,0
Matthew Laurance,FALSE,1980,1981,1,0,0,1,0,1,0,0,0,0,0
Julia Louis-Dreyfus,FALSE,1982,1985,3,0,0,3,3,0,0,0,0,0,3
Jon Lovitz,FALSE,1985,1990,5,0,0,5,5,0,0,0,0,1,1
Michael McKean,FALSE,1994,1995,2,0,0,2,2,0,0,0,0,0,1
Mark McKinney,FALSE,1985,1997,4,1,0,3,3,0,0,0,0,0,0
Kate McKinnon,FALSE,2012,2022,11,0,0,11,9,2,0,0,0,0,0
Tim Meadows,FALSE,1991,2000,10,1,0,10,10,0,0,0,0,1,0
Laurie Metcalf,FALSE,1981,1981,1,0,0,1,0,1,0,0,0,0,0
John Milhiser,FALSE,2013,2014,1,0,0,1,0,1,0,0,0,0,0
Jerry Minor,FALSE,2000,2001,1,1,0,1,0,1,0,0,0,0,0
Finesse Mitchell,FALSE,2003,2006,3,0,0,3,1,2,0,0,0,0,0
Alex Moffat,FALSE,2016,2022,6,0,0,6,4,2,0,0,0,0,0
Jay Mohr,FALSE,1993,1995,2,1,0,2,0,2,0,0,0,0,0
Kyle Mooney,FALSE,2013,2022,9,0,0,9,7,2,0,0,0,0,0
Tracy Morgan,FALSE,1996,2003,7,0,0,7,7,0,0,0,0,1,2
Bobby Moynihan,FALSE,2008,2017,9,0,0,9,7,2,0,0,0,0,0
Eddie Murphy,FALSE,1980,1984,4,2,0,4,3,1,0,0,0,1,3
Mike Myers,FALSE,1989,1995,7,2,0,7,7,1,0,0,0,1,1
Laraine Newman,FALSE,1975,1980,5,0,0,5,5,0,0,0,0,0,0
Don Novello,FALSE,1977,1986,4,4,0,2,0,2,0,0,0,0,1
Luke Null,FALSE,2017,2018,1,0,0,1,0,1,0,0,0,0,0
Ego Nwodim,TRUE,2018,2023,5,0,0,5,3,2,0,0,0,0,0
Michael Patrick O'Brien (II),FALSE,2009,2015,6,5,0,1,0,1,0,0,0,0,0
Cheri Oteri,FALSE,1995,2000,5,0,0,5,5,0,0,0,0,1,0
Chris Parnell,FALSE,1998,2006,8,0,0,8,7,1,0,0,0,0,0
Nasim Pedrad,FALSE,2009,2014,5,0,0,5,3,2,0,0,0,0,0
Jay Pharoah,FALSE,2010,2016,6,0,0,6,4,2,0,0,0,0,0
Emily Prager,FALSE,1981,1981,1,0,0,1,0,1,0,0,0,0,0
Randy Quaid,FALSE,1985,1986,1,0,0,1,1,0,0,0,0,0,0
Gilda Radner,FALSE,1975,1980,5,0,0,5,5,0,0,0,0,1,0
Chris Redd,FALSE,2017,2022,5,0,0,5,3,2,0,0,0,0,0
Jeff Richards (III),FALSE,2001,2004,3,0,0,3,1,2,0,0,0,0,0
Rob Riggle,FALSE,2004,2005,1,0,0,1,0,1,0,0,0,0,0
Ann Risley,FALSE,1980,1981,1,0,0,1,1,0,0,0,0,0,0
Chris Rock,FALSE,1990,1993,3,0,0,3,2,0,1,0,0,1,3
Jon Rudnitsky,FALSE,2015,2016,1,0,0,1,0,1,0,0,0,0,0
Maya Rudolph,FALSE,2000,2007,9,0,0,9,7,2,0,0,0,0,2
Andy Samberg,FALSE,2005,2012,7,0,0,7,6,1,0,0,0,0,1
Paul Shaffer,FALSE,1979,1980,1,0,0,1,0,1,0,0,0,0,1
Molly Shannon,FALSE,1995,2001,7,0,0,7,6,1,0,0,0,1,1
Jenny Slate,FALSE,2009,2010,1,0,0,1,0,1,0,0,0,0,0
Pamela Stephenson,FALSE,1984,1985,1,0,0,1,1,0,0,0,0,0,0
Ben Stiller,FALSE,1989,1990,1,1,0,1,0,1,0,0,0,0,2
Julia Sweeney,FALSE,1990,1994,4,0,0,4,3,0,1,0,0,0,0
Kenan Thompson,FALSE,2003,2023,20,0,0,20,18,2,0,0,0,0,0
Danitra Vance,FALSE,1985,1986,1,0,0,1,1,0,0,0,0,0,0
Melissa Villaseñor,FALSE,2016,2022,6,0,0,6,4,2,0,0,0,0,0
Dan Vitale,FALSE,1985,1986,1,0,0,1,0,1,0,0,0,0,0
Nancy Carell,FALSE,1995,1996,1,0,0,1,1,0,0,0,0,0,0
Michaela Watkins,FALSE,2008,2009,1,0,0,1,0,1,0,0,0,0,0
Damon Wayans,FALSE,1985,1986,1,0,0,1,0,1,0,0,0,0,1
Patrick Weathers,FALSE,1980,1981,1,0,0,1,0,1,0,0,0,0,0
Noël Wells,FALSE,2013,2014,1,0,0,1,0,1,0,0,0,0,0
Brooks Wheelan,FALSE,2013,2014,1,0,0,1,0,1,0,0,0,0,0
Kristen Wiig,FALSE,2005,2012,7,0,0,7,6,1,0,0,0,0,4
Casey Wilson,FALSE,2008,2009,2,0,0,2,0,2,0,0,0,0,0
Sasheer Zamata,FALSE,2014,2017,4,0,0,4,3,1,0,0,0,0,0
Alan Zweibel,FALSE,1980,1980,1,5,0,1,0,1,0,0,0,0,0
Tim Kazurinsky,FALSE,1981,1984,4,3,0,4,4,0,0,0,0,0,0
Laura Kightlinger,FALSE,1994,1995,1,1,0,1,0,1,0,0,0,0,0
Tim Robinson,FALSE,2012,2016,4,3,0,1,0,1,0,0,0,0,0
Tony Rosato,FALSE,1981,1982,1,1,0,1,1,0,0,0,0,0,0
Adam Sandler,FALSE,1990,1995,6,3,0,6,2,3,1,0,0,1,1
Rob Schneider,FALSE,1989,1994,5,3,0,5,2,2,1,0,0,0,0
Harry Shearer,FALSE,1979,1985,2,2,0,2,2,0,0,0,0,0,0
Martin Short,FALSE,1984,1985,1,1,0,1,1,0,0,0,0,0,3
Sarah Silverman,FALSE,1993,1994,1,1,0,1,0,1,0,0,0,0,1
Robert Smigel,FALSE,1985,2008,23,23,0,2,0,2,0,0,0,0,0
David Spade,FALSE,1989,1996,7,3,0,7,3,3,1,0,0,1,2
Jason Sudeikis,FALSE,2003,2013,10,2,0,9,8,1,0,0,0,0,0
Terry Sweeney,FALSE,1980,1986,3,2,0,1,1,0,0,0,0,0,0
Bowen Yang,TRUE,2019,2023,5,1,0,4,2,2,0,0,0,0,0
Anne Beatts,FALSE,1975,1980,5,5,0,0,0,0,0,0,0,0,0
Lorne Michaels,TRUE,1975,2023,43,43,1,0,0,0,0,0,0,0,0
Marilyn Suzanne Miller,FALSE,1975,1995,7,7,0,0,0,0,0,0,0,0,0
Herbert Sargent,FALSE,1975,1995,17,17,2,0,0,0,0,0,0,0,0
Rosie Shuster,FALSE,1975,1988,8,8,0,0,0,0,0,0,0,0,0
Bruce McCall (I),FALSE,1976,1977,1,1,0,0,0,0,0,0,0,0,0
Neil Levy,FALSE,1977,1978,1,1,0,0,0,0,0,0,0,0,0
Brian McConnachie,FALSE,1978,1979,1,1,0,0,0,0,0,0,0,0,0
Walter Williams,FALSE,1978,1979,1,1,0,0,0,0,0,0,0,0,0
Tom Gammill,FALSE,1979,1980,1,1,0,0,0,0,0,0,0,0,0
Matt Neuman,FALSE,1979,1981,2,2,0,0,0,0,0,0,0,0,0
Sarah Paley,FALSE,1979,1980,1,1,0,0,0,0,0,0,0,0,0
Max Pross,FALSE,1979,1980,1,1,0,0,0,0,0,0,0,0,0
Larry Arnstein,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Barry W. Blaustein,FALSE,1980,1983,3,3,0,0,0,0,0,0,0,0,0
Billy Brown (X),FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Ferris Butler,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
John DeBellis,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Jean Doumanian,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Nancy Dowd,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Leslie Fuller (III),FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Mel Green (II),FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
David Hurwitz,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Judith Belushi-Pisano,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Sean Kelly (V),FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Mitchell Kriegman,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Patricia Marx,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Douglas McGrath,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Tom Moore (III),FALSE,1980,1981,1,1,1,0,0,0,0,0,0,0,0
Pamela Norris,FALSE,1980,1984,4,4,0,0,0,0,0,0,0,0,0
Mark Reisman,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
David Sheffield,FALSE,1980,1983,3,3,0,0,0,0,0,0,0,0,0
Jeremy Stevens,FALSE,1980,1981,1,1,1,0,0,0,0,0,0,0,0
Bob Tischler,FALSE,1980,1985,5,5,4,0,0,0,0,0,0,0,0
Mason Williams,FALSE,1980,1981,1,1,1,0,0,0,0,0,0,0,0
Dirk Wittenborn,FALSE,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Joe Bodolai,FALSE,1981,1982,1,1,0,0,0,0,0,0,0,0,0
Nate Herman,FALSE,1981,1985,4,4,0,0,0,0,0,0,0,0,0
Nelson Lyon,FALSE,1981,1982,1,1,0,0,0,0,0,0,0,0,0
Mark O'Donnell (IV),FALSE,1981,1982,1,1,0,0,0,0,0,0,0,0,0
Margaret Oberman,FALSE,1981,1985,4,4,0,0,0,0,0,0,0,0,0
Andrew Smith (III),FALSE,1981,1985,4,4,2,0,0,0,0,0,0,0,0
Terry Southern,FALSE,1981,1982,1,1,0,0,0,0,0,0,0,0,0
Eliot Wald,FALSE,1981,1985,4,4,0,0,0,0,0,0,0,0,0
Andrew Kurtzman,FALSE,1982,1985,3,3,0,0,0,0,0,0,0,0,0
Ellen L. Fogle,FALSE,1982,1983,1,1,0,0,0,0,0,0,0,0,0
Tracy Tormé,FALSE,1982,1983,1,1,0,0,0,0,0,0,0,0,0
Andy Breckman,FALSE,1983,1987,3,3,0,0,0,0,0,0,0,0,0
Adam Green (II),FALSE,1983,1984,1,1,0,0,0,0,0,0,0,0,0
Kevin Kelton,FALSE,1983,1985,2,2,0,0,0,0,0,0,0,0,0
Michael C. McCarthy,FALSE,1983,1984,1,1,0,0,0,0,0,0,0,0,0
Larry David,FALSE,1984,1985,1,1,0,0,0,0,0,0,0,0,0
Rob Riley (I),FALSE,1984,1985,1,1,0,0,0,0,0,0,0,0,0
Jack Handey,FALSE,1985,2001,10,10,0,0,0,0,0,0,0,0,0
Lanier Laney,FALSE,1985,1986,1,1,0,0,0,0,0,0,0,0,0
Carol Leifer,FALSE,1985,1986,1,1,0,0,0,0,0,0,0,0,0
George Meyer,FALSE,1985,1989,4,4,0,0,0,0,0,0,0,0,0
Bruce McCulloch,FALSE,1985,1986,1,1,0,0,0,0,0,0,0,0,0
Richard Rosen (IV),FALSE,1985,1986,1,1,0,0,0,0,0,0,0,0,0
Suzy Schneider,FALSE,1985,1986,1,1,0,0,0,0,0,0,0,0,0
John Swartzwelder,FALSE,1985,1986,1,1,0,0,0,0,0,0,0,0,0
E. Jean Carroll,FALSE,1986,1987,1,1,0,0,0,0,0,0,0,0,0
Marc Shaiman,FALSE,1986,1989,2,2,0,0,0,0,0,0,0,0,0
Bonnie Turner,FALSE,1986,1992,6,6,0,0,0,0,0,0,0,0,0
Terry Turner,FALSE,1986,1992,6,6,0,0,0,0,0,0,0,0,0
Jon Vitti,FALSE,1986,1987,1,1,0,0,0,0,0,0,0,0,0
Christine Zander,FALSE,1986,1993,7,7,0,0,0,0,0,0,0,0,0
Greg Daniels,FALSE,1987,1990,3,3,0,0,0,0,0,0,0,0,0
Conan O'Brien,FALSE,1987,1991,4,4,0,0,0,0,0,0,0,0,0
Bob Odenkirk,FALSE,1987,1991,4,4,0,0,0,0,0,0,0,0,0
John Bowman,FALSE,1988,1989,1,1,0,0,0,0,0,0,0,0,0
Shannon Gaughan,FALSE,1988,1989,1,1,0,0,0,0,0,0,0,0,0
Tom Hymes,FALSE,1989,1990,1,1,0,0,0,0,0,0,0,0,0
Dan McGrath (I),FALSE,1990,1992,2,2,0,0,0,0,0,0,0,0,0
Andy Robin (I),FALSE,1990,1991,1,1,0,0,0,0,0,0,0,0,0
