person,title,imdb_link,snl_alums,credits_count,snl_alums_count
Fred Armisen,Our Flag Means Death,https://www.imdb.com/title/tt11000902/,,1,
Fred Armisen,The Bubble,https://www.imdb.com/title/tt13610562/,,1,
Fred Armisen,Schmigadoon!,https://www.imdb.com/title/tt11808942/,,1,
Fred Armisen,Final Space,https://www.imdb.com/title/tt6317068/,,1,
Fred Armisen,Robot Chicken,https://www.imdb.com/title/tt0437745/,,5,
Fred Armisen,The Mitchells vs the Machines,https://www.imdb.com/title/tt7979580/,,4,
Fred Armisen,Too Late,https://www.imdb.com/title/tt10498792/,,1,
Fred Armisen,Moonbase 8,https://www.imdb.com/title/tt8594164/,,2,
Fred Armisen,All Together Now,https://www.imdb.com/title/tt3155342/,,1,
Fred Armisen,Elena of Avalor,https://www.imdb.com/title/tt4549142/,,3,
Fred Armisen,Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,https://www.imdb.com/title/tt10324166/,,5,
Fred Armisen,Miracle Workers,https://www.imdb.com/title/tt7529770/,,3,
Fred Armisen,Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/,,16,
Fred Armisen,Star Wars Resistance,https://www.imdb.com/title/tt8336340/,,3,
Fred Armisen,Jay and Silent Bob Reboot,https://www.imdb.com/title/tt6521876/,,2,
Fred Armisen,American Dad!,https://www.imdb.com/title/tt0397306/,,13,
Fred Armisen,At Home with Amy Sedaris,https://www.imdb.com/title/tt7552590/,,10,
Fred Armisen,Unbreakable Kimmy Schmidt,https://www.imdb.com/title/tt3339966/,,12,
Fred Armisen,"I Love You, America",https://www.imdb.com/title/tt7509270/,,5,
Fred Armisen,Fortune Rookie,https://www.imdb.com/title/tt9046022/,,2,
Fred Armisen,Brooklyn Nine-Nine,https://www.imdb.com/title/tt2467372/,,11,
Fred Armisen,The Book of Dog,https://www.imdb.com/title/tt10440372/,,2,
Fred Armisen,"Game Over, Man!",https://www.imdb.com/title/tt3317234/,,1,
Fred Armisen,Nature Cat,https://www.imdb.com/title/tt4947580/,,5,
Fred Armisen,Lady Dynamite,https://www.imdb.com/title/tt4789300/,,5,
Fred Armisen,"Cabiria, Charity, Chastity",https://www.imdb.com/title/tt6986764/,,2,
Fred Armisen,Difficult People,https://www.imdb.com/title/tt4676574/,,10,
Fred Armisen,Animals.,https://www.imdb.com/title/tt4953128/,,7,
Fred Armisen,Son of Zorn,https://www.imdb.com/title/tt4798814/,,4,
Fred Armisen,Band Aid,https://www.imdb.com/title/tt5816374/,,1,
Fred Armisen,The Little Hours,https://www.imdb.com/title/tt5666304/,,2,
Fred Armisen,Blunt Talk,https://www.imdb.com/title/tt4197508/,,1,
Fred Armisen,Resurgence: Its Early Albuquerque,https://www.imdb.com/title/tt6260712/,,1,
Fred Armisen,5-Second Films,https://www.imdb.com/title/tt7370554/,,2,
Fred Armisen,Zoolander 2,https://www.imdb.com/title/tt1608290/,,4,
Fred Armisen,Portlandia Presents: Talkative Driver,https://www.imdb.com/title/tt5357798/,,1,
Fred Armisen,The Awesomes,https://www.imdb.com/title/tt2818496/,,18,
Fred Armisen,Last Week Tonight with John Oliver,https://www.imdb.com/title/tt3530232/,,14,
Fred Armisen,Looney Tunes: Rabbits Run,https://www.imdb.com/title/tt4840666/,,1,
Fred Armisen,Jenny Lewis: She's Not Me,https://www.imdb.com/title/tt6316702/,,2,
Fred Armisen,George and the Vacuum,https://www.imdb.com/title/tt4211246/,,1,
Fred Armisen,7 Days in Hell,https://www.imdb.com/title/tt3895884/,,4,
Fred Armisen,Every Morning,https://www.imdb.com/title/tt4178186/,,1,
Fred Armisen,Archer,https://www.imdb.com/title/tt1486217/,,3,
Fred Armisen,Modern Family,https://www.imdb.com/title/tt1442437/,,5,
Fred Armisen,House of Lies,https://www.imdb.com/title/tt1797404/,,2,
Fred Armisen,Broad City,https://www.imdb.com/title/tt2578560/,,9,
Fred Armisen,Above Average Presents,https://www.imdb.com/title/tt5877444/,,37,
Fred Armisen,The Clash: The Last Gang in Town,https://www.imdb.com/title/tt4145640/,,1,
Fred Armisen,Grand Theft Auto V,https://www.imdb.com/title/tt2103188/,,1,
Fred Armisen,The Smurfs 2,https://www.imdb.com/title/tt2017020/,,1,
Fred Armisen,The Smurfs: The Legend of Smurfy Hollow,https://www.imdb.com/title/tt2958484/,,1,
Fred Armisen,Out There,https://www.imdb.com/title/tt2377271/,,1,
Fred Armisen,Kroll Show,https://www.imdb.com/title/tt1981538/,,4,
Fred Armisen,Conan,https://www.imdb.com/title/tt1637574/,,40,
Fred Armisen,Vancouvria,https://www.imdb.com/title/tt2488280/,,1,
Fred Armisen,The Simpsons,https://www.imdb.com/title/tt0096697/,,23,
Fred Armisen,Saturday Night Live: Weekend Update Summer Edition,https://www.imdb.com/title/tt1217217/,,31,
Fred Armisen,The Dictator,https://www.imdb.com/title/tt1645170/,,5,
Fred Armisen,Up All Night,https://www.imdb.com/title/tt1843323/,,5,
Fred Armisen,The Smurfs: A Christmas Carol,https://www.imdb.com/title/tt2062677/,,1,
Fred Armisen,The Smurfs,https://www.imdb.com/title/tt0472181/,,1,
Fred Armisen,Your Pretty Face Is Going to Hell,https://www.imdb.com/title/tt1828357/,,1,
Fred Armisen,Cats & Dogs: The Revenge of Kitty Galore,https://www.imdb.com/title/tt1287468/,,1,
Fred Armisen,"Tim and Eric Awesome Show, Great Job!",https://www.imdb.com/title/tt0912343/,,5,
Fred Armisen,Presidential Reunion,https://www.imdb.com/title/tt1616155/,,7,
Fred Armisen,Parks and Recreation,https://www.imdb.com/title/tt1266020/,,11,
Fred Armisen,Confessions of a Shopaholic,https://www.imdb.com/title/tt1093908/,,3,
Fred Armisen,Bang Blow & Stroke,https://www.imdb.com/title/tt1542994/,,1,
Fred Armisen,Christmas on Mars,https://www.imdb.com/title/tt0363240/,,1,
Fred Armisen,Baby Mama,https://www.imdb.com/title/tt0871426/,,4,
Fred Armisen,The Promotion,https://www.imdb.com/title/tt0803057/,,1,
Fred Armisen,Aqua Teen Hunger Force,https://www.imdb.com/title/tt0297494/,,6,
Fred Armisen,Tim and Eric Nite Live,https://www.imdb.com/title/tt1188970/,,2,
Fred Armisen,The Ex,https://www.imdb.com/title/tt0458364/,,2,
Fred Armisen,Deck the Halls,https://www.imdb.com/title/tt0790604/,,1,
Fred Armisen,Griffin & Phoenix,https://www.imdb.com/title/tt0460812/,,1,
Fred Armisen,Kiss Me Again,https://www.imdb.com/title/tt0436460/,,1,
Fred Armisen,EuroTrip: Deleted Scenes,https://www.imdb.com/title/tt8984960/,,1,
Fred Armisen,"Wake Up, Ron Burgundy",https://www.imdb.com/title/tt0423505/,,7,
Fred Armisen,EuroTrip,https://www.imdb.com/title/tt0356150/,,1,
Fred Armisen,The Frank International Film Festival,https://www.imdb.com/title/tt0395151/,,2,
Fred Armisen,Los Espookys,https://www.imdb.com/title/tt7721046/,,4,
Fred Armisen,Portlandia,https://www.imdb.com/title/tt1780441/,,14,
Fred Armisen,Fred,https://www.imdb.com/title/tt0490721/,,3,
Fred Armisen,This Fool,https://www.imdb.com/title/tt14440068/,,1,
Fred Armisen,Moonbase 8,https://www.imdb.com/title/tt8594164/,,2,
Fred Armisen,Documentary Now!,https://www.imdb.com/title/tt4677934/,,13,
Fred Armisen,Portlandia,https://www.imdb.com/title/tt1780441/,,14,
Fred Armisen,Fred,https://www.imdb.com/title/tt0490721/,,3,
Fred Armisen,You Can Color Outside the Lines... the Big Boys,https://www.imdb.com/title/tt4364438/,,1,
Fred Armisen,The Tonight Show Starring Jimmy Fallon,https://www.imdb.com/title/tt3444938/,,48,
Fred Armisen,Top Chef,https://www.imdb.com/title/tt0765425/,,2,
Fred Armisen,Festpocalypse!,https://www.imdb.com/title/tt14556900/,,7,
Fred Armisen,The Sarah Silverman Podcast,https://www.imdb.com/title/tt13266354/,,1,
Fred Armisen,The At-Home Variety Show,https://www.imdb.com/title/tt12305028/,,3,
Fred Armisen,Let's Go Crazy: The Grammy Salute to Prince,https://www.imdb.com/title/tt11591262/,,2,
Fred Armisen,Carpool Karaoke,https://www.imdb.com/title/tt6396082/,,3,
Fred Armisen,The Kacey Musgraves Christmas Show,https://www.imdb.com/title/tt11225428/,,1,
Fred Armisen,Lights Out with David Spade,https://www.imdb.com/title/tt8129446/,,18,
Fred Armisen,Above Average Presents,https://www.imdb.com/title/tt5877444/,,37,
Fred Armisen,Jimmy Kimmel Live!,https://www.imdb.com/title/tt0320037/,,55,
Fred Armisen,Entertainment Tonight Canada,https://www.imdb.com/title/tt0482346/,,10,
Fred Armisen,33rd Film Independent Spirit Awards,https://www.imdb.com/title/tt7635548/,,2,
Fred Armisen,Larry King Now,https://www.imdb.com/title/tt2322438/,,26,
Fred Armisen,"Finding Your Roots with Henry Louis Gates, Jr.",https://www.imdb.com/title/tt2326517/,,7,
Fred Armisen,Dish Nation,https://www.imdb.com/title/tt1973047/,,13,
Fred Armisen,Hiking with Kevin,https://www.imdb.com/title/tt11393612/,,10,
Fred Armisen,Man in the Camo Jacket,https://www.imdb.com/title/tt5130274/,,1,
Fred Armisen,32nd Film Independent Spirit Awards,https://www.imdb.com/title/tt6576450/,,3,
Fred Armisen,Weekend Today,https://www.imdb.com/title/tt0291679/,,9,
Fred Armisen,The Zoolander Legacy,https://www.imdb.com/title/tt5858366/,,3,
Fred Armisen,Paul Simon at the NY Auto Show,https://www.imdb.com/title/tt5750076/,,2,
Fred Armisen,Hollywood Candy,https://www.imdb.com/title/tt9881768/,,1,
Fred Armisen,WTF with Marc Maron,https://www.imdb.com/title/tt12058860/,,37,
Fred Armisen,The Meltdown with Jonah and Kumail,https://www.imdb.com/title/tt3842964/,,2,
Fred Armisen,AFI Life Achievement Award: A Tribute to Steve Martin,https://www.imdb.com/title/tt4798770/,,6,
Fred Armisen,The Damned: Don't You Wish That We Were Dead,https://www.imdb.com/title/tt3512486/,,1,
Fred Armisen,73 Questions,https://www.imdb.com/title/tt5220922/,,2,
Fred Armisen,Saturday Night Live: 40th Anniversary Special,https://www.imdb.com/title/tt3677742/,,40,
Fred Armisen,Inside Joke at Moontower,https://www.imdb.com/title/tt13858722/,,12,
Fred Armisen,Salad Days,https://www.imdb.com/title/tt3905662/,,1,
Fred Armisen,Rachael Ray,https://www.imdb.com/title/tt0827947/,,20,
