,node,modularity_class
28,Herbert Sargent,2
214,Ellen L. Fogle,2
163,Dan Bulla,2
164,Melissa Villaseñor,2
25,Andrew Smith (III),2
29,Jan Hooks,2
57,Martin Short,2
184,Nancy Carell,1
186,Jonathan Krisel,1
185,Ian Maxtone-Graham,1
230,Michael Schur,1
183,Megan Callahan-Shah,1
188,Jillian Bell,1
182,Katie Rich,1
181,Michael McCullers,1
179,Shelly Gossman,1
178,Pete Schultz,1
177,Christine Nangle,1
187,Tim Robinson,1
189,Chris Kelly,1
175,Leo Allen,1
84,Dean Edwards,1
198,Dave McCary,1
77,Andy Samberg,1
79,Will Forte,1
80,Adam McKay,1
81,Frank Sebastiano,1
82,Leslie Jones,1
86,Jay Pharoah,1
190,James Anderson (XI),1
87,Michael Che,1
193,Brooks Wheelan,1
192,David Iserson,1
90,Simon Rich,1
91,Maya Rudolph,1
191,Sarah Schneider,1
176,Ray James,1
171,Robin Duke,1
174,David Mandel,1
134,Dennis McNicholas,1
150,Jerry Minor,1
151,Bryan H. Tucker,1
145,Rob Klein,1
144,Julio Torres,1
143,Gary Richardson,1
142,Ego Nwodim,1
141,Beck Bennett,1
140,Eddie Murphy,1
139,Liz Cackowski,1
138,Emily Spivey,1
137,Colin Jost,1
136,Josh Patten,1
135,Erik Kenward,1
133,Will Ferrell,1
173,T. Sean Shannon,1
152,Neil Casey,1
154,Andy Breckman,1
155,Eric Slovin,1
156,Jeremy Beiler,1
160,John Milhiser,1
119,Kenan Thompson,1
165,Mikey Day,1
166,Fran Gillespie,1
167,John Solomon,1
168,Taran Killam,1
169,Marika Sawyer,1
170,Nasim Pedrad,1
203,John Lutz,1
149,Jorma Taccone,1
199,Matt Murray (I),1
148,Akiva Schaffer,1
16,Sasheer Zamata,1
46,Alex Baze,1
45,Tracy Morgan,1
44,Tina Fey,1
43,Louis C.K.,1
13,Michael Patrick O'Brien,1
42,Kristen Wiig,1
212,Zach Kanin,1
14,Michael Patrick O'Brien (II) ,1
38,Amy Poehler,1
15,Pete Davidson,1
17,Vanessa Bayer,1
49,Seth Meyers,1
18,Alex Moffat,1
219,Siobhan Fallon Hogan,1
220,Charlie Grandy,1
221,Hannibal Buress,1
30,Laurie Metcalf,1
19,Anna Drezen,1
