imdb_link,movie_coefficient,title,media_type,credits_count,snl_alums,cast_count,genres,stars,num_episodes,principal_people,production_companies,medium,year_start,year_end
https://www.imdb.com/title/tt2070564/,4.69E-05,WatchMojo,"['TV Series', '2006– 2006– ', 'TV-14TV-14']",5,"['Stephen Colbert', 'Will Ferrell', ""Conan O'Brien"", 'Louis C.K.', 'Norm MacDonald']",5,"['Comedy', 'Talk-Show']","['Rebecca Brayton', 'Phoebe De Jeu', 'Ryan', 'Callum Janes', 'Adrian Sousa', 'Stephanie Ng Wan', 'Patrizio Sanzari', 'Josh McLean', 'Keisha Howard', 'Kirsten Ria', 'Nolan North', 'Troy Baker', 'Peter', 'Danny MAlin', 'David Usher', 'Dan Paradis', 'Kat Cressida', 'Candace Flynn']",6592,"['Rebecca Brayton', 'Phoebe De Jeu', 'Ryan', 'Rebecca Brayton', 'Phoebe De Jeu', 'Ryan']",,['TV Series'],2006,2006
https://www.imdb.com/title/tt0170980/,6.28E-05,The Mike Douglas Show,"['TV Series', '1961–19821961–1982']",3,"['Garrett Morris', 'Jane Curtin', 'Tom Schiller']",3,"['Comedy', 'Music', 'Talk-Show']","['Mike Douglas', 'Ellie Frankel', 'Ellie Frankel Sextet', 'Stan Kann', 'Totie Fields', 'Marty Allen', 'Pat Cooper', 'David Brenner', 'Phyllis Diller', 'Kreskin', 'Sandy Baron', 'Louis Nye', 'Rex Reed', 'Joan Rivers', 'Robert Goulet', 'Jimmy Dean', 'Sammy Davis Jr.', 'Carol Lawrence']",4395,"['Mike Douglas', 'Ellie Frankel', 'Ellie Frankel Sextet', 'Mike Douglas', 'Ellie Frankel', 'Ellie Frankel Sextet']","['Westinghouse Broadcasting Company', 'Mike Douglas Entertainments', '']",['TV Series'],1961,1982
https://www.imdb.com/title/tt1442070/,7.25E-05,The Dr. Oz Show,"['TV Series', '2009– 2009– ', 'TV-PGTV-PG', '1h']",2,"['Darrell Hammond', 'J.B. Smoove']",2,['Talk-Show'],"['Mehmet Oz', 'Daphne Oz', 'Odette Warder Henderson', 'Judith Joseph', 'Jamika Pessoa', 'Nancy Grace', 'Sanjay Gupta', 'Mariana Leung', 'Montel Williams', 'Anthony Youn', ""Duane 'Dog' Chapman"", 'Martha Stewart', 'Wendy Williams', 'Nikki Walton', 'Sandra Lee', 'Jordin Sparks Thomas', 'Peter DeLucia', 'Lisa Lillien']",2197,"['Mehmet Oz', 'Daphne Oz', 'Odette Warder Henderson', 'Mehmet Oz', 'Daphne Oz', 'Odette Warder Henderson']","['Harpo Productions', 'Oz Works', 'Zo Co Productions', '']",['TV Series'],2009,2009
https://www.imdb.com/title/tt2261391/,7.40E-05,Chicago Fire,"['TV Series', '2012– 2012– ', 'TV-14TV-14', '43m']",2,"['Rob Riley (I)', 'J.B. Smoove']",2,"['Action', 'Drama']","['Taylor Kinney', 'Christian Stolte', 'Eamonn Walker', 'Joe Minoso', 'Randy Flagler', 'David Eigenberg', 'Jesse Spencer', 'Yuriy Sardarov', 'Anthony Ferraris', 'Kara Killmer', 'Monica Raymund', 'Miranda Rae Mayo', 'Charlie Barnett', 'Daniel Kyri', 'DuShon Monique Brown', 'Lauren German', 'Jon Seda', 'Alberto Rosende']",205,"['Michael Brandt', 'Derek Haas', 'Taylor Kinney', 'Christian Stolte', 'Eamonn Walker', 'Michael Brandt', 'Derek Haas', 'Taylor Kinney', 'Christian Stolte', 'Eamonn Walker']","['Wolf Films', 'Universal Television', '']",['TV Series'],2012,2012
https://www.imdb.com/title/tt0231035/,8.09E-05,NBC Nightly News with Lester Holt,"['TV Series', '1970– 1970– ', '30m']",2,"['Amy Poehler', 'Norm MacDonald']",2,['News'],"['Lester Holt', 'Miguel Almaguer', 'Tom Costello', 'Gabe Gutierrez', 'Kristen Welker', 'Hallie Jackson', 'Peter Alexander', 'Stephanie Gosk', 'Andrea Mitchell', 'Pete Williams', 'Richard Engel', 'Kristen Dahlgren', 'Jo Ling Kent', 'Anne Thompson', 'Joe Fryer', 'Kerry Sanders', 'Kate Snow', 'Gadi Schwartz']",3230,"['Lester Holt', 'Miguel Almaguer', 'Tom Costello', 'Lester Holt', 'Miguel Almaguer', 'Tom Costello']",,['TV Series'],1970,1970
https://www.imdb.com/title/tt2190581/,8.31E-05,C à vous,"['TV Series', '2009– 2009– ']",2,"['Dan Aykroyd', 'Robert Downey Jr.']",2,"['News', 'Talk-Show']","['Anne-Élisabeth Lemoine', 'Anne-Sophie Lapix', 'Alessandra Sublet', 'Patrick Cohen', 'Pierre Lescure', 'Marion Ruggieri', 'Emilie Tran Nguyen', 'Maxime Switek', 'Bertrand Chameroy', 'Matthieu Belliard', 'Mohammed Bouhafsi', 'Antoine Genton', 'Michel Cymès', 'Matthieu Noël', 'Jean-Michel Aphatie', 'Julie Andrieu', 'Roselyne Bachelot', 'Daphné Bürki']",2534,"['Anne-Élisabeth Lemoine', 'Anne-Sophie Lapix', 'Alessandra Sublet', 'Anne-Élisabeth Lemoine', 'Anne-Sophie Lapix', 'Alessandra Sublet']","['France 5', 'Troisième Oeil Productions', 'Troisième Oeil Productions', '']",['TV Series'],2009,2009
https://www.imdb.com/title/tt3695158/,8.88E-05,Outnumbered,"['TV Series', '2014– 2014– ', '1h']",2,"['Ben Stiller', 'Billy Crystal']",2,"['News', 'Talk-Show']","['Harris Faulkner', 'Sandra Smith', 'Melissa Francis', 'Lisa Kennedy Montgomery', 'Andrea Tantaros', 'Emily Compagno', 'Meghan McCain', 'Dagen McDowell', 'Katie Pavlich', 'Lisa Boothe', 'Jessica Tarlov', 'Marie Harf', 'Kayleigh McEnany', 'Leslie Marshall', 'Gillian Turner', 'Tomi Lahren', 'Jedediah Bila', 'Pete Hegseth']",2072,"['Harris Faulkner', 'Sandra Smith', 'Melissa Francis', 'Harris Faulkner', 'Sandra Smith', 'Melissa Francis']",,['TV Series'],2014,2014
https://www.imdb.com/title/tt0094582/,8.91E-05,The Wonder Years,"['TV Series', '1988–19931988–1993', 'TV-PGTV-PG', '22m']",2,"['Max Pross', 'Tom Gammill']",2,"['Comedy', 'Drama', 'Family']","['Fred Savage', 'Dan Lauria', 'Alley Mills', 'Jason Hervey', 'Danica McKellar', 'Josh Saviano', 'Daniel Stern', ""Olivia d'Abo"", 'Michael Tricario', 'Andy Berman', 'Brandon Crane', 'Giovanni Ribisi', 'Robert Picardo', 'Scott Nemes', 'Krista Murphy', 'Ben Stein', 'Raye Birk', 'Sean Baca']",115,"['Carol Black', 'Neal Marlens', 'Fred Savage', 'Dan Lauria', 'Alley Mills', 'Carol Black', 'Neal Marlens', 'Fred Savage', 'Dan Lauria', 'Alley Mills']","['New World Television', 'The Black/Marlens Company', '']",['TV Series'],1988,1993
https://www.imdb.com/title/tt0112044/,8.99E-05,Die Harald Schmidt Show,"['TV Series', '1995–20041995–2004', '1h']",2,"[""Conan O'Brien"", 'Jim Belushi']",2,"['Comedy', 'Talk-Show']","['Harald Schmidt', 'Helmut Zerlett', 'Nathalie Licard', 'Peter Rütten', 'Manuel Andrack', 'Sven Olav Schmidt', 'Suzana Novinscak', 'Li Guo Fu', 'Wang Zhiqin', 'Adelheid Asenbaum', 'Herr Lüdemann', 'Ralf Kabelka', 'Peter Helf', 'Ina Werner', 'Julian Caine', 'Antoine Fillon', 'Raphaela Dell', 'Georg Kappenstein']",1288,"['Harald Schmidt', 'Harald Schmidt', 'Helmut Zerlett', 'Nathalie Licard', 'Harald Schmidt', 'Harald Schmidt', 'Helmut Zerlett', 'Nathalie Licard']","['Bonito TV-Produktions GmbH', 'Brainpool', 'Sat.1', '']",['TV Series'],1995,2004
https://www.imdb.com/title/tt6518878/,0.000107483,Paul Murray Live,"['TV Series', '2010– 2010– ', '2h']",2,"['Ben Stiller', 'Billy Crystal']",2,"['News', 'Sport', 'Talk-Show']","['Paul Murray', 'Rowan Dean', 'Bronwyn Bishop', 'Rita Panahi', 'Cory Bernardi', 'Ross Cameron', 'Campbell Newman', 'Chris Kenny', 'Gary Hardgrave', 'Mark Latham', 'Pauline Hanson', 'Kristy McSweeney', 'Michael Kroger', 'Gideon Rozner', 'Peta Credlin', 'Mike Jeffreys', 'Matt Canavan', 'Jim Molan']",1712,"['Paul Murray', 'Rowan Dean', 'Bronwyn Bishop', 'Paul Murray', 'Rowan Dean', 'Bronwyn Bishop']",,['TV Series'],2010,2010
