relationship,count,source,target
"['Adam Sandler', 'Alan Zweibel']",2,Adam Sandler,Alan Zweibel
"['Adam Sandler', 'Ben Stiller']",8,Adam Sandler,Ben Stiller
"['Adam Sandler', 'Bob Odenkirk']",5,Adam Sandler,Bob Odenkirk
"['Adam Sandler', 'Chris Rock']",15,Adam Sandler,Chris Rock
"['Adam Sandler', ""Conan O'Brien""]",9,Adam Sandler,Conan O'Brien
"['Adam Sandler', 'Gilda Radner']",1,Adam Sandler,Gilda Radner
"['Adam Sandler', 'Kevin Nealon']",6,Adam Sandler,Kevin Nealon
"['Adam Sandler', 'Robert Downey Jr.']",3,Adam Sandler,Robert Downey Jr.
"['Adam Sandler', 'Sarah Silverman']",9,Adam Sandler,Sarah Silverman
"['Alan Zweibel', 'Ben Stiller']",2,Alan Zweibel,Ben Stiller
"['Alan Zweibel', 'Bob Odenkirk']",3,Alan Zweibel,Bob Odenkirk
"['Alan Zweibel', 'Chris Rock']",3,Alan Zweibel,Chris Rock
"['Alan Zweibel', ""Conan O'Brien""]",3,Alan Zweibel,Conan O'Brien
"['Alan Zweibel', 'Gilda Radner']",3,Alan Zweibel,Gilda Radner
"['Alan Zweibel', 'Kevin Nealon']",2,Alan Zweibel,Kevin Nealon
"['Alan Zweibel', 'Robert Downey Jr.']",2,Alan Zweibel,Robert Downey Jr.
"['Alan Zweibel', 'Sarah Silverman']",4,Alan Zweibel,Sarah Silverman
"['Ben Stiller', 'Bob Odenkirk']",7,Ben Stiller,Bob Odenkirk
"['Ben Stiller', 'Chris Rock']",6,Ben Stiller,Chris Rock
"['Ben Stiller', ""Conan O'Brien""]",5,Ben Stiller,Conan O'Brien
"['Ben Stiller', 'Gilda Radner']",2,Ben Stiller,Gilda Radner
"['Ben Stiller', 'Kevin Nealon']",2,Ben Stiller,Kevin Nealon
"['Ben Stiller', 'Robert Downey Jr.']",4,Ben Stiller,Robert Downey Jr.
"['Ben Stiller', 'Sarah Silverman']",8,Ben Stiller,Sarah Silverman
"['Bob Odenkirk', 'Chris Rock']",4,Bob Odenkirk,Chris Rock
"['Bob Odenkirk', ""Conan O'Brien""]",3,Bob Odenkirk,Conan O'Brien
"['Bob Odenkirk', 'Gilda Radner']",1,Bob Odenkirk,Gilda Radner
"['Bob Odenkirk', 'Kevin Nealon']",3,Bob Odenkirk,Kevin Nealon
