Weight,Source,Target
44,Chris Rock,Kenan Thompson
35,Garrett Morris,Jane Curtin
8,Garrett Morris,Tom Schiller
10,Jane Curtin,Tom Schiller
14,Darrell Hammond,J.B. Smoove
1,J.B. Smoove,Rob Riley (I)
33,Amy Poehler,Norm MacDonald
117,Adam Sandler,Chris Rock
53,Adam Sandler,Conan O'Brien
31,Adam Sandler,Louis C.K.
61,Adam Sandler,Norm MacDonald
43,Adam Sandler,Stephen Colbert
119,Adam Sandler,Will Ferrell
67,Chris Rock,Conan O'Brien
45,Chris Rock,Louis C.K.
41,Chris Rock,Norm MacDonald
71,Chris Rock,Stephen Colbert
96,Chris Rock,Will Ferrell
31,Conan O'Brien,Louis C.K.
29,Conan O'Brien,Norm MacDonald
60,Conan O'Brien,Stephen Colbert
63,Conan O'Brien,Will Ferrell
26,Louis C.K.,Norm MacDonald
34,Louis C.K.,Stephen Colbert
37,Louis C.K.,Will Ferrell
24,Norm MacDonald,Stephen Colbert
52,Norm MacDonald,Will Ferrell
60,Stephen Colbert,Will Ferrell
38,Dan Aykroyd,Robert Downey Jr.
72,Ben Stiller,Billy Crystal
49,Ben Stiller,Stephen Colbert
41,Billy Crystal,Stephen Colbert
39,Max Pross,Tom Gammill
25,Conan O'Brien,Jim Belushi
35,Al Franken,Stephen Colbert
89,Akiva Schaffer,Andy Samberg
71,Akiva Schaffer,Jorma Taccone
73,Andy Samberg,Jorma Taccone
80,Ben Stiller,Robert Downey Jr.
28,Robert Downey Jr.,Stephen Colbert
5,Carol Leifer,Christine Ebersole
57,Ben Stiller,Bob Odenkirk
24,Ben Stiller,Jenny Slate
29,Bob Odenkirk,Jenny Slate
73,Mike Myers,Will Ferrell
25,Al Franken,Darrell Hammond
23,Adam Sandler,Jim Breuer
3,Billy Crystal,Morwenna Banks
49,Chevy Chase,Jimmy Fallon
16,Bill Murray,Joe Piscopo
27,Bill Murray,Sarah Silverman
8,Joe Piscopo,Sarah Silverman
32,Gilbert Gottfried,Kevin Nealon
26,Gilbert Gottfried,Norm MacDonald
45,Kevin Nealon,Norm MacDonald
3,Alex Moffat,Hannibal Buress
2,Alex Moffat,J.B. Smoove
24,Hannibal Buress,J.B. Smoove
145,Amy Poehler,Tina Fey
10,Casey Wilson,Jay Mohr
80,Chris Rock,Sarah Silverman
32,Colin Quinn,Tracy Morgan
