weight,source,target
45,Chris Rock,Kenan Thompson
36,Garrett Morris,Jane Curtin
9,Garrett Morris,Tom Schiller
11,Jane Curtin,Tom Schiller
15,Darrell Hammond,J.B. Smoove
2,J.B. Smoove,Rob Riley (I)
34,Amy Poehler,Norm MacDonald
118,Adam Sandler,Chris Rock
54,Adam Sandler,Conan O'Brien
32,Adam Sandler,Louis C.K.
62,Adam Sandler,Norm MacDonald
44,Adam Sandler,Stephen Colbert
120,Adam Sandler,Will Ferrell
68,Chris Rock,Conan O'Brien
46,Chris Rock,Louis C.K.
42,Chris Rock,Norm MacDonald
72,Chris Rock,Stephen Colbert
97,Chris Rock,Will Ferrell
32,Conan O'Brien,Louis C.K.
30,Conan O'Brien,Norm MacDonald
61,Conan O'Brien,Stephen Colbert
64,Conan O'Brien,Will Ferrell
27,Louis C.K.,Norm MacDonald
35,Louis C.K.,Stephen Colbert
38,Louis C.K.,Will Ferrell
25,Norm MacDonald,Stephen Colbert
53,Norm MacDonald,Will Ferrell
61,Stephen Colbert,Will Ferrell
39,Dan Aykroyd,Robert Downey Jr.
73,Ben Stiller,Billy Crystal
50,Ben Stiller,Stephen Colbert
42,Billy Crystal,Stephen Colbert
40,Max Pross,Tom Gammill
26,Conan O'Brien,Jim Belushi
36,Al Franken,Stephen Colbert
90,Akiva Schaffer,Andy Samberg
72,Akiva Schaffer,Jorma Taccone
74,Andy Samberg,Jorma Taccone
81,Ben Stiller,Robert Downey Jr.
29,Robert Downey Jr.,Stephen Colbert
6,Carol Leifer,Christine Ebersole
58,Ben Stiller,Bob Odenkirk
25,Ben Stiller,Jenny Slate
30,Bob Odenkirk,Jenny Slate
74,Mike Myers,Will Ferrell
26,Al Franken,Darrell Hammond
24,Adam Sandler,Jim Breuer
4,Billy Crystal,Morwenna Banks
50,Chevy Chase,Jimmy Fallon
17,Bill Murray,Joe Piscopo
28,Bill Murray,Sarah Silverman
9,Joe Piscopo,Sarah Silverman
33,Gilbert Gottfried,Kevin Nealon
27,Gilbert Gottfried,Norm MacDonald
46,Kevin Nealon,Norm MacDonald
4,Alex Moffat,Hannibal Buress
3,Alex Moffat,J.B. Smoove
25,Hannibal Buress,J.B. Smoove
146,Amy Poehler,Tina Fey
11,Casey Wilson,Jay Mohr
81,Chris Rock,Sarah Silverman
33,Colin Quinn,Tracy Morgan
20,Dan Aykroyd,Janeane Garofalo
4,Dan Aykroyd,Morwenna Banks
9,Dan Aykroyd,Pamela Stephenson
37,Dan Aykroyd,Rob Schneider
3,Janeane Garofalo,Morwenna Banks
3,Janeane Garofalo,Pamela Stephenson
31,Janeane Garofalo,Rob Schneider
4,Morwenna Banks,Pamela Stephenson
4,Morwenna Banks,Rob Schneider
7,Pamela Stephenson,Rob Schneider
22,Hannibal Buress,Rob Riggle
19,Hannibal Buress,Tracy Morgan
29,Hannibal Buress,Will Ferrell
43,J.B. Smoove,Rob Riggle
33,J.B. Smoove,Tracy Morgan
30,J.B. Smoove,Will Ferrell
36,Rob Riggle,Tracy Morgan
53,Rob Riggle,Will Ferrell
75,Tracy Morgan,Will Ferrell
28,Al Franken,Amy Poehler
37,Al Franken,Conan O'Brien
7,Al Franken,E. Jean Carroll
27,Al Franken,Fred Armisen
53,Amy Poehler,Conan O'Brien
47,Amy Poehler,Darrell Hammond
3,Amy Poehler,E. Jean Carroll
83,Amy Poehler,Fred Armisen
56,Amy Poehler,Stephen Colbert
24,Conan O'Brien,Darrell Hammond
3,Conan O'Brien,E. Jean Carroll
34,Conan O'Brien,Fred Armisen
3,Darrell Hammond,E. Jean Carroll
44,Darrell Hammond,Fred Armisen
20,Darrell Hammond,Stephen Colbert
3,E. Jean Carroll,Fred Armisen
4,E. Jean Carroll,Stephen Colbert
37,Fred Armisen,Stephen Colbert
