title,imdb_link,credits_count,snl_alums,cast_count
Our Flag Means Death,https://www.imdb.com/title/tt11000902/,1,['Fred Armisen'],1
The Bubble,https://www.imdb.com/title/tt13610562/,1,['Fred Armisen'],1
Schmigadoon!,https://www.imdb.com/title/tt11808942/,1,['Fred Armisen'],1
Final Space,https://www.imdb.com/title/tt6317068/,1,['Fred Armisen'],1
Robot Chicken,https://www.imdb.com/title/tt0437745/,5,"['Chris Parnell', 'Fred Armisen', 'Mikey Day', 'Taran Killam']",4
The Mitchells vs the Machines,https://www.imdb.com/title/tt7979580/,4,"['Fred Armisen', 'Maya Rudolph', 'Jay Pharoah', 'Beck Bennett']",4
Too Late,https://www.imdb.com/title/tt10498792/,1,['Fred Armisen'],1
Moonbase 8,https://www.imdb.com/title/tt8594164/,2,['Fred Armisen'],1
All Together Now,https://www.imdb.com/title/tt3155342/,1,['Fred Armisen'],1
Elena of Avalor,https://www.imdb.com/title/tt4549142/,3,"['Chris Parnell', 'Fred Armisen', 'Horatio Sanz']",3
Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,https://www.imdb.com/title/tt10324166/,5,"['Chris Parnell', 'Fred Armisen', 'Heidi Gardner', 'Tina Fey']",4
Miracle Workers,https://www.imdb.com/title/tt7529770/,3,"['Chris Parnell', 'Fred Armisen', 'Tim Meadows']",3
Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/,16,"['Chris Parnell', 'David Koechner', 'George Coe', 'Gary Kroeger', 'Laraine Newman', 'Jerry Minor', 'Kevin Nealon', 'Nasim Pedrad', 'Brad Hall', 'Julia Louis-Dreyfus', 'Cheri Oteri', 'Nora Dunn', 'Fred Armisen', 'Tim Meadows', 'Jon Rudnitsky', 'Michael McKean']",16
Star Wars Resistance,https://www.imdb.com/title/tt8336340/,3,"['Fred Armisen', 'Bobby Moynihan', 'Taran Killam']",3
Jay and Silent Bob Reboot,https://www.imdb.com/title/tt6521876/,2,"['Fred Armisen', 'Molly Shannon']",2
