person,credit_type,media_type,title,imdb_link,total_episode_count
Seth Meyers,writer,"(TV Series) (2 episodes, 2019 - 2020) (written by - 175 episodes, 2014 - 2019)",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,177
Seth Meyers,producer,(TV Series) (producer - 1 episode),Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Seth Meyers,self,"(TV Series)

Self - Host / 'Bad Men' Actor / Donald Trump / ...",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,"1,206"
Colin Jost,writer,(TV Series) (writer - 1 episode),Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Colin Jost,self,"(TV Series)

Self / Self - Guest / Self - Sketch Co-Writer",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,12
Michael Che,self,"(TV Series)

Self / Self - Guest / Self - Guest Comic",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,10
Tina Fey,self,"(TV Series)

Self - Guest / Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,7
Tina Fey,archive_footage,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Dennis Miller,self,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Jimmy Fallon,self,"(TV Series)

Self / Self - Guest",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,4
Amy Poehler,self,"(TV Series)

Self - Guest / Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,13
Jane Curtin,self,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Kevin Nealon,self,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Colin Quinn,self,"(TV Series)

Self / Self - Angrily Swiping Things Off Desk",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,10
Cecily Strong,self,"(TV Series)

Self / Self - Guest",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,7
Dan Aykroyd,self,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Horatio Sanz,actor,"(TV Series)

El Chapo",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Horatio Sanz,self,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,3
Joe Piscopo,self,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Al Franken,self,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Mikey Day,self,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Jim Belushi,self,"(TV Series)

Self",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,1
Leslie Jones,self,"(TV Series)

Self / Self - 'Game of Jones'",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,11
Fred Armisen,actor,"(TV Series)

Lee Smith - Musical Guest: Test Pattern / Richie Cornish - Musical Guest: Blue Jean Committee",Late Night with Seth Meyers,https://www.imdb.com/title/tt3513388/,2
