person,year_start,year_end,head_writer,imdb_link
Anne Beatts,,,,https://www.imdb.com/name/nm0064186/?ref_=fn_nm_nm_1
Chevy Chase,,,,https://www.imdb.com/name/nm0000331/?ref_=fn_nm_nm_1
Tom Davis,,,,https://www.imdb.com/name/nm4269084/?ref_=fn_nm_nm_1
Al Franken,,,,https://www.imdb.com/name/nm0291253/?ref_=fn_nm_nm_1
Lorne Michaels,,,y,https://www.imdb.com/name/nm0584427/?ref_=fn_nm_nm_1
Marilyn Suzanne Miller,,,,https://www.imdb.com/name/nm0588897/?ref_=fn_nm_nm_1
Michael O'Donoghue,,,y,https://www.imdb.com/name/nm0640874/?ref_=fn_nm_nm_1
Herb Sargent,,,,
Tom Schiller,,,,https://www.imdb.com/name/nm0771680/?ref_=fn_nm_nm_1
Rosie Shuster,,,,https://www.imdb.com/name/nm0776874/?ref_=fn_nm_nm_1
Alan Zweibel,,,,https://www.imdb.com/name/nm0958993/?ref_=fn_nm_nm_1
Dan Aykroyd,,,,https://www.imdb.com/name/nm0000101/?ref_=fn_nm_nm_1
John Belushi,,,,https://www.imdb.com/name/nm0000004/?ref_=fn_nm_nm_1
Jim Downey,,,y,https://www.imdb.com/name/nm9978675/?ref_=fn_nm_nm_2
Bruce McCall,,,,https://www.imdb.com/name/nm0564620/?ref_=fn_nm_nm_1
Bill Murray,,,,https://www.imdb.com/name/nm0000195/?ref_=fn_nm_nm_1
Brian Doyle-Murray,,,,https://www.imdb.com/name/nm0236519/?ref_=fn_nm_nm_1
Neil Levy,,,,https://www.imdb.com/name/nm0506561/?ref_=fn_nm_nm_1
Don Novello,,,,https://www.imdb.com/name/nm0637038/?ref_=fn_nm_nm_1
Brian McConnachie,,,,https://www.imdb.com/name/nm0566234/?ref_=fn_nm_nm_1
Walter Williams,,,,https://www.imdb.com/name/nm0931906/?ref_=fn_nm_nm_2
Peter Aykroyd,,,,https://www.imdb.com/name/nm0043839/?ref_=fn_nm_nm_1
Tom Gammill,,,,https://www.imdb.com/name/nm0303991/?ref_=fn_nm_nm_1
Matt Neuman,,,,https://www.imdb.com/name/nm1238470/?ref_=fn_nm_nm_1
Alan Brudner,,,,
Sarah Paley,,,,https://www.imdb.com/name/nm1238548/?ref_=fn_nm_nm_1
Max Pross,,,,https://www.imdb.com/name/nm0698795/?ref_=fn_nm_nm_1
Harry Shearer,,,,https://www.imdb.com/name/nm0733427/?ref_=fn_nm_nm_1
Larry Arnstein,,,,https://www.imdb.com/name/nm0036784/?ref_=fn_nm_nm_1
Barry W. Blaustein,,,,https://www.imdb.com/name/nm0087904/?ref_=fn_nm_nm_1
Billy Brown,,,,https://www.imdb.com/name/nm0113117/?ref_=fn_nm_nm_1
Ferris Butler,,,,https://www.imdb.com/name/nm2953521/?ref_=fn_nm_nm_1
John DeBellis,,,,https://www.imdb.com/name/nm0213377/?ref_=fn_nm_nm_1
Jean Doumanian,,,,https://www.imdb.com/name/nm0235389/?ref_=fn_nm_nm_1
Nancy Dowd,,,,https://www.imdb.com/name/nm0235683/?ref_=fn_nm_nm_1
Leslie Fisher,,,,https://www.imdb.com/name/nm7021489/?ref_=fn_nm_nm_1
Mel Green,,,,https://www.imdb.com/name/nm0338153/?ref_=fn_nm_nm_1
David Hurwitz,,,,https://www.imdb.com/name/nm0403791/?ref_=fn_nm_nm_3
Judy Jacklin,,,,https://www.imdb.com/name/nm0413149/?ref_=fn_nm_nm_2
Sean Kelly,,,,https://www.imdb.com/name/nm0446856/?ref_=fn_nm_nm_1
Mitchell Kriegman,,,,https://www.imdb.com/name/nm0471233/?ref_=fn_nm_nm_1
Patricia Marx,,,,https://www.imdb.com/name/nm0555658/?ref_=fn_nm_nm_2
Douglas McGrath,,,,https://www.imdb.com/name/nm0569790/?ref_=fn_nm_nm_2
Tom Moore,,,y,https://www.imdb.com/name/nm0601962/?ref_=fn_nm_nm_1
Pamela Norris,,,,https://www.imdb.com/name/nm0635873/?ref_=fn_nm_nm_1
Mark Reisman,,,,https://www.imdb.com/name/nm0718459/?ref_=fn_nm_nm_1
David Sheffield,,,,https://www.imdb.com/name/nm0790775/?ref_=fn_nm_nm_1
Jeremy Stevens,,,y,https://www.imdb.com/name/nm0828484/?ref_=fn_nm_nm_1
Terry Sweeney,,,,https://www.imdb.com/name/nm0842202/?ref_=fn_nm_nm_1
