,person,credit_type,year,title,imdb_link,media_type,total_episode_count,add_info,year_start,year_end,keep?
93,Fred Armisen,self,2016-2020,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Osama Bin Laden / ...",4,"2016-2020

Saturday Night Live
(TV Series)

Self / Self - Host / Osama Bin Laden / ...

- SNL At Home: Brad Pitt/Miley Cyrus
(2020)
... Self (uncredited)


- Saturday Night Live at Home: Tom Hanks/Chris Martin
(2020)
... Self (uncredited)


- Fred Armisen/Courtney Barnett
(2016)
... Self - Host / Osama Bin Laden / Regine / ...


- Adam Driver/Chris Stapleton
(2016)
... Self - Guest (uncredited)",2016,2020,keep_year
159,Fred Armisen,actor,2002-2020,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Barack Obama / Prince / ...",236,"2002-2020

Saturday Night Live
(TV Series)

Various / Barack Obama / Prince / ...

- John Mulaney/David Byrne
(2020)
... Mike Bloomberg (uncredited)


- RuPaul/Justin Bieber
(2020)
... Michael Bloomberg (uncredited)


- Eddie Murphy/Lizzo
(2019)
... Mike Bloomberg (uncredited)


- Will Ferrell/King Princess
(2019)
... Michael Bloomberg / Pocahontas' father (uncredited)


- Chance the Rapper
(2019)
... Recep Tayyip Erdogan (uncredited)





Show all 236 episodes",2002,2020,keep_year
427,Dan Aykroyd,self,1976-2003,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self - Host / Self / announcer / ...",2,"1976-2003

Saturday Night Live
(TV Series)

Self - Host / Self / announcer / ...

- Dan Aykroyd/Beyonce
(2003)
... Self - Host


- Buck Henry/Gordon Lightfoot
(1976)
... Self / announcer / Kenny Slungard / ...",1976,2003,keep_year
492,Dan Aykroyd,actor,1975-2013,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Jimmy Carter / ...",97,"1975-2013

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Jimmy Carter / ...

- Justin Timberlake
(2013)
... Georg Festrunk / Self (uncredited)


- Alec Baldwin/Jonas Brothers
(2009)
... John Boehner (uncredited)


- Peyton Manning/Carrie Underwood
(2007)
... Sanjaya Fan (uncredited)


- Queen Latifah/Ms. Dynamite
(2003)
... Sen. Bob Dole (uncredited)


- Britney Spears
(2002)
... Various (uncredited)





Show all 97 episodes",1975,2013,keep_year
638,Peter Aykroyd,writer,1979-1980,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 20 episodes),20,"1979-1980

Saturday Night Live
(TV Series) (writer - 20 episodes)


- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... (writer)


- Steve Martin/Paul & Linda McCartney/3-D
(1980)
... (writer)


- Bob Newhart/The Amazing Rhythm Aces/Bruce Cockburn
(1980)
... (writer)


- Strother Martin/The Specials
(1980)
... (writer)


- Burt Reynolds/Anne Murray
(1980)
... (writer)





Show all 20 episodes",1979,1980,keep_year
647,Peter Aykroyd,actor,1979-1980,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Performer / Guest / ...",16,"1979-1980

Saturday Night Live
(TV Series)

Various / Performer / Guest / ...

- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... Guest / Hunter


- Bob Newhart/The Amazing Rhythm Aces/Bruce Cockburn
(1980)
... Jeremy Travers (uncredited)


- Strother Martin/The Specials
(1980)
... Camper (uncredited)


- Paul Simon, James Taylor & David Sanborn
(1980)
... Various


- Rodney Dangerfield/The J. Geils Band
(1980)
... Various





Show all 16 episodes",1979,1980,keep_year
724,Morwenna Banks,self,1995-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Becky Lynn / Mary Wade / ...",1,"1995

Saturday Night Live
(TV Series)

Self / Becky Lynn / Mary Wade / ...

- David Duchovny/Rod Stewart
(1995)
... Self / Becky Lynn / Mary Wade / ...",1995,1995,keep_year
770,Morwenna Banks,actress,1995-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various",3,"1995

Saturday Night Live
(TV Series)

Various

- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Various


- Damon Wayans/Dionne Farris
(1995)
... Various",1995,1995,keep_year
796,Vanessa Bayer,actress,2010-2017,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Miley Cyrus / Jacob / ...",149,"2010-2017

Saturday Night Live
(TV Series)

Various / Miley Cyrus / Jacob / ...

- Dwayne Johnson/Katy Perry
(2017)
... Dat Snatch / Dawn Lazarus / Various


- Melissa McCarthy/Haim
(2017)
... Various


- Chris Pine/LCD Soundsystem
(2017)
... Nadine / Dawn Lazarus / Auto Shop Customer / ...


- Jimmy Fallon/Harry Styles
(2017)
... Haley / Jacob / Sasha


- Louis C.K./The Chainsmokers
(2017)
... Various





Show all 149 episodes",2010,2017,keep_year
969,Jim Belushi,self,1984-2003,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self",2,"1984-2003

Saturday Night Live
(TV Series)

Self

- Dan Aykroyd/Beyonce
(2003)
... Self (uncredited)


- Eddie Murphy/Robert Plant & The Honeydrippers
(1984)
... Self (credit only)",1984,2003,keep_year
