person,credit_type,year,title,imdb_link,episode_count,add_info,year_start,year_end,keep?
Fred Armisen,actor-tt11000902,,Our Flag Means Death,https://www.imdb.com/title/tt11000902/,4,"Our Flag Means Death
(TV Series) (filming)


- Discomfort In A Married State


- A Gentleman Pirate


- A Damned Man


- Episode #1.1",0,0,keep_year
Fred Armisen,actor-tt13610562,,The Bubble,https://www.imdb.com/title/tt13610562/,0,"The Bubble
(post-production)",0,0,keep_year
Fred Armisen,actor-tt11808942,2021,Schmigadoon!,https://www.imdb.com/title/tt11808942/,6,"2021

Schmigadoon!
(TV Series)

Reverend Howard Layton

- How We Change
(2021)
... Reverend Howard Layton


- Tribulation
(2021)
... Reverend Howard Layton (credit only)


- Suddenly
(2021)
... Reverend Howard Layton


- Cross That Bridge
(2021)
... Reverend Howard Layton


- Lovers' Spat
(2021)
... Reverend Howard Layton





Show all 6 episodes",2021,0,keep_year
Fred Armisen,actor-tt6317068,2018-2021,Final Space,https://www.imdb.com/title/tt6317068/,6,"2018-2021

Final Space
(TV Series)

KVN / Evil KVNs / Queen / ...

- The Devil's Den
(2021)
... KVN (voice)


- The Leaving
(2021)
... KVN (voice)


- The Dead Speak
(2021)
... KVN (voice)


- Until the Sky Falls
(2021)
... KVN (voice)


- Hyper-Transdimensional Bridge Rising
(2021)
... KVN / Evil KVNs / Queen (voice)





Show all 36 episodes",2018,2021,keep_year
Fred Armisen,actor-tt0437745,2015-2021,Robot Chicken,https://www.imdb.com/title/tt0437745/,3,"2015-2021

Robot Chicken
(TV Series short)

Archie Andrews / Maxwell Lord / Jamal Jenkins

- The Bleepin' Robot Chicken Archie Comics Special
(2021)
... Archie Andrews (voice)


- Never Forget
(2018)
... Archie Andrews / Maxwell Lord (voice)


- Cake Pillow
(2015)
... Jamal Jenkins / Archie Andrews (voice)",2015,2021,keep_year
Fred Armisen,actor-tt7979580,2021,The Mitchells vs the Machines,https://www.imdb.com/title/tt7979580/,0,"2021

The Mitchells vs the Machines

Deborahbot 5000 (voice)",2021,0,keep_year
Fred Armisen,actor-tt10498792,2021/II,Too Late,https://www.imdb.com/title/tt10498792/,0,"2021/II

Too Late

Fredo Muñoz",2021,0,keep_year
Fred Armisen,actor-tt8594164,2020,Moonbase 8,https://www.imdb.com/title/tt8594164/,6,"2020

Moonbase 8
(TV Series)

Skip

- Beef
(2020)
... Skip


- Move the Base
(2020)
... Skip


- Visitors
(2020)
... Skip


- Quarantine
(2020)
... Skip


- Rats
(2020)
... Skip





Show all 6 episodes",2020,0,keep_year
Fred Armisen,actor-tt3155342,2020,All Together Now,https://www.imdb.com/title/tt3155342/,0,"2020

All Together Now

Mr. Franks",2020,0,keep_year
Fred Armisen,actor-tt4549142,2020,Elena of Avalor,https://www.imdb.com/title/tt4549142/,1,"2020

Elena of Avalor
(TV Series)

Yolo

- Coronation Day
(2020)
... Yolo (voice)",2020,0,keep_year
Fred Armisen,actor-tt10324166,2020,Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,https://www.imdb.com/title/tt10324166/,0,"2020

Unbreakable Kimmy Schmidt: Kimmy vs the Reverend
(TV Movie)

Robert Durst",2020,0,keep_year
Fred Armisen,actor-tt7529770,2020,Miracle Workers,https://www.imdb.com/title/tt7529770/,1,"2020

Miracle Workers
(TV Series)

Percival Forthwind

- Dark Ages: Music Festival
(2020)
... Percival Forthwind",2020,0,keep_year
Fred Armisen,actor-tt0264235,2020,Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/,1,"2020

Curb Your Enthusiasm
(TV Series)

Wally

- The Surprise Party
(2020)
... Wally",2020,0,keep_year
Fred Armisen,actor-tt8336340,2019,Star Wars Resistance,https://www.imdb.com/title/tt8336340/,1,"2019

Star Wars Resistance
(TV Series)

Lechee

- The Missing Agent
(2019)
... Lechee (voice)",2019,0,keep_year
Fred Armisen,actor-tt6521876,2019,Jay and Silent Bob Reboot,https://www.imdb.com/title/tt6521876/,0,"2019

Jay and Silent Bob Reboot

Merkin",2019,0,keep_year
Fred Armisen,actor-tt0397306,2019,American Dad!,https://www.imdb.com/title/tt0397306/,1,"2019

American Dad!
(TV Series)

Derrick

- Demolition Daddy
(2019)
... Derrick (voice)",2019,0,keep_year
Fred Armisen,actor-tt7552590,2019,At Home with Amy Sedaris,https://www.imdb.com/title/tt7552590/,1,"2019

At Home with Amy Sedaris
(TV Series)

Maximiliano

- Hospital-tality
(2019)
... Maximiliano",2019,0,keep_year
Fred Armisen,actor-tt3339966,2016-2019,Unbreakable Kimmy Schmidt,https://www.imdb.com/title/tt3339966/,5,"2016-2019

Unbreakable Kimmy Schmidt
(TV Series)

Robert Durst / Robertina Durst

- Sliding Van Doors
(2019)
... Robertina Durst


- Kimmy Gets Divorced?!
(2017)
... Robert Durst


- Kimmy Drives a Car!
(2016)
... Robert Durst


- Kimmy Finds Her Mom!
(2016)
... Robert Durst


- Kimmy Goes Roller Skating!
(2016)
... Robert Durst",2016,2019,keep_year
