person,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Seth Meyers,2001,2014,13,9,9,13,11,2,0,8,154,0,1,https://www.imdb.com/name/nm1024878/?ref_=fn_nm_nm_1,189,253,2,0.28690123385970606
Colin Jost,2005,2021,16,16,7,8,6,2,0,8,151,0,0,https://www.imdb.com/name/nm1906042/?ref_=fn_nm_nm_1,320,164,2,0.211095756332875
Michael Che,2013,2021,8,8,4,7,5,2,0,7,143,0,0,https://www.imdb.com/name/nm3846408/?ref_=fn_nm_nm_1,169,147,0,0.2233819416932721
Tina Fey,1997,2006,9,9,7,6,5,1,0,6,117,0,6,https://www.imdb.com/name/nm0275486/?ref_=fn_nm_nm_1,174,142,15,0.2441686021973128
Dennis Miller,1985,1991,6,0,0,6,6,0,0,6,111,0,0,https://www.imdb.com/name/nm0588222/?ref_=fn_nm_nm_2,0,111,0,0.12860094148353568
Jimmy Fallon,1998,2004,6,0,0,6,5,1,0,4,80,1,3,https://www.imdb.com/name/nm0266422/?ref_=fn_nm_nm_1,0,126,10,0.12483770672632502
Amy Poehler,2001,2008,7,0,0,8,7,1,0,6,80,1,2,https://www.imdb.com/name/nm0688132/?ref_=fn_nm_nm_1,0,146,7,0.14131474780026432
Jane Curtin,1975,1980,5,0,0,5,5,0,0,4,78,0,0,https://www.imdb.com/name/nm0004852/?ref_=fn_nm_nm_1,0,104,3,0.12131586306541448
Norm MacDonald,1993,1998,5,1,0,5,4,1,0,4,69,0,1,https://www.imdb.com/name/nm0005172/?ref_=fn_nm_nm_1,20,94,2,0.1199598937335415
Kevin Nealon,1986,1995,9,1,0,9,8,1,0,3,60,0,0,https://www.imdb.com/name/nm0005265/?ref_=fn_nm_nm_1,20,170,5,0.13283599905748072
Colin Quinn,1995,2000,5,2,0,5,4,1,0,3,50,0,0,https://www.imdb.com/name/nm0703800/?ref_=fn_nm_nm_1,40,86,4,0.11829505255062803
Bill Murray,1976,1980,4,1,0,4,4,0,0,2,40,0,5,https://www.imdb.com/name/nm0000195/?ref_=fn_nm_nm_1,12,73,8,0.11168686350819138
Chevy Chase,1975,1977,2,2,0,2,2,0,0,2,32,1,8,https://www.imdb.com/name/nm0000331/?ref_=fn_nm_nm_1,33,36,18,0.10638833865442428
Brad Hall,1982,1984,2,0,0,2,2,0,0,2,28,0,0,https://www.imdb.com/name/nm0355357/?ref_=fn_nm_nm_1,0,40,1,0.10179359604763347
Cecily Strong,2012,2021,9,0,0,9,8,1,0,1,21,0,0,https://www.imdb.com/name/nm5198446/?ref_=fn_nm_nm_1,0,189,0,0.12627521044849935
Dan Aykroyd,1975,1979,4,3,0,4,4,0,0,1,20,1,1,https://www.imdb.com/name/nm0000101/?ref_=fn_nm_nm_1,63,97,2,0.11740427862319686
Brian Doyle-Murray,1977,1982,5,5,0,2,0,2,0,1,20,0,0,https://www.imdb.com/name/nm0236519/?ref_=fn_nm_nm_1,79,52,1,0.05870030994383725
Charles Rocket,1980,1981,1,0,0,1,1,0,0,1,12,0,0,https://www.imdb.com/name/nm0734236/?ref_=fn_nm_nm_1,0,12,0,0.09454685278832933
Christopher Guest,1984,1985,1,1,0,1,1,0,0,1,10,0,0,https://www.imdb.com/name/nm0001302/?ref_=fn_nm_nm_1,18,19,2,0.09732341357693831
Mary Gross,1981,1985,4,1,0,4,4,0,0,1,7,0,0,https://www.imdb.com/name/nm0343444/?ref_=fn_nm_nm_1,19,73,4,0.10699902122998765
Christine Ebersole,1981,1982,1,0,0,1,1,0,0,1,6,0,0,https://www.imdb.com/name/nm0002056/?ref_=fn_nm_nm_1,0,18,2,0.09437160634802265
Gail Matthius,1980,1981,1,0,0,1,1,0,0,1,6,0,0,https://www.imdb.com/name/nm0560257/?ref_=fn_nm_nm_1,0,13,0,0.09368704994057468
Billy Crystal,1984,1985,1,1,0,1,1,0,0,2,3,0,3,https://www.imdb.com/name/nm0000345/?ref_=fn_nm_nm_1,18,19,4,0.09622812332502155
Horatio Sanz,1998,2006,8,0,0,8,7,1,0,1,2,0,0,https://www.imdb.com/name/nm0764445/?ref_=fn_nm_nm_1,0,159,2,0.11829637214234112
Joe Piscopo,1980,1984,4,2,0,4,4,0,0,1,1,0,0,https://www.imdb.com/name/nm0685472/?ref_=fn_nm_nm_1,38,68,5,0.10770000699121438
Garrett Morris,1975,1980,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0606541/?ref_=fn_nm_nm_1,1,97,13,0.10801356295588545
Fred Wolf,1991,1996,5,4,1,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0937748/?ref_=fn_nm_nm_1,96,19,5,0.08341553447833888
James Downey (I),1976,2014,28,31,9,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0235999/?ref_=fn_nm_nm_1,558,89,244,0.16615771597026405
Tom Davis (I),1975,2003,15,15,0,3,0,3,0,0,0,0,0,https://www.imdb.com/name/nm0205569/?ref_=fn_nm_nm_1,279,154,158,0.09029589149635292
Al Franken,1977,1995,15,15,0,12,0,11,0,0,0,0,0,https://www.imdb.com/name/nm0291253/?ref_=fn_nm_nm_1,301,115,201,0.13454488748028864
Tom Schiller,1975,1990,7,7,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0771680/?ref_=fn_nm_nm_1,145,71,24,0.04665976422961811
A. Whitney Brown,1985,1991,6,6,0,6,0,6,0,0,0,0,0,https://www.imdb.com/name/nm0112944/?ref_=fn_nm_nm_1,111,45,22,0.11102700939153132
Michael O'Donoghue,1975,1982,5,5,4,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0640874/?ref_=fn_nm_nm_1,94,35,12,0.15938158048052947
Mikey Day,2013,2021,8,4,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm1510062/?ref_=fn_nm_nm_1,63,108,0,0.08470450467246161
Phil Hartman,1986,1994,8,3,0,8,8,0,0,0,0,1,2,https://www.imdb.com/name/nm0367005/?ref_=fn_nm_nm_1,0,152,14,0.11803966348954813
Jim Belushi,1983,1985,2,2,0,2,2,0,0,0,0,0,0,https://www.imdb.com/name/nm0000902/?ref_=fn_nm_nm_1,32,33,2,0.10019447227983501
Andrew Dismukes,2017,2021,4,2,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm8608160/?ref_=fn_nm_nm_1,64,25,0,0.03636512199669083
Robin Duke,1981,1984,3,2,0,4,4,0,0,0,0,0,0,https://www.imdb.com/name/nm0241208/?ref_=fn_nm_nm_1,39,59,2,0.13537659341427605
Leslie Jones,2013,2019,6,2,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm0428656/?ref_=fn_nm_nm_1,32,105,0,0.09679736353537943
Peter Aykroyd,1979,1980,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0043839/?ref_=fn_nm_nm_1,20,16,0,0.09048880240497775
