,node,modularity_class
168,T. Sean Shannon,3
154,Eric Slovin,3
201,Matt Murray (I),3
174,Ray James,3
173,Leo Allen,3
163,Melissa Villaseñor,3
162,Dan Bulla,3
153,Andy Breckman,3
37,Sarah Silverman,3
230,Richard Francese,3
104,Ben Stiller,3
68,Frank Sebastiano,3
151,Tom Gammill,2
152,Anne Beatts,2
203,Peter Aykroyd,2
159,Rosie Shuster,2
150,Max Pross,2
39,Maya Rudolph,2
185,John Belushi,2
195,Zack Bornstein,2
202,Judith Belushi-Pisano,2
43,Martin Short,2
204,Tom Schiller,2
229,Garrett Morris,2
206,Tom Davis (I),2
3,Jane Curtin,2
216,Bob Tischler,2
217,Sean Kelly (V),2
2,Gilda Radner,2
96,Laraine Newman,2
95,Jordan Black,2
220,Matt Neuman,2
205,Sarah Paley,2
231,Emily Prager,2
227,Brian McConnachie,2
228,Michael O'Donoghue,2
110,Damon Wayans,1
111,Darrell Hammond,1
113,David Koechner,1
112,Dave Attell,1
108,Chris Kattan,1
114,Denny Dillon,1
115,Don Novello,1
116,Ellen Cleghorne,1
117,Finesse Mitchell,1
109,Christopher Guest,1
100,A. Whitney Brown,1
107,Chris Farley,1
106,Brian Doyle-Murray,1
103,Anthony Michael Hall,1
102,Ali Reza,1
101,Al Franken,1
92,Bruce McCulloch,1
93,Cheri Oteri,1
94,Chris Elliott,1
119,Horatio Sanz,1
99,Victoria Jackson,1
98,Larry David,1
1,Dan Aykroyd,1
0,Bill Murray,1
120,Janeane Garofalo,1
135,Rob Riggle,1
223,Terry Turner,1
222,Bonnie Turner,1
221,Jack Handey,1
219,Ellen L. Fogle,1
218,Adam Green (II),1
215,Christine Ebersole,1
169,Paul Brittain,1
142,Fred Wolf,1
137,Warren Hutcherson,1
136,Robert Downey Jr.,1
89,J.B. Smoove,1
134,Rich Hall,1
121,Jay Mohr,1
133,Randy Quaid,1
132,Phil Hartman,1
131,Michael McKean,1
130,Melanie Hutsell,1
129,Matt Graham (II),1
128,Laura Kightlinger,1
126,Julia Sweeney,1
125,Jon Lovitz,1
124,Joan Cusack,1
123,Jim Breuer,1
122,Jim Belushi,1
91,Alan Zweibel,1
118,Harry Shearer,1
71,Dana Carvey,1
73,Norm MacDonald,1
18,Chris Parnell,1
19,Chris Rock,1
17,Chevy Chase,1
16,Billy Crystal,1
14,Rob Schneider,1
61,Nora Dunn,1
62,Tim Meadows,1
40,Rachel Dratch,1
12,Kevin Nealon,1
87,Marc Shaiman,1
10,Herbert Sargent,1
9,Gilbert Gottfried,1
70,Adam Sandler,1
72,David Spade,1
33,Conan O'Brien,1
6,Paul Shaffer,1
75,Steve Koren,1
76,Tim Herlihy,1
77,Ana Gasteyer,1
41,Bob Odenkirk,1
79,Colin Quinn,1
8,Dennis Miller,1
7,Andrew Smith (III),1
74,Robert Smigel,1
5,Molly Shannon,1
4,Mike Myers,1
86,Carol Leifer,1
188,Simon Rich,0
186,Ian Maxtone-Graham,0
194,Kyle Mooney,0
187,Jonathan Krisel,0
191,James Anderson (XI),0
193,Dave McCary,0
192,Sarah Schneider,0
189,Jillian Bell,0
190,Chris Kelly,0
25,Doug Abeles,0
88,Dean Edwards,0
178,Pete Schultz,0
184,David Iserson,0
183,Nancy Carell,0
182,Megan Callahan-Shah,0
181,Katie Rich,0
180,Michael McCullers,0
179,Shelly Gossman,0
177,Michael Patrick O'Brien (II),0
176,Christine Nangle,0
175,Taran Killam,0
26,John Mulaney,0
27,Seth Meyers,0
172,Pete Davidson,0
24,Alex Baze,0
207,Marilyn Suzanne Miller,0
196,Brooks Wheelan,0
212,Martin Herlihy,0
234,Noël Wells,0
233,Kent Sublette,0
232,Greg Daniels,0
226,Hannibal Buress,0
225,Charlie Grandy,0
224,Siobhan Fallon Hogan,0
11,Jan Hooks,0
13,Laurie Metcalf,0
15,Amy Poehler,0
214,Dan Vitale,0
213,Streeter Seidell,0
211,John Higgins (XV),0
197,Bryan H. Tucker,0
210,Dave Sirus,0
209,Ben Marshall (IV),0
208,Casey Wilson,0
170,David Mandel,0
20,Kristen Wiig,0
21,Louis C.K.,0
22,Tina Fey,0
23,Tracy Morgan,0
200,John Lutz,0
199,Natasha Rothwell,0
198,Mike DiCenzo,0
171,Norm Hiscock,0
31,Meredith Scardino,0
28,Bowen Yang,0
47,Alex Moffat,0
49,Chris Redd,0
50,Kate McKinnon,0
51,Sam Jay,0
127,Kenan Thompson,0
52,Steve Higgins,0
53,Sudi Green,0
54,Bobby Moynihan,0
55,Cecily Strong,0
56,Jason Sudeikis,0
57,Jerry Minor,0
58,John Solomon,0
59,Lorne Michaels,0
60,Michael Che,0
63,Tim Robinson,0
64,Zach Kanin,0
65,Adam McKay,0
66,Patrick Weathers,0
