imdb_link,movie_coefficient,title,media_type,credits_count,snl_alums,cast_count,genres,stars,num_episodes,principal_people,production_companies,medium,year_start,year_end
https://www.imdb.com/title/tt0330328/,1.0068505276843067,Gilda Radner's Greatest Moments,"['TV Special', '20022002', '43m']",7,"['Molly Shannon', 'Gilda Radner', 'Dan Aykroyd', 'Paul Shaffer', 'Mike Myers', 'Bill Murray', 'Jane Curtin']",7,Comedy,"['Gilda Radner', 'Molly Shannon', 'Victor Garber', 'Steve Martin', 'Paul Shaffer', 'Lily Tomlin', 'Barbara Walters', 'Dan Aykroyd', 'Don E. Carney', 'Lynda Carter', 'Bob Christianson', 'Pat Corley', 'Jane Curtin', 'Kermit the Frog', 'Jim Henson', 'Eric Idle', 'Madeline Kahn', 'Michael Kane']",0,"['Dennis Rosenblatt', 'David Leaf', 'Gilda Radner', 'Molly Shannon', 'Victor Garber', 'Dennis Rosenblatt', 'David Leaf', 'Gilda Radner', 'Molly Shannon', 'Victor Garber']",,['TV Special'],2002.0,2002.0
https://www.imdb.com/title/tt0346462/,1.0154338817611266,The 43rd Annual Primetime Emmy Awards,"['TV Special', '19911991']",9,"['Kevin Nealon', 'Laurie Metcalf', 'Gilbert Gottfried', 'Andrew Smith (III)', 'Dennis Miller', 'Herbert Sargent', 'Jan Hooks', 'Mike Myers', 'Rob Schneider']",9,,"['Debbie Allen', 'Kirstie Alley', 'Loni Anderson', 'Christina Applegate', 'Bea Arthur', 'Elizabeth Ashley', 'Scott Bakula', 'Roseanne Barr', 'Candice Bergen', 'Peter Bergren', 'Crystal Bernard', 'Corbin Bernsen', 'Rubén Blades', 'John Voss Bonds Jr.', 'Lara Flynn Boyle', 'Blair Brown', 'Delta Burke', 'Carol Burnett']",0,"['Walter C. Miller', 'Bruce Eric Kaplan', 'Herbert Sargent', 'Andrew Smith', 'Debbie Allen', 'Kirstie Alley', 'Loni Anderson', 'Walter C. Miller', 'Bruce Eric Kaplan', 'Herbert Sargent', 'Andrew Smith', 'Debbie Allen', 'Kirstie Alley', 'Loni Anderson']",,['TV Special'],1991.0,1991.0
https://www.imdb.com/title/tt2393995/,1.02816270691003,The 2012 Comedy Awards,"['TV Special', '20122012', '2h']",9,"['Chris Parnell', 'Kristen Wiig', 'Tracy Morgan', 'Louis C.K.', 'Tina Fey', 'Billy Crystal', 'Chevy Chase', 'Amy Poehler', 'Chris Rock']",9,Comedy,"['Will Arnett', 'Louis C.K.', 'Jim Carrey', 'Johnny Carson', 'Chevy Chase', 'Billy Crystal', 'Robert De Niro', 'Paul Feig', 'Tina Fey', 'Whoopi Goldberg', 'Ed Helms', 'Dean Martin', 'Joel McHale', 'Tracy Morgan', 'Patton Oswalt', 'Chris Parnell', 'Matthew Perry', 'Amy Poehler']",0,"['Beth McCarthy-Miller', 'Chris Albers', 'Lewis Friedman', 'Jon Macks', 'Will Arnett', 'Louis C.K.', 'Jim Carrey', 'Beth McCarthy-Miller', 'Chris Albers', 'Lewis Friedman', 'Jon Macks', 'Will Arnett', 'Louis C.K.', 'Jim Carrey']",,['TV Special'],2012.0,2012.0
https://www.imdb.com/title/tt5005908/,1.0380731345742047,2011 White House Correspondents' Association Dinner,"['TV Special', '20112011', '2h']",5,"['Alex Baze', 'John Mulaney', 'Seth Meyers', 'Doug Abeles']",4,News,"['Seth Meyers', 'Barack Obama', 'Michelle Obama', 'Donald Trump']",0,"['Doug Abeles', 'Alex Baze', 'Neal Brennan', 'Seth Meyers', 'Barack Obama', 'Michelle Obama', 'Doug Abeles', 'Alex Baze', 'Neal Brennan', 'Seth Meyers', 'Barack Obama', 'Michelle Obama']",,['TV Special'],2011.0,2011.0
https://www.imdb.com/title/tt10324166/,1.0399468209936624,Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,"['TV Movie', '20202020', 'TV-14TV-14', '1h 20m']",10,"['Chris Parnell', 'Bowen Yang', 'Robert Carlock', 'Tina Fey', 'Meredith Scardino', 'Fred Armisen', 'Heidi Gardner']",7,Adventure|Comedy|Mystery,"['Ellie Kemper', 'Tituss Burgess', 'Carol Kane', 'Jane Krakowski', 'Jon Hamm', 'Daniel Radcliffe', 'Lauren Adams', 'Sara Chase', 'Sol Miranda', 'Amy Sedaris', 'Mike Carlsen', 'Dylan Gelula', 'Chris Parnell', 'Heidi Gardner', 'Jack McBrayer', 'Zak Orth', 'Fred Armisen', 'Johnny Knoxville']",0,"['Claire Scanlon', 'Tina Fey', 'Robert Carlock', 'Sam Means', 'Ellie Kemper', 'Tituss Burgess', 'Carol Kane', 'Claire Scanlon', 'Tina Fey', 'Robert Carlock', 'Sam Means', 'Ellie Kemper', 'Tituss Burgess', 'Carol Kane']","['3 Arts Entertainment', 'Bevel Gears', 'Little Stranger', '']",['TV Movie'],2020.0,2020.0
https://www.imdb.com/title/tt1503169/,1.043488367152713,The 61st Primetime Emmy Awards,"['TV Special', '20092009']",11,"[""Conan O'Brien"", 'Stephen Colbert', 'Tracy Morgan', 'Sarah Silverman', 'Tina Fey', 'Billy Crystal', 'Julia Louis-Dreyfus', 'Amy Poehler', 'Joe Kelly', 'Kristen Wiig', 'Jimmy Fallon']",11,Comedy,"['Neil Patrick Harris', 'Edie Adams', 'Shohreh Aghdashloo', 'Christina Applegate', 'Army Archerd', 'Patricia Arquette', 'Bea Arthur', 'Kevin Bacon', 'Simon Baker', 'Alec Baldwin', 'Drew Barrymore', 'Michael Bearden', 'Stephen Bender', 'Paul Benedict', 'Jeffrey Blitz', 'James Bobin', 'David Boreanaz', 'Ellen Burstyn']",0,"['Glenn Weiss', 'Paul Greenberg', 'Billy Grundfest', 'Jon Macks', 'Neil Patrick Harris', 'Edie Adams', 'Shohreh Aghdashloo', 'Glenn Weiss', 'Paul Greenberg', 'Billy Grundfest', 'Jon Macks', 'Neil Patrick Harris', 'Edie Adams', 'Shohreh Aghdashloo']","['Academy of Television Arts and Sciences (ATAS)', 'Don Mischer Productions', '']",['TV Special'],2009.0,2009.0
https://www.imdb.com/title/tt2935908/,1.0436187982996064,Soundtracks Live,"['TV Movie', '20042004']",6,"['Rachel Dratch', 'Tina Fey', 'Maya Rudolph', 'Amy Poehler', 'Fred Armisen']",5,Comedy|Music,"['Fred Armisen', 'Will Arnett', 'Michael Ian Black', 'Rachel Dratch', 'Tina Fey', 'Jon Glaser', 'Ken Marino', 'Jack McBrayer', 'Amy Miles', 'Amy Poehler', 'Paul Rudd', 'Maya Rudolph', 'Michael Showalter', 'David Wain']",0,"['Amy Miles', 'Amy Poehler', 'Fred Armisen', 'Will Arnett', 'Michael Ian Black', 'Amy Miles', 'Amy Poehler', 'Fred Armisen', 'Will Arnett', 'Michael Ian Black']",,['TV Movie'],2004.0,2004.0
https://www.imdb.com/title/tt5824900/,1.0454166985316604,The 74th Annual Golden Globe Awards 2017,"['TV Special', '20172017', 'TV-14TV-14', '3h']",10,"['Paul Masella', 'Bob Odenkirk', 'Chris Belair', 'Tina Fey', 'Paula Pell', 'Julia Louis-Dreyfus', 'Kristen Wiig', 'Martin Short', 'Jimmy Fallon']",9,News,"['Jimmy Fallon', 'Nicole Kidman', 'Amy Adams', 'Sarah Paulson', 'Sterling K. Brown', 'Courtney B. Vance', 'John Travolta', 'Evan Rachel Wood', 'Rami Malek', 'Kit Harington', 'Millie Bobby Brown', 'Gaten Matarazzo', 'Finn Wolfhard', 'Caleb McLaughlin', 'Shannon Purser', 'Ryan Reynolds', 'Tina Fey', 'Justin Timberlake']",0,"['Louis J. Horvitz', 'Barry Adelman', 'Jonathan Adler', 'Chris Belair', 'Jimmy Fallon', 'Nicole Kidman', 'Amy Adams', 'Louis J. Horvitz', 'Barry Adelman', 'Jonathan Adler', 'Chris Belair', 'Jimmy Fallon', 'Nicole Kidman', 'Amy Adams']","['Dick Clark Productions', 'Hollywood Foreign Press Association (HFPA)', '']",['TV Special'],2017.0,2017.0
https://www.imdb.com/title/tt12113922/,1.0552541349175448,Heads Will Roll,"['Podcast Series', '2020– 2020– ']",10,"['Alex Moffat', 'Anna Drezen', 'Steve Higgins', 'Sudi Green', 'Aidy Bryant', 'Sam Jay', 'Chris Redd', 'Heidi Gardner', 'Kate McKinnon']",9,Comedy,"['Kate McKinnon', 'Emily Lynne', 'Meryl Streep', 'Tim Gunn', 'Audra McDonald', 'Andrea Martin', 'Carol Kane', 'Peter Dinklage', 'Aidy Bryant', 'Alex Moffat', 'Heidi Gardner', 'Chris Redd', 'Steve Higgins', 'Esther Perel', 'Caldwell Tidicue', 'Jonathan Van Ness', 'Antoni Porowski', 'Tan France']",10,"['Emily Lynne', 'Kate McKinnon', 'Kate McKinnon', 'Emily Lynne', 'Meryl Streep', 'Emily Lynne', 'Kate McKinnon', 'Kate McKinnon', 'Emily Lynne', 'Meryl Streep']","['Audible', 'Broadway Video', '']",['Podcast Series'],2020.0,2020.0
https://www.imdb.com/title/tt4779762/,1.0568070029298138,Detroiters,"['TV Series', '2017–20182017–2018', 'TV-14TV-14', '21m']",21,"['Jerry Minor', 'Tim Robinson', 'Jason Sudeikis', 'Steve Higgins', 'Lorne Michaels', 'Nora Dunn', 'Bobby Moynihan', 'Zach Kanin', 'Cecily Strong', 'Michael Che', 'John Solomon', 'Joe Kelly', 'Chris Redd', 'Tim Meadows', 'Kate McKinnon']",15,Comedy,"['Sam Richardson', 'Tim Robinson', 'Pat Vern Harris', 'Lailani Ledesma', 'Mort Crim', 'Andre Belue', 'Shawntay Dalon', 'Quintin Hicks', 'Christopher Powell', 'John L Criswell Jr.', 'Obba Babatundé', 'Michael Ellison', 'Anton Bassey', 'Alesha Renee', 'Gail Bean', 'Henri Franklin', 'Cara AnnMarie', 'Juanita Jennings']",20,"['Zach Kanin', 'Joe Kelly', 'Sam Richardson', 'Sam Richardson', 'Tim Robinson', 'Pat Vern Harris', 'Zach Kanin', 'Joe Kelly', 'Sam Richardson', 'Sam Richardson', 'Tim Robinson', 'Pat Vern Harris']","['Broadway Video', 'Central Productions', 'Comedy Central', '']",['TV Series'],2017.0,2018.0
