person,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted
Seth Meyers,2001,2014,13,9,9,13,11,2,0,8,154,0,1
Colin Jost,2005,2021,16,16,7,8,6,2,0,8,151,0,0
Michael Che,2013,2021,8,8,4,7,5,2,0,7,143,0,0
Tina Fey,1997,2006,9,9,7,6,5,1,0,6,117,0,6
Dennis Miller,1985,1991,6,0,0,6,6,0,0,6,111,0,0
Jimmy Fallon,1998,2004,6,0,0,6,5,1,0,4,80,1,3
Amy Poehler,2001,2008,7,0,0,8,7,1,0,6,80,1,2
Jane Curtin,1975,1980,5,0,0,5,5,0,0,4,78,0,0
Norm MacDonald,1993,1998,5,1,0,5,4,1,0,4,69,0,1
Kevin Nealon,1986,1995,9,1,0,9,8,1,0,3,60,0,0
Colin Quinn,1995,2000,5,2,0,5,4,1,0,3,50,0,0
Bill Murray,1976,1980,4,1,0,4,4,0,0,2,40,0,5
Chevy Chase,1975,1977,2,2,0,2,2,0,0,2,32,1,8
Brad Hall,1982,1984,2,0,0,2,2,0,0,2,28,0,0
Cecily Strong,2012,2021,9,0,0,9,8,1,0,1,21,0,0
Dan Aykroyd,1975,1979,4,3,0,4,4,0,0,1,20,1,1
Brian Doyle-Murray,1977,1982,5,5,0,2,0,2,0,1,20,0,0
Charles Rocket,1980,1981,1,0,0,1,1,0,0,1,12,0,0
Christopher Guest,1984,1985,1,1,0,1,1,0,0,1,10,0,0
Mary Gross,1981,1985,4,1,0,4,4,0,0,1,7,0,0
Christine Ebersole,1981,1982,1,0,0,1,1,0,0,1,6,0,0
Gail Matthius,1980,1981,1,0,0,1,1,0,0,1,6,0,0
Billy Crystal,1984,1985,1,1,0,1,1,0,0,2,3,0,3
Horatio Sanz,1998,2006,8,0,0,8,7,1,0,1,2,0,0
Joe Piscopo,1980,1984,4,2,0,4,4,0,0,1,1,0,0
Garrett Morris,1975,1980,5,0,0,5,5,0,0,0,0,0,0
Fred Wolf,1991,1996,5,4,1,2,0,2,0,0,0,0,0
James Downey (I),1976,2014,28,31,9,1,0,1,0,0,0,0,0
Tom Davis (I),1975,2003,15,15,0,3,0,3,0,0,0,0,0
Al Franken,1977,1995,15,15,0,12,0,11,0,0,0,0,0
Tom Schiller,1975,1990,7,7,0,1,0,1,0,0,0,0,0
A. Whitney Brown,1985,1991,6,6,0,6,0,6,0,0,0,0,0
Michael O'Donoghue,1975,1982,5,5,4,1,1,0,0,0,0,0,0
Mikey Day,2013,2021,8,4,0,5,3,2,0,0,0,0,0
Phil Hartman,1986,1994,8,3,0,8,8,0,0,0,0,1,2
Jim Belushi,1983,1985,2,2,0,2,2,0,0,0,0,0,0
Andrew Dismukes,2017,2021,4,2,0,1,0,1,0,0,0,0,0
Robin Duke,1981,1984,3,2,0,4,4,0,0,0,0,0,0
Leslie Jones,2013,2019,6,2,0,5,3,2,0,0,0,0,0
Peter Aykroyd,1979,1980,1,1,0,1,0,1,0,0,0,0,0
John Belushi,1975,1979,4,1,0,4,4,0,0,0,0,1,0
Rich Hall,1984,1985,1,1,0,1,1,0,0,0,0,0,0
Fred Armisen,2002,2013,11,0,0,11,9,2,0,0,0,0,1
Morwenna Banks,1995,1995,1,0,0,1,1,0,0,0,0,0,0
Vanessa Bayer,2010,2017,7,0,0,7,5,2,0,0,0,0,0
Beck Bennett,2013,2021,8,0,0,8,6,2,0,0,0,0,0
Jim Breuer,1995,1998,3,0,0,3,3,0,0,0,0,0,0
Paul Brittain,2010,2012,2,0,0,2,0,2,0,0,0,0,0
Aidy Bryant,2012,2021,9,0,0,9,8,1,0,0,0,0,0
Beth Cahill,1991,1992,1,0,0,1,0,1,0,0,0,0,0
Dana Carvey,1986,1993,7,0,0,7,7,0,0,0,0,1,4
Ellen Cleghorne,1991,1995,4,0,0,4,2,0,2,0,0,0,0
George Coe,1975,1975,1,0,0,1,1,0,0,0,0,0,0
Joan Cusack,1985,1986,1,0,0,1,1,0,0,0,0,0,0
Pete Davidson,2014,2021,7,0,0,7,5,2,0,0,0,0,0
Denny Dillon,1980,1981,1,0,0,1,1,0,0,0,0,0,0
Robert Downey Jr.,1985,1986,1,0,0,1,1,0,0,0,0,0,1
Rachel Dratch,1999,2006,7,0,0,7,5,2,0,0,0,0,0
Nora Dunn,1985,1990,5,0,0,5,5,0,0,0,0,0,0
Dean Edwards,2001,2003,2,0,0,2,0,2,0,0,0,0,0
Abby Elliott,2008,2012,4,0,0,4,2,2,0,0,0,0,0
Chris Elliott,1994,1995,1,0,0,1,1,0,0,0,0,0,0
Siobhan Fallon Hogan,1991,1992,1,0,0,1,0,0,1,0,0,0,0
Chris Farley,1990,1995,5,0,0,5,5,0,1,0,0,1,1
Will Ferrell,1995,2002,7,0,0,7,7,0,0,0,0,1,5
Chloe Fineman,2019,2021,2,0,0,2,2,0,0,0,0,0,0
Will Forte,2002,2010,8,0,0,8,7,1,0,0,0,0,0
Heidi Gardner,2017,2021,4,0,0,4,2,2,0,0,0,0,0
Janeane Garofalo,1994,1995,1,0,0,1,1,0,0,0,0,0,0
Ana Gasteyer,1996,2002,6,0,0,6,6,0,0,0,0,0,0
Gilbert Gottfried,1980,1981,1,0,0,1,1,0,0,0,0,0,0
Bill Hader,2005,2013,8,0,0,8,7,1,0,0,0,0,2
Anthony Michael Hall,1985,1986,1,0,0,1,1,0,0,0,0,0,0
Darrell Hammond,1995,2009,14,0,0,14,14,0,0,0,0,0,0
Lauren Holt,2020,2021,1,0,0,1,0,1,0,0,0,0,0
Jan Hooks,1986,1991,5,0,0,5,5,0,0,0,0,0,0
Yvonne Hudson,1980,1981,1,0,0,1,0,1,0,0,0,0,0
Melanie Hutsell,1991,1994,3,0,0,3,1,2,0,0,0,0,0
Victoria Jackson,1986,1992,6,0,0,6,6,0,0,0,0,0,0
Punkie Johnson,2020,2021,1,0,0,1,0,1,0,0,0,0,0
Chris Kattan,1996,2003,7,0,0,8,7,1,0,0,0,1,0
Taran Killam,2010,2016,6,0,0,6,4,2,0,0,0,0,0
David Koechner,1995,1996,1,0,0,1,1,0,0,0,0,0,0
Gary Kroeger,1982,1985,3,0,0,3,3,0,0,0,0,0,0
Matthew Laurance,1980,1981,1,0,0,1,0,1,0,0,0,0,0
Julia Louis-Dreyfus,1982,1985,3,0,0,3,3,0,0,0,0,0,3
Jon Lovitz,1985,1990,5,0,0,5,5,0,0,0,0,1,1
Michael McKean,1994,1995,1,0,0,2,2,0,0,0,0,0,1
Mark McKinney,1985,1997,12,1,0,3,3,0,0,0,0,0,0
Kate McKinnon,2012,2021,10,0,0,10,8,2,0,0,0,0,0
Tim Meadows,1991,2000,10,1,0,10,10,0,0,0,0,1,0
Laurie Metcalf,1981,1981,1,0,0,1,0,1,0,0,0,0,0
John Milhiser,2013,2014,1,0,0,1,0,1,0,0,0,0,0
Jerry Minor,2000,2001,1,1,0,1,0,1,0,0,0,0,0
Finesse Mitchell,2003,2006,3,0,0,3,1,2,0,0,0,0,0
Alex Moffat,2016,2021,5,0,0,5,3,2,0,0,0,0,0
Jay Mohr,1993,1995,2,1,0,2,0,2,0,0,0,0,0
Kyle Mooney,2013,2021,8,0,0,8,6,2,0,0,0,0,0
Tracy Morgan,1996,2003,7,0,0,7,7,0,0,0,0,1,2
Bobby Moynihan,2008,2017,9,0,0,9,7,2,0,0,0,0,0
Eddie Murphy,1980,1984,4,2,0,4,3,1,0,0,0,1,3
Mike Myers,1989,1995,6,2,0,7,7,1,0,0,0,1,1
Laraine Newman,1975,1980,5,0,0,5,5,0,0,0,0,0,0
Don Novello,1977,1986,4,4,0,2,0,2,0,0,0,0,1
Luke Null,2017,2018,1,0,0,1,0,1,0,0,0,0,0
Ego Nwodim,2018,2021,3,0,0,3,1,2,0,0,0,0,0
Michael Patrick O'Brien (II) ,2013,2015,2,1,0,1,0,1,0,0,0,0,0
Cheri Oteri,1995,2000,5,0,0,5,5,0,0,0,0,1,0
Chris Parnell,1998,2006,8,0,0,8,7,1,0,0,0,0,0
Nasim Pedrad,2009,2014,5,0,0,5,3,2,0,0,0,0,0
Jay Pharoah,2010,2016,6,0,0,6,4,2,0,0,0,0,0
Emily Prager,1981,1981,1,0,0,1,0,1,0,0,0,0,0
Randy Quaid,1985,1986,1,0,0,1,1,0,0,0,0,0,0
Gilda Radner,1975,1980,5,0,0,5,5,0,0,0,0,1,0
Chris Redd,2017,2021,4,0,0,4,2,2,0,0,0,0,0
Jeff Richards (III),2001,2004,3,0,0,3,1,2,0,0,0,0,0
Rob Riggle,2004,2005,1,0,0,1,0,1,0,0,0,0,0
Ann Risley,1980,1981,1,0,0,1,1,0,0,0,0,0,0
Chris Rock,1990,1993,3,0,0,3,3,0,0,0,0,1,3
Jon Rudnitsky,2015,2016,1,0,0,1,0,1,0,0,0,0,0
Maya Rudolph,2000,2007,7,0,0,7,7,2,0,0,0,0,2
Andy Samberg,2005,2012,7,0,0,7,6,1,0,0,0,0,1
Paul Shaffer,1979,1980,1,0,0,1,0,1,0,0,0,0,1
Molly Shannon,1995,2001,7,0,0,7,6,1,0,0,0,1,1
Jenny Slate,2009,2010,1,0,0,1,0,1,0,0,0,0,0
Pamela Stephenson,1984,1985,1,0,0,1,1,0,0,0,0,0,0
Ben Stiller,1989,1990,1,1,0,1,0,1,0,0,0,0,2
Julia Sweeney,1990,1994,4,0,0,4,4,0,0,0,0,0,0
Kenan Thompson,2003,2021,18,0,0,18,16,2,0,0,0,0,0
Danitra Vance,1985,1986,1,0,0,1,1,0,0,0,0,0,0
Melissa Villaseñor,2016,2021,5,0,0,5,3,2,0,0,0,0,0
Dan Vitale,1985,1986,1,0,0,1,0,1,0,0,0,0,0
Nancy Carell,1995,1996,1,0,0,1,1,0,0,0,0,0,0
Michaela Watkins,2008,2009,1,0,0,1,0,1,0,0,0,0,0
Damon Wayans,1985,1986,1,0,0,1,0,1,0,0,0,0,1
Patrick Weathers,1980,1981,1,0,0,1,0,1,0,0,0,0,0
Noël Wells,2013,2015,2,0,0,2,0,2,0,0,0,0,0
Brooks Wheelan,2013,2014,1,0,0,1,0,1,0,0,0,0,0
Kristen Wiig,2005,2012,7,0,0,7,6,1,0,0,0,0,4
Casey Wilson,2008,2009,2,0,0,2,0,2,0,0,0,0,0
Sasheer Zamata,2014,2017,4,0,0,4,3,1,0,0,0,0,0
Alan Zweibel,1980,1980,1,5,0,1,0,1,0,0,0,0,0
Tim Kazurinsky,1981,1984,4,3,0,4,4,0,0,0,0,0,0
Laura Kightlinger,1994,1995,1,1,0,1,0,1,0,0,0,0,0
Tim Robinson,2012,2016,4,3,0,1,0,1,0,0,0,0,0
Tony Rosato,1981,1982,2,1,0,2,2,0,0,0,0,0,0
Adam Sandler,1990,1995,5,3,0,5,2,1,2,0,0,1,1
Rob Schneider,1989,1994,5,3,0,4,2,1,1,0,0,0,0
Harry Shearer,1979,1985,6,2,0,2,1,1,0,0,0,0,0
Martin Short,1984,1985,1,1,0,1,1,0,0,0,0,0,3
Sarah Silverman,1993,1994,1,1,0,1,0,1,0,0,0,0,1
Robert Smigel,1985,2008,23,22,0,2,0,2,0,0,0,0,0
David Spade,1989,1996,7,3,0,6,3,1,2,0,0,1,2
Jason Sudeikis,2003,2013,10,2,0,9,8,1,0,0,0,0,0
Terry Sweeney,1980,1986,6,2,0,1,1,0,0,0,0,0,0
Bowen Yang,2019,2021,2,1,0,2,0,2,0,0,0,0,0
Anne Beatts,1975,1980,5,5,0,0,0,0,0,0,0,0,0
Lorne Michaels,1975,2021,41,41,1,0,0,0,0,0,0,0,0
Marilyn Suzanne Miller,1975,1995,7,7,0,0,0,0,0,0,0,0,0
Herbert Sargent,1975,1995,16,16,2,0,0,0,0,0,0,0,0
Rosie Shuster,1975,1988,8,8,0,0,0,0,0,0,0,0,0
Bruce McCall (I),1976,1977,1,1,0,0,0,0,0,0,0,0,0
Neil Levy,1977,1978,1,1,0,0,0,0,0,0,0,0,0
Brian McConnachie,1978,1979,1,1,0,0,0,0,0,0,0,0,0
Walter Williams,1978,1979,1,1,0,0,0,0,0,0,0,0,0
Tom Gammill,1979,1980,1,1,0,0,0,0,0,0,0,0,0
Matt Neuman,1979,1981,2,2,0,0,0,0,0,0,0,0,0
Sarah Paley,1979,1980,1,1,0,0,0,0,0,0,0,0,0
Max Pross,1979,1980,1,1,0,0,0,0,0,0,0,0,0
Larry Arnstein,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Barry W. Blaustein,1980,1983,3,3,0,0,0,0,0,0,0,0,0
Billy Brown (X),1980,1981,1,1,0,0,0,0,0,0,0,0,0
Ferris Butler,1980,1981,1,1,0,0,0,0,0,0,0,0,0
John DeBellis,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Jean Doumanian,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Nancy Dowd,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Leslie Fuller (III),1980,1981,1,1,0,0,0,0,0,0,0,0,0
Mel Green (II),1980,1981,1,1,0,0,0,0,0,0,0,0,0
David Hurwitz,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Judith Belushi-Pisano,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Sean Kelly (V),1980,1981,1,1,0,0,0,0,0,0,0,0,0
Mitchell Kriegman,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Patricia Marx,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Douglas McGrath,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Tom Moore (III),1980,1981,1,1,1,0,0,0,0,0,0,0,0
Pamela Norris,1980,1984,4,4,0,0,0,0,0,0,0,0,0
Mark Reisman,1980,1981,1,1,0,0,0,0,0,0,0,0,0
David Sheffield,1980,1983,3,3,0,0,0,0,0,0,0,0,0
Jeremy Stevens,1980,1981,1,1,1,0,0,0,0,0,0,0,0
Bob Tischler,1980,1985,5,5,4,0,0,0,0,0,0,0,0
Mason Williams,1980,1981,1,1,1,0,0,0,0,0,0,0,0
Dirk Wittenborn,1980,1981,1,1,0,0,0,0,0,0,0,0,0
Joe Bodolai,1981,1982,1,1,0,0,0,0,0,0,0,0,0
Nate Herman,1981,1985,4,4,0,0,0,0,0,0,0,0,0
Nelson Lyon,1981,1982,1,1,0,0,0,0,0,0,0,0,0
Mark O'Donnell (IV),1981,1982,1,1,0,0,0,0,0,0,0,0,0
Margaret Oberman,1981,1985,4,4,0,0,0,0,0,0,0,0,0
Andrew Smith (III),1981,1985,4,4,2,0,0,0,0,0,0,0,0
Terry Southern,1981,1982,1,1,0,0,0,0,0,0,0,0,0
Eliot Wald,1981,1985,4,4,0,0,0,0,0,0,0,0,0
Andrew Kurtzman,1982,1985,3,3,0,0,0,0,0,0,0,0,0
Ellen L. Fogle,1982,1983,1,1,0,0,0,0,0,0,0,0,0
Tracy Tormé,1982,1983,1,1,0,0,0,0,0,0,0,0,0
Andy Breckman,1983,1987,3,3,0,0,0,0,0,0,0,0,0
Adam Green (II),1983,1984,1,1,0,0,0,0,0,0,0,0,0
Kevin Kelton,1983,1985,2,2,0,0,0,0,0,0,0,0,0
Michael C. McCarthy,1983,1984,1,1,0,0,0,0,0,0,0,0,0
Larry David,1984,1985,1,1,0,0,0,0,0,0,0,0,0
Rob Riley (I),1984,1985,1,1,0,0,0,0,0,0,0,0,0
Jack Handey,1985,2001,10,10,0,0,0,0,0,0,0,0,0
Lanier Laney,1985,1986,1,1,0,0,0,0,0,0,0,0,0
Carol Leifer,1985,1986,1,1,0,0,0,0,0,0,0,0,0
George Meyer,1985,1989,4,4,0,0,0,0,0,0,0,0,0
Bruce McCulloch,1985,1986,1,1,0,0,0,0,0,0,0,0,0
Richard Rosen (IV),1985,1986,1,1,0,0,0,0,0,0,0,0,0
Suzy Schneider,1985,1986,1,1,0,0,0,0,0,0,0,0,0
John Swartzwelder,1985,1986,1,1,0,0,0,0,0,0,0,0,0
E. Jean Carroll,1986,1987,1,1,0,0,0,0,0,0,0,0,0
Marc Shaiman,1986,1989,2,2,0,0,0,0,0,0,0,0,0
Bonnie Turner,1986,1992,6,6,0,0,0,0,0,0,0,0,0
Terry Turner,1986,1992,6,6,0,0,0,0,0,0,0,0,0
Jon Vitti,1986,1987,1,1,0,0,0,0,0,0,0,0,0
Christine Zander,1986,1993,7,7,0,0,0,0,0,0,0,0,0
Greg Daniels,1987,1990,3,3,0,0,0,0,0,0,0,0,0
Conan O'Brien,1987,1991,4,4,0,0,0,0,0,0,0,0,0
Bob Odenkirk,1987,1991,4,4,0,0,0,0,0,0,0,0,0
John Bowman,1988,1989,1,1,0,0,0,0,0,0,0,0,0
Shannon Gaughan,1988,1989,1,1,0,0,0,0,0,0,0,0,0
Tom Hymes,1989,1990,1,1,0,0,0,0,0,0,0,0,0
Dan McGrath (I),1990,1992,2,2,0,0,0,0,0,0,0,0,0
Andy Robin (I),1990,1991,1,1,0,0,0,0,0,0,0,0,0
Warren Hutcherson,1991,1993,2,2,0,0,0,0,0,0,0,0,0
Steve Koren,1991,1998,6,6,0,0,0,0,0,0,0,0,0
Ian Maxtone-Graham,1991,1995,4,4,0,0,0,0,0,0,0,0,0
Bruce Handy,1992,1993,1,1,0,0,0,0,0,0,0,0,0
Dawna Kaufmann,1992,1993,1,1,0,0,0,0,0,0,0,0,0
David Mandel,1992,1995,3,3,0,0,0,0,0,0,0,0,0
Vanessa Middleton,1992,1993,1,1,0,0,0,0,0,0,0,0,0
Glenn Rockowitz,1992,1993,1,1,0,0,0,0,0,0,0,0,0
Dave Attell,1993,1994,1,1,0,0,0,0,0,0,0,0,0
Tony De Sena (I),1993,1994,1,1,0,0,0,0,0,0,0,0,0
Tim Herlihy,1993,2000,7,7,1,0,0,0,0,0,0,0,0
Steve Lookner,1993,1995,2,2,0,0,0,0,0,0,0,0,0
Lewis Morton,1993,1995,2,2,0,0,0,0,0,0,0,0,0
Ross Abrash,1994,1998,4,4,0,0,0,0,0,0,0,0,0
Norm Hiscock,1994,1997,3,3,0,0,0,0,0,0,0,0,0
Brian Kelley (I),1994,1995,1,1,0,0,0,0,0,0,0,0,0
Margo Meyer,1994,1995,1,1,0,0,0,0,0,0,0,0,0
Adam Resnick,1994,1995,1,1,0,0,0,0,0,0,0,0,0
Drake Sather,1994,1995,1,1,0,0,0,0,0,0,0,0,0
Steve Higgins,1995,2021,26,26,1,0,0,0,0,0,0,0,0
Cindy Caponera,1995,1998,3,3,0,0,0,0,0,0,0,0,0
Hugh Fink,1995,2002,7,7,0,0,0,0,0,0,0,0,0
Tom Gianas,1995,1998,3,3,0,0,0,0,0,0,0,0,0
Peter Gaulke,1995,1996,1,1,0,0,0,0,0,0,0,0,0
Erin Fraser (III),1995,1996,1,1,0,0,0,0,0,0,0,0,0
Adam McKay,1995,2001,6,6,3,0,0,0,0,0,0,0,0
Dennis McNicholas,1995,2004,9,9,4,0,0,0,0,0,0,0,0
Lori Nasso,1995,1999,4,4,0,0,0,0,0,0,0,0,0
Paula Pell,1995,2009,14,14,2,0,0,0,0,0,0,0,0
Frank Sebastiano,1995,2006,11,9,0,0,0,0,0,0,0,0,0
Andrew Steele (I),1995,2008,13,13,4,0,0,0,0,0,0,0,0
David Breckman,1996,1997,1,1,0,0,0,0,0,0,0,0,0
Robert Carlock,1996,2001,5,5,0,0,0,0,0,0,0,0,0
Stephen Colbert,1996,1997,1,1,0,0,0,0,0,0,0,0,0
Matt Piedmont,1996,2002,6,6,0,0,0,0,0,0,0,0,0
Scott Wainio,1996,2003,7,7,0,0,0,0,0,0,0,0,0
Michael McCullers,1997,1998,1,1,0,0,0,0,0,0,0,0,0
Michael Schur,1997,2004,7,7,0,0,0,0,0,0,0,0,0
Jerry Collins,1998,2000,2,2,0,0,0,0,0,0,0,0,0
Steven Cragg,1998,2000,2,2,0,0,0,0,0,0,0,0,0
Tony Daro,1998,2001,3,3,0,0,0,0,0,0,0,0,0
Richard Francese,1998,2000,2,2,0,0,0,0,0,0,0,0,0
Matt Graham (II),1998,1999,1,1,0,0,0,0,0,0,0,0,0
Ray James,1998,1999,1,1,0,0,0,0,0,0,0,0,0
T. Sean Shannon,1998,2006,8,8,0,0,0,0,0,0,0,0,0
Kevin Brennan,1999,2000,1,1,0,0,0,0,0,0,0,0,0
Ali Reza,1999,2000,1,1,0,0,0,0,0,0,0,0,0
J.J. Philbin,1999,2000,1,1,0,0,0,0,0,0,0,0,0
James Anderson (XI),2000,2020,20,20,0,0,0,0,0,0,0,0,0
Melanie Graham (I),2000,2001,1,1,0,0,0,0,0,0,0,0,0
Erik Kenward,2000,2021,21,21,0,0,0,0,0,0,0,0,0
